 	comment	va-t-il	</S>
a23	0.608278	0.299115	0.0926069
a10	0.419611	0.385842	0.194547
a30	0.338854	0.402157	0.258988
a57	0.365606	0.415004	0.21939
a87	0.19736	0.362283	0.440357
a23	0.322414	0.484018	0.193569
a79	0.224152	0.40291	0.372938
a20	0.186549	0.582203	0.231248
a30	0.355871	0.521614	0.122515
a35	0.426031	0.487861	0.0861081
a41	0.37923	0.502886	0.117884
a66	0.335544	0.47841	0.186046
a57	0.137148	0.498521	0.364331
a53	0.0350665	0.29587	0.669064
a4	0.103747	0.323319	0.572934
a13	0.0451168	0.268885	0.685998
a9	0.0194243	0.163878	0.816697
a87	0.0792142	0.13192	0.788865
a23	0.200691	0.188525	0.610784
a87	0.361366	0.272288	0.366347
</S>	0.230757	0.283521	0.485723
