 	celles-ci	sont	mes	chenilles	celles-là	sont	à	toi	</S>
a66	0.209374	0.178917	0.152192	0.129027	0.124948	0.0705326	0.06237	0.0444891	0.028151
a87	0.428192	0.174769	0.0672247	0.0795774	0.0993388	0.0716967	0.0486651	0.0190891	0.0114467
a97	0.27632	0.177141	0.120028	0.194367	0.143597	0.0503373	0.0215862	0.00882219	0.00780146
a87	0.285988	0.159094	0.113893	0.184857	0.149811	0.0596424	0.0274187	0.0107048	0.00859106
a97	0.320068	0.150408	0.101711	0.156752	0.152049	0.0672892	0.0294398	0.0120498	0.0102337
a99	0.383847	0.152382	0.0823091	0.107446	0.124498	0.0749362	0.040174	0.0183359	0.0160714
a18	0.326877	0.104909	0.0727381	0.110267	0.129394	0.105245	0.066637	0.0425508	0.0413821
a50	0.151897	0.109985	0.120501	0.110641	0.17691	0.138154	0.0816235	0.0604661	0.0498232
a12	0.149836	0.111066	0.0905013	0.0676887	0.145459	0.157701	0.120853	0.0871624	0.0697321
a94	0.196881	0.178165	0.149161	0.0989836	0.106829	0.0886649	0.0739584	0.0588699	0.0484874
a13	0.166581	0.194434	0.175295	0.110442	0.0967897	0.0778478	0.0712794	0.0585371	0.0487944
a53	0.165652	0.198904	0.187615	0.123769	0.0981053	0.0661935	0.0642636	0.0521705	0.0433271
a70	0.153002	0.205535	0.203979	0.148872	0.103411	0.0596243	0.0486728	0.0412451	0.0356585
a79	0.138398	0.198891	0.201056	0.160494	0.107073	0.0568501	0.0490934	0.0453052	0.0428391
a44	0.166814	0.230068	0.19892	0.153007	0.101537	0.0476037	0.0390014	0.0322021	0.0308466
a70	0.11232	0.168251	0.185069	0.175856	0.134971	0.0623456	0.0548131	0.0521494	0.0542242
a37	0.0702153	0.112639	0.148853	0.172949	0.173266	0.0841436	0.0743242	0.0756454	0.0879643
a26	0.0688909	0.0945223	0.142146	0.181	0.182489	0.0899715	0.0824237	0.0759733	0.0825825
a3	0.0254293	0.0307159	0.0667063	0.12762	0.198766	0.121984	0.132581	0.136787	0.159411
a97	0.0420231	0.0356253	0.06287	0.127201	0.156127	0.135806	0.148889	0.135948	0.155511
a99	0.163714	0.0826189	0.0730781	0.108796	0.133335	0.129445	0.14465	0.0855332	0.078829
a50	0.26907	0.091206	0.0367048	0.0368086	0.0549345	0.102664	0.135772	0.121815	0.151026
a62	0.0330284	0.0151604	0.0120039	0.0159323	0.047416	0.111891	0.190047	0.263247	0.311274
a12	0.021639	0.0124078	0.0118635	0.0174848	0.0479134	0.101705	0.208309	0.280897	0.297781
a5	0.00845775	0.00731818	0.0133049	0.019081	0.0464771	0.0730344	0.203592	0.300046	0.328688
a96	0.00854685	0.00789372	0.0175871	0.0300771	0.0742476	0.0869844	0.186816	0.274582	0.313265
a94	0.00243802	0.00193017	0.00432239	0.010694	0.0351925	0.0606618	0.179282	0.328313	0.377165
a26	0.00281356	0.00186595	0.00346022	0.00909507	0.0345461	0.0736733	0.175197	0.317449	0.3819
a82	0.00527891	0.00244987	0.0033173	0.00966187	0.0357825	0.0746249	0.120933	0.271626	0.476326
a9	0.0559567	0.0223102	0.0200796	0.0418266	0.0680283	0.0928151	0.0999113	0.20262	0.396452
a82	0.278489	0.110077	0.0743218	0.113309	0.0860128	0.0660783	0.0532566	0.0809771	0.137478
a9	0.378064	0.159958	0.0860961	0.115076	0.0717119	0.0474309	0.0360372	0.0428761	0.0627495
a87	0.358514	0.155698	0.0842905	0.120093	0.0830563	0.0569498	0.042925	0.0429365	0.0555373
a97	0.280086	0.157956	0.114163	0.17543	0.100453	0.0617271	0.0426373	0.0313292	0.0362186
</S>	0.330877	0.179845	0.10759	0.138078	0.0692382	0.0562742	0.0413392	0.0334291	0.0433291
