 	il	a	un	abcès	à	l'	aisselle	</S>
a79	0.237471	0.137014	0.079465	0.0861452	0.0822198	0.0893485	0.141747	0.146589
a54	0.209118	0.151793	0.0997233	0.109194	0.0978842	0.103312	0.0981473	0.130829
a14	0.363303	0.22472	0.134178	0.0901165	0.0622227	0.0435388	0.0377992	0.0441217
a37	0.444912	0.271052	0.132631	0.0768118	0.0357996	0.0159807	0.0106456	0.0121675
a66	0.39584	0.265097	0.15591	0.0872246	0.0406708	0.0203548	0.015586	0.0193166
a26	0.260031	0.2234	0.189765	0.129223	0.0694784	0.0424251	0.0335403	0.0521374
a98	0.198362	0.18329	0.175386	0.131852	0.0881551	0.0656926	0.0603468	0.0969167
a25	0.258218	0.210074	0.194422	0.143599	0.0845962	0.0427964	0.0293441	0.0369506
a38	0.205972	0.179308	0.19068	0.164509	0.110498	0.0593864	0.0387716	0.050875
a24	0.19444	0.16424	0.175974	0.158128	0.121791	0.072987	0.0491485	0.0632911
a41	0.20134	0.184796	0.181878	0.147394	0.108134	0.0710007	0.049674	0.0557832
a43	0.123	0.138979	0.16325	0.166983	0.129028	0.10588	0.0831251	0.0897547
a75	0.0799902	0.0872724	0.103795	0.127522	0.135461	0.143342	0.150832	0.171786
a14	0.0509457	0.05642	0.0791753	0.106972	0.134258	0.178011	0.188441	0.205778
a35	0.0512132	0.0575425	0.0761742	0.102697	0.131501	0.169184	0.189038	0.22265
a26	0.0401213	0.0415988	0.0502403	0.0668955	0.0932526	0.154468	0.245547	0.307876
a75	0.0169386	0.0194348	0.0257062	0.0440075	0.0797783	0.149322	0.279966	0.384847
a85	0.00947865	0.00952506	0.013194	0.0213929	0.0405874	0.114609	0.319124	0.47209
a35	0.00931445	0.00978813	0.0146329	0.0263826	0.0547668	0.138307	0.334338	0.41247
a38	0.00554209	0.0062278	0.00906625	0.0144554	0.0258819	0.0776483	0.31858	0.542599
a14	0.00331869	0.00355852	0.0046271	0.00739229	0.0136837	0.0479196	0.299906	0.619595
a76	0.00725624	0.007928	0.010017	0.0140903	0.0243329	0.069445	0.341357	0.525573
a73	0.00606489	0.00680827	0.00985933	0.0160159	0.029267	0.0820311	0.336972	0.512982
a84	0.00180403	0.00196089	0.00245487	0.00485858	0.0106788	0.0437672	0.301275	0.633201
a57	0.00968106	0.00935681	0.0112104	0.0179551	0.0305055	0.0735431	0.284584	0.563164
a87	0.0162977	0.0161959	0.0194084	0.0299739	0.0449078	0.0981863	0.312642	0.462388
</S>	0.0298312	0.028199	0.0354743	0.0547805	0.0735727	0.141846	0.267223	0.369074
