 	il	est	très	brun	</S>
a85	0.42031	0.267495	0.117338	0.0954856	0.0993717
a87	0.352737	0.223619	0.159874	0.140902	0.122868
a23	0.43284	0.263797	0.152224	0.0863119	0.0648274
a20	0.426951	0.228321	0.132416	0.109029	0.103284
a14	0.369686	0.273467	0.155956	0.118333	0.082559
a30	0.393764	0.332532	0.191231	0.0529543	0.0295189
a26	0.453674	0.355218	0.141901	0.0323459	0.0168605
a75	0.374552	0.284382	0.171525	0.0939847	0.075556
a73	0.344897	0.315598	0.195389	0.0830529	0.0610627
a94	0.312471	0.31636	0.191628	0.0967782	0.082762
a75	0.278332	0.294176	0.214274	0.113301	0.0999166
a41	0.248171	0.254689	0.213092	0.15259	0.131457
a18	0.118862	0.142637	0.213241	0.263334	0.261926
a41	0.0515081	0.0519158	0.110563	0.313187	0.472825
a35	0.0292936	0.031713	0.0733337	0.32342	0.542239
a41	0.0199863	0.0220747	0.0553189	0.303305	0.599316
a12	0.0179731	0.0202106	0.0515422	0.308288	0.601986
a96	0.0147627	0.0151791	0.0380016	0.25602	0.676037
a24	0.0188882	0.0169305	0.0379193	0.243599	0.682663
a32	0.0259836	0.0237153	0.0482145	0.25771	0.644377
a25	0.0235855	0.026361	0.0597501	0.276833	0.61347
a87	0.0309994	0.0327561	0.0703974	0.240188	0.625659
a23	0.0487192	0.0556002	0.0784248	0.21489	0.602365
a87	0.0611666	0.0562254	0.07549	0.221554	0.585564
</S>	0.0253106	0.0349763	0.0813225	0.320662	0.537728
