 	creuser	un	trou	est	une	entreprise	difficile	</S>
a66	0.15009	0.155119	0.190675	0.194358	0.134214	0.0903095	0.0471688	0.0380654
a87	0.227527	0.159853	0.131064	0.142151	0.151941	0.125921	0.0429261	0.0186165
a23	0.289758	0.228173	0.17673	0.144366	0.0863479	0.0310487	0.0198288	0.0237478
a83	0.255954	0.232544	0.198881	0.175795	0.0878197	0.0206925	0.0123531	0.0159614
a9	0.299303	0.251093	0.191828	0.151813	0.0762921	0.0155792	0.00829913	0.00579301
a24	0.309099	0.259429	0.172954	0.124218	0.0896218	0.0318489	0.00810237	0.00472605
a62	0.246108	0.215759	0.161784	0.151046	0.148293	0.0615191	0.0102805	0.00521112
a75	0.205974	0.180385	0.156345	0.173084	0.189285	0.0735218	0.0136066	0.00779822
a21	0.167987	0.146104	0.122831	0.140871	0.24394	0.145883	0.0213198	0.0110653
a47	0.160622	0.129897	0.115982	0.131284	0.212415	0.19135	0.036349	0.0221023
a88	0.159138	0.144641	0.133034	0.142204	0.187565	0.167711	0.0395874	0.0261189
a62	0.0873987	0.0968155	0.115497	0.140552	0.19407	0.270918	0.0561266	0.0386222
a47	0.0606482	0.0706683	0.102713	0.16475	0.175346	0.27795	0.082169	0.0657547
a31	0.0548372	0.0549209	0.0728595	0.118356	0.11519	0.269566	0.1751	0.139171
a47	0.0270563	0.0269804	0.0346763	0.0762479	0.0691388	0.206626	0.283153	0.276121
a21	0.0359717	0.0330545	0.0348391	0.0673806	0.060596	0.184485	0.296724	0.286949
a5	0.0125521	0.0124811	0.0143156	0.0351812	0.0362892	0.141442	0.344805	0.402934
a23	0.00804278	0.00726711	0.00669015	0.0143394	0.0144754	0.076214	0.31538	0.557591
a21	0.00354833	0.00299204	0.00263655	0.00647818	0.00580338	0.044246	0.238327	0.695968
a12	0.00281111	0.00226704	0.0018183	0.00337197	0.00333742	0.0288559	0.246837	0.710701
a18	0.00077681	0.000604298	0.000448619	0.000842153	0.00112973	0.0202971	0.229253	0.746648
a71	0.00379607	0.00271385	0.00234692	0.00432449	0.00786204	0.058405	0.253555	0.666997
a25	0.1142	0.0608228	0.0448074	0.0554168	0.0651439	0.158409	0.190951	0.310248
a87	0.268794	0.159563	0.0998314	0.0967015	0.084764	0.0784008	0.0800966	0.131848
a23	0.260212	0.190914	0.138741	0.138077	0.113769	0.0821738	0.0336151	0.0424975
a87	0.102991	0.0527313	0.0298157	0.029833	0.0330376	0.0591585	0.163948	0.528485
a97	0.0171801	0.00794709	0.00411966	0.00581488	0.00775528	0.0347668	0.215712	0.706704
</S>	0.0202339	0.012844	0.0111847	0.0168813	0.0168633	0.0458436	0.167738	0.708411
