 	il	taille	un	banc	dans	du	bois	</S>
a23	0.178576	0.0920758	0.0886186	0.142467	0.14073	0.104256	0.119156	0.134121
a79	0.414535	0.22567	0.140929	0.067683	0.0343818	0.0260659	0.033426	0.0573097
a54	0.199948	0.0870889	0.0732864	0.0679787	0.0809615	0.0905272	0.162822	0.237387
a85	0.395242	0.175691	0.109347	0.0536078	0.0652905	0.0570843	0.0684075	0.0753309
a47	0.368171	0.228292	0.154262	0.0588269	0.0507346	0.0361405	0.044501	0.0590722
a2	0.310608	0.199154	0.160533	0.0870043	0.0529537	0.0416544	0.0605041	0.0875879
a62	0.288035	0.226377	0.182872	0.0941355	0.053313	0.0439667	0.0521153	0.0591851
a70	0.243708	0.224959	0.220122	0.134858	0.0583673	0.0362379	0.0388404	0.0429073
a11	0.246212	0.23116	0.215374	0.14276	0.0601504	0.030868	0.0341589	0.0393178
a90	0.19255	0.193282	0.218474	0.198288	0.0786055	0.0385214	0.0380494	0.0422298
a25	0.120983	0.105754	0.134537	0.223632	0.134197	0.0772881	0.0903817	0.113227
a56	0.0530869	0.0446177	0.0642829	0.22368	0.185355	0.130204	0.140294	0.15848
a47	0.0873514	0.0745954	0.0960519	0.241784	0.180152	0.108688	0.0999208	0.111457
a70	0.0526408	0.0423498	0.0603425	0.248401	0.212548	0.131462	0.114164	0.138092
a90	0.0337403	0.0285182	0.0422147	0.191185	0.224718	0.180103	0.141209	0.158312
a56	0.0263356	0.0198714	0.0283144	0.160977	0.193492	0.175871	0.179383	0.215757
a75	0.032802	0.0252827	0.0334362	0.131767	0.174429	0.224049	0.181506	0.196728
a18	0.0305006	0.0187234	0.0221863	0.0903796	0.136607	0.190957	0.240313	0.270333
a27	0.00724768	0.00575402	0.00735475	0.034504	0.0546847	0.128608	0.243105	0.518742
a62	0.00566713	0.00404376	0.00363215	0.0114121	0.0171214	0.0482179	0.218081	0.691825
a83	0.0026633	0.00211702	0.00323843	0.0188965	0.0298051	0.0896662	0.266426	0.587187
a9	0.00151496	0.00115268	0.00177021	0.00819998	0.019944	0.0729534	0.261165	0.6333
a10	0.00564069	0.00322196	0.00286449	0.00773313	0.0173028	0.0626101	0.234577	0.66605
a87	0.0223775	0.0128881	0.0114879	0.0285014	0.0597981	0.137403	0.253572	0.473971
a23	0.075018	0.0536214	0.0497948	0.124293	0.17534	0.186922	0.162329	0.172682
a97	0.0352092	0.0195658	0.0163184	0.0434122	0.0851335	0.153217	0.253426	0.393718
</S>	0.00727602	0.00494042	0.0088785	0.0414759	0.0722422	0.130535	0.254292	0.48036
