 	j'	aime	manger	des	courges	</S>
a66	0.438566	0.204502	0.106894	0.0965073	0.0791344	0.0743966
a87	0.359957	0.184067	0.106322	0.0821836	0.13941	0.128061
a23	0.623892	0.158627	0.055892	0.0349478	0.0510599	0.0755806
a38	0.411344	0.153616	0.0998361	0.0763298	0.15129	0.107585
a54	0.503683	0.197724	0.0944865	0.0723738	0.0790103	0.0527219
a47	0.529754	0.272548	0.0959818	0.0543811	0.0304329	0.0169022
a5	0.400826	0.340664	0.141407	0.0691764	0.0319547	0.015972
a37	0.399349	0.318838	0.139132	0.0668833	0.0502142	0.0255841
a61	0.383979	0.279799	0.136976	0.0844225	0.0713584	0.0434648
a75	0.382629	0.286078	0.131336	0.0836539	0.0629174	0.0533846
a6	0.0733874	0.132858	0.208016	0.224257	0.222541	0.13894
a36	0.0464113	0.107883	0.203485	0.233641	0.231363	0.177217
a44	0.0365974	0.0682041	0.147817	0.214928	0.228948	0.303505
a94	0.0436574	0.0728558	0.143361	0.223137	0.23961	0.277378
a32	0.023413	0.0419603	0.108509	0.22818	0.267602	0.330336
a90	0.0084538	0.0176979	0.0599186	0.15614	0.285542	0.472248
a44	0.00578105	0.012406	0.0483728	0.152738	0.294673	0.486029
a90	0.00540025	0.0114497	0.0458438	0.140447	0.274158	0.5227
a79	0.00400719	0.00858592	0.0381118	0.130041	0.266969	0.552285
a44	0.00181137	0.00448768	0.0247542	0.0982893	0.25815	0.612507
a32	0.00223665	0.00659849	0.0335808	0.109124	0.269168	0.579291
a62	0.00107135	0.00372282	0.0234578	0.0918428	0.269769	0.610136
a21	0.00117526	0.00349364	0.0202826	0.0780516	0.209684	0.687313
a12	0.000941298	0.0026834	0.0155203	0.0718455	0.216316	0.692694
a18	0.000839349	0.00211182	0.0127701	0.0522857	0.139825	0.792168
a25	0.00891246	0.0158904	0.0433373	0.12468	0.230023	0.577157
a87	0.143902	0.11404	0.130735	0.172574	0.198252	0.240497
a23	0.314395	0.180812	0.140236	0.127848	0.141828	0.0948815
a87	0.151983	0.118623	0.150249	0.180854	0.176892	0.221399
</S>	0.0440046	0.0495296	0.100252	0.169637	0.211182	0.425395
