 	le	charpentier	est	en	train	de	couvrir	la	maison	</S>
a23	0.313432	0.21343	0.191323	0.0755773	0.0373947	0.0299472	0.0267058	0.0248439	0.034421	0.0529256
a53	0.0951613	0.0710896	0.093271	0.0920921	0.0976889	0.103845	0.112579	0.0877757	0.109443	0.137055
a4	0.229484	0.26127	0.211615	0.100374	0.0461874	0.031649	0.0299001	0.0244952	0.0287879	0.0362376
a13	0.190947	0.348144	0.241096	0.108408	0.0491992	0.0303959	0.0168338	0.00594369	0.0043464	0.00468615
a38	0.149609	0.269065	0.175236	0.11016	0.0768221	0.0651691	0.0478285	0.0293062	0.0330692	0.0437343
a90	0.110772	0.180782	0.135076	0.0914849	0.0770649	0.0784181	0.0697466	0.0653515	0.0825361	0.108768
a92	0.106351	0.191451	0.1659	0.111759	0.090625	0.0852997	0.0632349	0.0517375	0.057864	0.0757773
a12	0.0880274	0.151532	0.145253	0.111452	0.0968664	0.100465	0.0834661	0.0661804	0.0677775	0.0889804
a96	0.0449347	0.0524228	0.0840518	0.105028	0.116233	0.146262	0.127967	0.102671	0.100945	0.119484
a21	0.0317612	0.0244994	0.030582	0.0427668	0.0682134	0.117248	0.137307	0.160048	0.182091	0.205483
a85	0.0259569	0.0192835	0.0194815	0.0248235	0.0464642	0.10031	0.161709	0.180875	0.191876	0.22922
a92	0.055563	0.0716176	0.0607775	0.0523862	0.0568035	0.0780338	0.127185	0.125388	0.141584	0.23066
a85	0.0234816	0.0238035	0.0247918	0.0318242	0.047998	0.0946909	0.159556	0.153556	0.173261	0.267037
a47	0.065169	0.0709804	0.0492166	0.0581562	0.0615834	0.0860019	0.135364	0.127441	0.140096	0.205991
a73	0.0959857	0.121282	0.0690629	0.0720036	0.0628912	0.0769394	0.110035	0.106165	0.119571	0.166064
a90	0.0709001	0.0883152	0.0679176	0.0832401	0.07382	0.0804583	0.104751	0.107692	0.141666	0.18124
a92	0.0213172	0.0239239	0.031324	0.0485072	0.0596833	0.0786292	0.111917	0.142866	0.207587	0.274245
a37	0.0340325	0.0416666	0.043593	0.0729528	0.0876903	0.0938028	0.11906	0.11934	0.163855	0.224007
a12	0.00931938	0.0112973	0.0140406	0.0288818	0.0479788	0.0711458	0.100175	0.138636	0.238602	0.339923
a96	0.00716761	0.00951528	0.00836393	0.0167834	0.0298304	0.0509321	0.0961792	0.142584	0.250864	0.38778
a18	0.00295576	0.00354896	0.00329787	0.00711488	0.0147438	0.0309549	0.0682211	0.129294	0.282836	0.457033
a71	0.00431829	0.0059746	0.00598392	0.010454	0.0148401	0.0236024	0.0571112	0.136657	0.280162	0.460896
a9	0.0344571	0.0277703	0.0277163	0.0382669	0.0404109	0.0473813	0.0722772	0.123188	0.225668	0.362863
a87	0.323135	0.117254	0.0811225	0.0618546	0.0522481	0.0537665	0.0560646	0.0611356	0.0764489	0.11697
a23	0.382321	0.230651	0.115363	0.06214	0.0442284	0.0389193	0.0336529	0.0290657	0.0295641	0.0340949
a87	0.117626	0.0720527	0.035262	0.0393615	0.0517151	0.0709472	0.12857	0.130115	0.160127	0.194224
</S>	0.0237495	0.0185878	0.0155784	0.0382606	0.0730664	0.103353	0.172971	0.157353	0.181529	0.215551
