 	il	apprend	à	lire	aux	enfants	</S>
a23	0.338429	0.33057	0.126267	0.0798227	0.0393165	0.0388644	0.0467308
a85	0.521604	0.215584	0.0900891	0.0577091	0.030095	0.0363453	0.0485737
a87	0.309308	0.314058	0.157926	0.0757612	0.0422861	0.0438971	0.0567637
a23	0.236628	0.273205	0.18634	0.103735	0.0566919	0.0586692	0.0847301
a87	0.231109	0.240363	0.181139	0.111497	0.0705482	0.0686044	0.0967403
a23	0.18261	0.277236	0.22244	0.108546	0.0620021	0.0612576	0.0859077
a20	0.178221	0.208125	0.197176	0.131293	0.0901365	0.0846629	0.110386
a35	0.377133	0.324621	0.155293	0.0746811	0.0261764	0.0212776	0.0208181
a30	0.283694	0.27824	0.227901	0.138614	0.0369305	0.018788	0.0158312
a41	0.187011	0.207451	0.243573	0.180816	0.0751581	0.0511526	0.0548377
a24	0.201813	0.202352	0.224105	0.189746	0.0876894	0.048806	0.0454884
a41	0.133376	0.146859	0.196291	0.203998	0.14531	0.0924903	0.0816748
a43	0.108868	0.123224	0.160765	0.196209	0.162703	0.124367	0.123863
a75	0.0534152	0.063412	0.0849378	0.138687	0.193118	0.221726	0.244705
a35	0.0617517	0.0656301	0.0917495	0.162563	0.2449	0.197968	0.175437
a75	0.0216261	0.0204365	0.041501	0.148026	0.300861	0.268233	0.199316
a35	0.01933	0.0132486	0.0269633	0.114559	0.301044	0.293148	0.231707
a61	0.0143811	0.00870999	0.0187962	0.102072	0.28062	0.314276	0.261146
a24	0.0088181	0.00485808	0.00786441	0.0454567	0.194662	0.337251	0.40109
a25	0.00862474	0.00466167	0.00523887	0.0221837	0.117246	0.308192	0.533854
a75	0.00787401	0.00301975	0.00319498	0.0190236	0.114958	0.320377	0.531552
a35	0.00749463	0.00210311	0.00284805	0.0213848	0.143976	0.331672	0.490521
a54	0.00425621	0.00144023	0.00238612	0.0220196	0.13804	0.333989	0.49787
a2	0.00686012	0.00353863	0.00572737	0.0297955	0.130444	0.309412	0.514222
a57	0.00382757	0.00169556	0.00210115	0.0117845	0.0798979	0.283306	0.617387
a87	0.00523882	0.0036974	0.00525029	0.0140578	0.0501748	0.204943	0.716637
</S>	0.00740705	0.00720449	0.0133359	0.038167	0.114091	0.280946	0.538848
