 	sa	manière	de	réveiller	le	malade	inquiète	les	gens	</S>
a66	0.350391	0.225881	0.123601	0.0623353	0.031557	0.0508779	0.056029	0.0418186	0.0293641	0.0281447
a87	0.437122	0.259189	0.117006	0.0590611	0.0293855	0.0209581	0.0162983	0.0149062	0.0193861	0.0266883
a23	0.508113	0.272937	0.0987312	0.0383329	0.0167371	0.0101941	0.00741606	0.00875958	0.0135363	0.0252432
a87	0.275987	0.259676	0.173658	0.119958	0.0434532	0.022677	0.0207308	0.0219696	0.0251249	0.0367651
a23	0.364107	0.277062	0.142969	0.0674736	0.0347007	0.019738	0.0183335	0.0205704	0.0234493	0.0315966
a18	0.27133	0.241006	0.167071	0.126247	0.0459253	0.0255587	0.0243484	0.0255628	0.0298405	0.0431108
a62	0.220545	0.199333	0.178498	0.118954	0.0510172	0.0348995	0.0348747	0.0403039	0.0533064	0.0682687
a61	0.305083	0.300479	0.234861	0.096164	0.0314968	0.0107228	0.00627484	0.00456671	0.00463061	0.00572094
a5	0.18446	0.320914	0.270543	0.153536	0.0380534	0.0137318	0.0060579	0.00416473	0.00394604	0.00459366
a18	0.112607	0.212224	0.265988	0.299821	0.0598031	0.0230246	0.0095713	0.0057323	0.00500795	0.0062208
a0	0.0928731	0.152462	0.212139	0.336664	0.107874	0.0386026	0.0166982	0.0125819	0.0126687	0.0174367
a24	0.084563	0.0924246	0.146403	0.311949	0.163901	0.0664138	0.0315946	0.0266648	0.0297468	0.0463396
a31	0.0596768	0.0797597	0.147719	0.357025	0.173553	0.0814726	0.0333997	0.0198314	0.0192327	0.0283298
a21	0.0572854	0.0667912	0.127793	0.237174	0.193599	0.131724	0.0664374	0.0391243	0.0338402	0.0462309
a75	0.0393866	0.0369484	0.0680204	0.156782	0.193119	0.174194	0.140028	0.0888838	0.0525336	0.0501035
a5	0.0133466	0.0146845	0.0307012	0.0805303	0.177087	0.212142	0.180885	0.131168	0.0849877	0.0744679
a37	0.0195071	0.0207982	0.0369761	0.0600526	0.118625	0.197036	0.207477	0.157333	0.0982496	0.0839461
a61	0.0141027	0.0154002	0.0321375	0.0437705	0.0984436	0.192772	0.233336	0.165148	0.103782	0.101106
a0	0.00878836	0.00724072	0.0129958	0.0200825	0.0528537	0.128164	0.227299	0.240665	0.16538	0.136531
