 	beaucoup	de	gens	aiment	manger	du	koko	</S>
a87	0.271361	0.1768	0.132697	0.147465	0.112324	0.0704541	0.0507056	0.0381927
a10	0.226321	0.125274	0.0799164	0.118007	0.106853	0.119879	0.115327	0.108422
a87	0.350266	0.207067	0.106091	0.0812481	0.057136	0.0545909	0.0650447	0.0785561
a23	0.363667	0.199301	0.08864	0.0756709	0.0653924	0.0644769	0.0711017	0.0717506
a54	0.321575	0.226564	0.112792	0.0768396	0.0609671	0.061227	0.072503	0.0675326
a47	0.432395	0.25139	0.149403	0.0542807	0.0293996	0.0219111	0.0274541	0.0337664
a85	0.414474	0.316621	0.162991	0.0359092	0.014615	0.0120255	0.0178141	0.0255508
a5	0.373199	0.340966	0.201004	0.0442838	0.0131255	0.00810334	0.00900168	0.010317
a31	0.363439	0.320394	0.208617	0.0531245	0.017625	0.0109595	0.0117224	0.0141183
a18	0.326652	0.29489	0.231954	0.071282	0.0252294	0.0156411	0.0155615	0.0187889
a98	0.140802	0.151583	0.202014	0.182242	0.105756	0.0683278	0.0661945	0.0830805
a85	0.201925	0.20598	0.232134	0.153577	0.069676	0.0442616	0.0405015	0.0519444
a26	0.145759	0.151867	0.187363	0.173464	0.109282	0.0756265	0.0687623	0.0878751
a88	0.129328	0.117401	0.133864	0.222346	0.143785	0.084149	0.0702984	0.0988292
a66	0.090971	0.0807021	0.100127	0.235923	0.191128	0.115284	0.0877515	0.0981133
a98	0.0464434	0.0374438	0.0404247	0.101607	0.154742	0.169807	0.206119	0.243413
a41	0.060002	0.0442414	0.044347	0.107433	0.190983	0.177461	0.161783	0.213749
a26	0.040532	0.0299854	0.0303742	0.071631	0.162765	0.195217	0.200082	0.269413
a21	0.0346839	0.0262712	0.0265607	0.0613391	0.11746	0.166405	0.238735	0.328545
a61	0.0431097	0.0322411	0.0335094	0.0728377	0.154929	0.198817	0.216171	0.248384
a88	0.0215603	0.0179642	0.0214456	0.0588759	0.142787	0.201532	0.230381	0.305453
a62	0.00836029	0.00687779	0.00805722	0.0282869	0.0721153	0.142129	0.236056	0.498118
a88	0.00805051	0.00760967	0.0100914	0.0348313	0.0823106	0.160187	0.238205	0.458715
a9	0.00470181	0.00492934	0.00743319	0.0296382	0.0613614	0.130895	0.222451	0.53859
a99	0.00484317	0.00345869	0.00389812	0.00956425	0.0367907	0.113825	0.24954	0.57808
a87	0.019102	0.011598	0.00924492	0.0160798	0.0525142	0.128397	0.250988	0.512076
a23	0.0779562	0.0491314	0.0328948	0.0718851	0.144258	0.193293	0.21334	0.217241
a87	0.0646043	0.038631	0.0250707	0.0515111	0.126515	0.181429	0.215025	0.297214
a10	0.0183004	0.0159136	0.0167664	0.0683262	0.143081	0.188415	0.200646	0.348551
a25	0.0334965	0.0257505	0.0221756	0.0683495	0.124544	0.172066	0.198897	0.354722
a10	0.0294769	0.0229087	0.0185265	0.0568554	0.140328	0.196863	0.205875	0.329165
</S>	0.0530127	0.0352579	0.0335221	0.0748124	0.116845	0.145061	0.171453	0.370037
