 	il	a	failli	mourir	de	cette	grave	maladie	</S>
a15	0.315521	0.179192	0.110588	0.106042	0.0828011	0.0758595	0.0538642	0.0405912	0.0355401
a87	0.176202	0.116291	0.0992246	0.126175	0.121683	0.116945	0.099243	0.0778676	0.066368
a23	0.14701	0.0586122	0.0598219	0.093515	0.115046	0.128968	0.122071	0.14117	0.133786
a53	0.13965	0.0795137	0.0649193	0.0908865	0.0892758	0.084808	0.0841287	0.151313	0.215504
a15	0.307767	0.214617	0.137791	0.102763	0.0638471	0.045163	0.0425463	0.0395908	0.0459149
a21	0.225028	0.29053	0.174107	0.0960302	0.0647811	0.0430143	0.0427391	0.0319508	0.0318197
a92	0.207847	0.339516	0.186844	0.0985448	0.0644505	0.0368943	0.0279111	0.0187218	0.0192701
a96	0.174345	0.275333	0.202128	0.116477	0.0763245	0.0456363	0.0377114	0.0327206	0.0393245
a90	0.176464	0.235798	0.175686	0.116679	0.0911167	0.0567745	0.0478848	0.0456582	0.053938
a76	0.154438	0.173921	0.14097	0.122491	0.107686	0.0727677	0.0631936	0.0711217	0.0934112
a69	0.126931	0.134349	0.119344	0.123993	0.115715	0.0808447	0.0738082	0.0960672	0.128948
a53	0.103203	0.108421	0.105486	0.135352	0.130169	0.0886482	0.0753008	0.108893	0.144528
a15	0.0788576	0.0733294	0.0765221	0.114691	0.127092	0.103598	0.0845319	0.142415	0.198964
a47	0.0687098	0.0581168	0.0519264	0.0729971	0.0797521	0.0827375	0.0700725	0.197285	0.318402
a37	0.084956	0.0756771	0.06213	0.0694256	0.0651386	0.0591787	0.0563823	0.168962	0.358149
a21	0.0699363	0.0580158	0.0608099	0.0683792	0.0616646	0.0540721	0.0478983	0.161935	0.417289
a66	0.147998	0.115719	0.0918707	0.0822415	0.0776588	0.0754981	0.0709169	0.134401	0.203696
a11	0.0306668	0.0241827	0.0332808	0.042633	0.0415843	0.0483277	0.0555376	0.215097	0.50869
a0	0.0116584	0.00876206	0.014876	0.0215863	0.0222365	0.0316829	0.0432434	0.218946	0.627009
a62	0.00546244	0.00393471	0.00661196	0.0104566	0.0127655	0.0244851	0.044867	0.227336	0.664081
a31	0.00771174	0.00620091	0.00828252	0.0136075	0.0182515	0.0364834	0.0733656	0.26115	0.574947
a88	0.00302038	0.00223097	0.00407375	0.00684165	0.00890293	0.0194603	0.0457499	0.241703	0.668017
a9	0.00244073	0.00188849	0.00429274	0.00833015	0.011714	0.0245812	0.0540272	0.262527	0.630198
a10	0.0156718	0.0110473	0.0215232	0.0318907	0.0360961	0.0542164	0.0719936	0.249223	0.508338
a87	0.0495174	0.0311609	0.0399674	0.0610106	0.0723483	0.0995932	0.105108	0.229974	0.311321
a23	0.0642555	0.0529327	0.065753	0.10369	0.120654	0.133674	0.116156	0.16822	0.174666
a87	0.0245058	0.0194615	0.0219403	0.0327624	0.049525	0.0731788	0.117652	0.264715	0.396258
</S>	0.00893482	0.00863228	0.0120834	0.0264091	0.0401401	0.054913	0.0922421	0.244634	0.512011
