 	ajoute	du	sel	dans	la	soupe	</S>
a23	0.319121	0.232241	0.190625	0.128355	0.0852105	0.0249959	0.0194525
a83	0.377923	0.24813	0.140659	0.0676286	0.047985	0.0498403	0.0678327
a35	0.334366	0.231297	0.155712	0.0975805	0.0648975	0.0589177	0.0572296
a30	0.4747	0.247898	0.12157	0.0582903	0.0326464	0.0379653	0.0269291
a35	0.313868	0.268628	0.192092	0.10815	0.0538141	0.0407153	0.0227323
a11	0.302864	0.280967	0.214918	0.114939	0.0480418	0.0238714	0.0143989
a54	0.284059	0.259286	0.215095	0.130275	0.057358	0.0331817	0.0207459
a14	0.216796	0.235952	0.225634	0.158057	0.0820714	0.0473703	0.0341194
a76	0.23155	0.255841	0.243179	0.151922	0.0687904	0.0285309	0.0201874
a90	0.227582	0.258659	0.242238	0.143759	0.068727	0.0326937	0.0263418
a25	0.228803	0.232047	0.239347	0.164866	0.0733551	0.0338786	0.0277024
a87	0.147126	0.182204	0.228802	0.191007	0.113671	0.0727741	0.0644166
a79	0.0474781	0.0710638	0.103508	0.13475	0.15909	0.247045	0.237065
a20	0.114133	0.139874	0.172018	0.149901	0.105594	0.144959	0.173521
a30	0.169504	0.200389	0.208478	0.149359	0.0972234	0.0865512	0.0884944
a94	0.109957	0.14449	0.197083	0.172039	0.127852	0.115234	0.133344
a11	0.0971888	0.105428	0.133123	0.147607	0.14392	0.16331	0.209423
a54	0.0519104	0.0629778	0.0853498	0.10491	0.121159	0.248725	0.324968
a30	0.0584838	0.0740213	0.105145	0.121151	0.134256	0.195354	0.311589
a57	0.0328122	0.0442996	0.0719302	0.093428	0.119332	0.243723	0.394474
a87	0.0134815	0.0130478	0.0176306	0.0282958	0.0678894	0.27205	0.587604
a23	0.013471	0.0166097	0.030569	0.0623361	0.145356	0.375766	0.355893
a10	0.0237851	0.0240994	0.0356666	0.0745461	0.196224	0.31234	0.333339
a32	0.0133889	0.0147617	0.0213689	0.0411849	0.113457	0.309784	0.486054
a34	0.0126512	0.0130066	0.0169171	0.0257501	0.0523538	0.238359	0.640962
a35	0.0311061	0.0292372	0.0363137	0.0481527	0.0812796	0.308845	0.465066
a94	0.0250481	0.0215967	0.0244393	0.0352197	0.0675087	0.264797	0.561391
a4	0.0201654	0.0155841	0.0150801	0.0206762	0.0452581	0.213799	0.669437
a13	0.0234947	0.0178592	0.017154	0.0225888	0.0456662	0.210709	0.662528
a9	0.0350122	0.0235091	0.0186022	0.022568	0.0509031	0.170067	0.679338
a87	0.0302273	0.0232423	0.0238412	0.0325872	0.0732986	0.168489	0.648314
</S>	0.0346017	0.0307958	0.0358491	0.0501207	0.0968759	0.190239	0.561518
