 	cette	savane	a	été	brûlée	</S>
a79	0.571429	0.223088	0.0964337	0.0500923	0.0332561	0.0257006
a15	0.581038	0.165937	0.0935801	0.0650109	0.0476706	0.0467644
a79	0.387522	0.215561	0.106713	0.0828913	0.0982867	0.109026
a98	0.378392	0.282961	0.145942	0.0892551	0.061101	0.0423488
a73	0.29412	0.31591	0.182695	0.112954	0.060978	0.0333436
a56	0.308335	0.314192	0.174125	0.106755	0.0589823	0.0376109
a44	0.196694	0.272802	0.205133	0.159226	0.105051	0.0610937
a76	0.184106	0.231708	0.203934	0.152935	0.116342	0.110975
a44	0.156546	0.219153	0.203833	0.157286	0.126547	0.136636
a94	0.130319	0.173768	0.228335	0.197036	0.13489	0.135652
a56	0.0986301	0.120079	0.176149	0.208819	0.181662	0.214662
a94	0.0334179	0.0603804	0.126075	0.212738	0.258251	0.309138
a56	0.0184534	0.0251508	0.0502673	0.111055	0.251338	0.543736
a66	0.018043	0.0229116	0.0380037	0.0906759	0.247023	0.583343
a38	0.00459195	0.00446606	0.0105034	0.0349308	0.184724	0.760784
a53	0.00372547	0.00364404	0.00924651	0.0351585	0.183607	0.764618
a4	0.00449697	0.00368703	0.00700633	0.0256902	0.177529	0.78159
a70	0.00519267	0.00561567	0.0113134	0.0389397	0.177676	0.761262
a54	0.0223978	0.0174899	0.0308758	0.0838284	0.220507	0.624902
a73	0.0154293	0.0157239	0.0283955	0.078861	0.223666	0.637925
a2	0.00336185	0.00566238	0.0160362	0.0649114	0.203472	0.706556
a57	0.0504079	0.046427	0.0509391	0.0980281	0.198179	0.556019
a87	0.175315	0.125258	0.115724	0.157461	0.173389	0.252854
a23	0.157913	0.109045	0.0907529	0.134724	0.184702	0.322863
a87	0.042648	0.0605747	0.0756321	0.16166	0.304318	0.355168
</S>	0.0130877	0.0178849	0.0378786	0.100004	0.291078	0.540067
