 	elle	remplit	son	verre	jusqu'	au	bord	</S>
a23	0.229731	0.123392	0.0601098	0.0623449	0.0642111	0.104089	0.160764	0.195358
a87	0.492283	0.224996	0.0786037	0.0320237	0.0265939	0.027564	0.0491163	0.0688187
a23	0.39736	0.239987	0.103191	0.0393639	0.0330006	0.0363452	0.0589503	0.0918021
a20	0.360385	0.149721	0.0645336	0.0284175	0.0367861	0.05613	0.106924	0.197104
a73	0.339545	0.161893	0.0719876	0.0742683	0.0754613	0.0708706	0.0932872	0.112687
a30	0.449146	0.225707	0.105661	0.0516583	0.0384837	0.0365494	0.0411153	0.0516799
a41	0.391933	0.219631	0.148674	0.0704464	0.0424832	0.0381605	0.0400642	0.0486071
a18	0.227658	0.171753	0.177623	0.123541	0.0862138	0.0736338	0.0662986	0.0732799
a41	0.195134	0.162864	0.197936	0.152462	0.0927469	0.0693875	0.0613802	0.0680898
a14	0.131322	0.107134	0.154146	0.164467	0.133069	0.102672	0.0959178	0.111271
a35	0.104112	0.109328	0.161492	0.168554	0.143986	0.104517	0.0975299	0.110481
a11	0.0674168	0.0902183	0.152077	0.184263	0.179471	0.122315	0.098858	0.105381
a14	0.0650263	0.0838257	0.125888	0.172107	0.164857	0.119138	0.118488	0.15067
a30	0.0526596	0.074671	0.120743	0.155852	0.170622	0.143302	0.1313	0.15085
a2	0.051571	0.0682296	0.121635	0.18265	0.166452	0.118717	0.125106	0.165639
a57	0.0343918	0.0253181	0.0491486	0.0891408	0.136022	0.117001	0.190259	0.358719
a38	0.0222934	0.0194937	0.0335047	0.0726736	0.140084	0.129117	0.203311	0.379522
a41	0.033863	0.0332215	0.0517994	0.112951	0.188416	0.166059	0.178046	0.235644
a44	0.0219664	0.0301888	0.0674652	0.163587	0.26952	0.18786	0.137822	0.121591
a53	0.0323794	0.0328646	0.0638789	0.146754	0.245853	0.194012	0.147162	0.137096
a76	0.0305063	0.0252408	0.0490798	0.125152	0.219836	0.197117	0.176003	0.177065
a98	0.0144029	0.0143969	0.0312698	0.0884201	0.173969	0.207933	0.223514	0.246094
a14	0.0111999	0.0119272	0.0280304	0.082044	0.19748	0.228645	0.21499	0.225684
a30	0.0129512	0.0145876	0.0313894	0.085356	0.171475	0.19921	0.225789	0.259242
a14	0.0115576	0.010628	0.0228136	0.0720945	0.178703	0.216645	0.23459	0.252968
a73	0.00810077	0.00786681	0.0174353	0.0578844	0.158364	0.221915	0.254153	0.274281
a20	0.00599989	0.00546742	0.0124859	0.0426356	0.131671	0.20287	0.274702	0.324168
a76	0.0113888	0.010822	0.0237447	0.0683765	0.162867	0.204691	0.244536	0.273574
a73	0.0149213	0.0112612	0.0179274	0.0428084	0.111369	0.185781	0.270309	0.345622
a84	0.00435081	0.00445596	0.00918726	0.0286353	0.0847917	0.16067	0.300449	0.40746
a11	0.00272777	0.00137408	0.00244103	0.00677778	0.0334037	0.0865011	0.289398	0.577377
a25	0.00228772	0.00133504	0.00265324	0.00636918	0.0223564	0.0681027	0.275333	0.621563
a94	0.00175487	0.00152091	0.00256737	0.00569724	0.0170484	0.0601746	0.262244	0.648993
a58	0.0020747	0.00174402	0.00361909	0.00782727	0.022983	0.0644541	0.247515	0.649783
a54	0.00249735	0.00175025	0.00352491	0.00758709	0.0225595	0.0626755	0.251267	0.648138
a73	0.00612334	0.00515068	0.00839666	0.0131797	0.0304527	0.0824984	0.266037	0.588162
a2	0.00198127	0.00170675	0.00282474	0.00655498	0.0201896	0.061239	0.259094	0.64641
a57	0.00364672	0.0020648	0.00363752	0.0086369	0.0328428	0.0932196	0.294702	0.561249
a87	0.00506824	0.00293216	0.00525211	0.00993299	0.038988	0.122022	0.298843	0.516962
</S>	0.00382572	0.00300648	0.00560396	0.0162252	0.0537496	0.144156	0.295101	0.478332
