 	cet	homme	est	en	train	de	se	raser	la	barbe	</S>
a23	0.192097	0.129103	0.122337	0.107688	0.118622	0.114685	0.0952924	0.0522312	0.0385397	0.0170434	0.0123624
a10	0.202462	0.0925194	0.073253	0.0670107	0.0946427	0.140841	0.118207	0.127154	0.0441889	0.0178582	0.0218626
a87	0.158982	0.122574	0.104147	0.080134	0.0817011	0.0978656	0.0876599	0.139604	0.0526148	0.0289535	0.0457642
a23	0.183144	0.131506	0.103854	0.0721317	0.0699858	0.073031	0.0776152	0.114213	0.0717331	0.0442288	0.0585585
a83	0.223867	0.163173	0.124555	0.0747439	0.0705878	0.0763884	0.0669778	0.0641504	0.0436733	0.0363184	0.0555653
a5	0.318348	0.206394	0.150611	0.0838961	0.0629774	0.0503587	0.039754	0.0277606	0.0227882	0.0169945	0.0201179
a18	0.247883	0.241213	0.177242	0.0972276	0.0633004	0.0488645	0.0375595	0.0436393	0.0186151	0.0107629	0.0136932
a31	0.233194	0.217907	0.157797	0.0886468	0.0684686	0.063322	0.0572725	0.0645722	0.0228895	0.011048	0.0148822
a66	0.228093	0.218778	0.164238	0.0986437	0.0739417	0.0680064	0.0531418	0.0636692	0.01385	0.007467	0.0101705
a90	0.185272	0.164621	0.142984	0.106806	0.0849685	0.0719294	0.0674475	0.086256	0.0416632	0.0223079	0.0257445
a75	0.126441	0.131813	0.134103	0.121326	0.105517	0.0938815	0.0833976	0.0962792	0.0438655	0.0291168	0.0342591
a61	0.115325	0.122575	0.121434	0.104007	0.0902035	0.0932984	0.083824	0.0963479	0.0627112	0.0527572	0.0575166
a47	0.0562897	0.0561231	0.0714707	0.088264	0.0962541	0.107997	0.118236	0.180438	0.106079	0.0568168	0.0620304
a61	0.0458318	0.0401673	0.0526875	0.0733468	0.0896689	0.10107	0.121933	0.199316	0.145307	0.0693896	0.0612818
a21	0.0288472	0.0249603	0.0313856	0.047267	0.0646674	0.0819649	0.112049	0.189496	0.209913	0.117471	0.0919794
a61	0.0407318	0.0349906	0.038496	0.0515151	0.0656449	0.0806655	0.0976668	0.122186	0.194863	0.149076	0.124165
a21	0.0190566	0.0144349	0.0152968	0.021192	0.0305019	0.0415683	0.0610245	0.0923364	0.226568	0.246513	0.231508
a61	0.0384895	0.0291889	0.0310915	0.0392753	0.0470594	0.048568	0.0495865	0.0492559	0.168134	0.253313	0.246038
a18	0.00617458	0.00488658	0.00562431	0.00916972	0.0151174	0.0213282	0.0317967	0.0538424	0.181911	0.293055	0.377093
a21	0.00400367	0.00297175	0.00373451	0.007218	0.0141429	0.0231837	0.0294277	0.0346717	0.0925645	0.192648	0.595433
a47	0.00809732	0.00540206	0.00628063	0.0097533	0.0137352	0.0169034	0.0187682	0.0231458	0.101152	0.27546	0.521302
a88	0.00521296	0.00421503	0.00503551	0.00886466	0.0153949	0.0232834	0.029748	0.0401487	0.11761	0.236141	0.514345
a9	0.00171453	0.00147119	0.00186306	0.00402227	0.00867531	0.0154661	0.02463	0.0295318	0.132948	0.243279	0.536399
a87	0.00690665	0.00489764	0.00606752	0.0104693	0.0166067	0.0241126	0.0279558	0.0269655	0.0607783	0.198935	0.616305
a23	0.0869329	0.0529631	0.0488317	0.0500178	0.065377	0.0814509	0.0695009	0.0672294	0.102443	0.152107	0.223146
a10	0.00524919	0.00314692	0.00307751	0.00431937	0.00750773	0.0110056	0.0164864	0.0229953	0.115838	0.30109	0.509284
a87	0.00314712	0.00216718	0.00237711	0.00391185	0.00710511	0.0111648	0.0189275	0.0272425	0.123865	0.278378	0.521714
a23	0.00759368	0.00510409	0.00551237	0.00857421	0.0144899	0.0205375	0.027303	0.0331823	0.128466	0.266805	0.482432
a87	0.00943966	0.00628652	0.00617832	0.00834304	0.0131695	0.0170109	0.0237089	0.0277683	0.16427	0.300906	0.422918
</S>	0.0118157	0.00779901	0.00815202	0.0120435	0.0184746	0.0240885	0.0318574	0.0352359	0.143099	0.257933	0.449501
