 	nous	avons	comblé	les	trous	qui	étaient	au	milieu	de	la	route	</S>
a66	0.151897	0.119102	0.0742814	0.0933061	0.140931	0.140598	0.110953	0.0742669	0.046193	0.0204964	0.0119393	0.00838261	0.00765227
a10	0.306195	0.16957	0.12314	0.0851793	0.0519995	0.0380967	0.0447998	0.0556829	0.0514467	0.0266095	0.0161695	0.0138276	0.0172846
a87	0.373685	0.282537	0.131481	0.067896	0.0337427	0.0309114	0.0266916	0.0166723	0.00966675	0.00651039	0.00537843	0.00612148	0.00870593
a23	0.290506	0.349306	0.134695	0.073202	0.0310968	0.0337512	0.0313811	0.0197151	0.0113912	0.00713266	0.00549817	0.0052677	0.00705734
a50	0.247706	0.305325	0.155633	0.0680858	0.0395136	0.0410804	0.0408244	0.0283551	0.0200312	0.0129858	0.0106126	0.0125172	0.0173299
a88	0.235662	0.272511	0.162776	0.0793578	0.0489091	0.0431003	0.0435839	0.030402	0.0244123	0.0161999	0.0134491	0.0140459	0.0155903
a0	0.258146	0.236575	0.21166	0.117322	0.0580123	0.0333895	0.0332569	0.0187243	0.0117659	0.00702814	0.00493803	0.00474545	0.00443541
a61	0.182295	0.1971	0.299109	0.122118	0.0579395	0.0355124	0.0314221	0.0237532	0.0164228	0.0102373	0.00773533	0.00808368	0.00827217
a21	0.166029	0.160132	0.325602	0.124257	0.0741761	0.0480259	0.0351474	0.0249541	0.0146066	0.0085101	0.00625259	0.00610436	0.00620325
a12	0.12683	0.112122	0.307372	0.128623	0.106223	0.0735737	0.0518146	0.0355683	0.0207173	0.0116058	0.00852325	0.00828801	0.00873822
a88	0.170286	0.149198	0.272678	0.109828	0.0828872	0.0665263	0.0426769	0.031689	0.0210842	0.014202	0.0120629	0.0129259	0.013955
a31	0.0989887	0.0970112	0.198592	0.123723	0.125119	0.111858	0.0659772	0.0452727	0.0317074	0.0231585	0.0215209	0.0262529	0.0308183
