 	l'	autre	chose	qu'	il	m'	a	promise	c'	était	une	chemise	</S>
a66	0.220428	0.175142	0.133068	0.0612224	0.0515949	0.0620404	0.066387	0.0745459	0.0470967	0.0346579	0.0307693	0.0233411	0.0197066
a87	0.211048	0.138495	0.100882	0.0683931	0.0527055	0.0681067	0.0801103	0.0927544	0.0507326	0.0418365	0.0350089	0.0296966	0.0302308
a97	0.353501	0.233965	0.179993	0.0542667	0.0244825	0.0319064	0.0362688	0.0381898	0.0131953	0.00897264	0.00799773	0.00802548	0.00923584
a87	0.317803	0.209303	0.191455	0.0662313	0.0299861	0.0386961	0.0457205	0.0414637	0.0151265	0.0132377	0.0117785	0.0101017	0.00909672
a23	0.291678	0.193491	0.160795	0.0603586	0.0320554	0.0451278	0.0547166	0.055116	0.0247628	0.0242641	0.0226133	0.0193142	0.0157074
a87	0.285402	0.141846	0.105949	0.0547218	0.0444547	0.0575726	0.0644349	0.05485	0.0381945	0.0402389	0.0388269	0.0376408	0.0358682
a23	0.339076	0.160385	0.118757	0.0460772	0.0309624	0.0345579	0.0348699	0.0351042	0.0361227	0.0434296	0.0437361	0.0402397	0.0366826
a50	0.180037	0.118301	0.0942707	0.0644946	0.0560916	0.0529101	0.0491209	0.0478092	0.0560208	0.0593671	0.0627732	0.0747976	0.0840059
a90	0.132236	0.167723	0.186288	0.124925	0.0883477	0.0598212	0.0459737	0.0393316	0.0354336	0.0267771	0.0276744	0.0278301	0.0376381
a62	0.142781	0.208149	0.208737	0.144936	0.0947803	0.057747	0.0495785	0.0328657	0.0177177	0.0110162	0.00946504	0.00981069	0.0124155
a12	0.0563992	0.106842	0.150421	0.160955	0.126052	0.100839	0.0981668	0.0798695	0.0362653	0.0238766	0.0206916	0.0188914	0.0207309
a62	0.0360361	0.0674735	0.119853	0.152617	0.125782	0.110338	0.112999	0.112286	0.044629	0.0298172	0.0278022	0.0275047	0.032863
a88	0.0316377	0.0619875	0.110221	0.167016	0.135384	0.116946	0.113992	0.114288	0.0396698	0.0257792	0.0241167	0.0255158	0.0334459
a24	0.0284204	0.0503318	0.0882235	0.157289	0.131749	0.125455	0.124277	0.135532	0.0434271	0.0276571	0.0252461	0.0265638	0.0358278
a62	0.0204182	0.033585	0.056685	0.141324	0.1334	0.141153	0.139505	0.155018	0.0507265	0.0314193	0.0273768	0.0286343	0.040756
a93	0.0160222	0.0270272	0.0449465	0.125169	0.136729	0.143615	0.150201	0.166652	0.0587182	0.0365481	0.02921	0.028137	0.0370257
a90	0.016586	0.0258466	0.0378113	0.119375	0.134181	0.145483	0.147401	0.167224	0.0641712	0.0411934	0.031874	0.0292007	0.039652
a93	0.0174749	0.0270464	0.0345436	0.118886	0.151093	0.144087	0.139882	0.143166	0.0603737	0.0444647	0.036936	0.0341083	0.0479386
a70	0.0214875	0.0292533	0.0328361	0.114042	0.138025	0.137795	0.137742	0.146865	0.0723722	0.0508416	0.0383628	0.0326915	0.047685
a98	0.00991021	0.012637	0.0146125	0.0669318	0.106058	0.147515	0.158515	0.170071	0.0892962	0.0631481	0.0517311	0.0436866	0.0658878
a13	0.0111062	0.0152255	0.0167161	0.0786271	0.137615	0.150324	0.159063	0.153513	0.0660597	0.0532313	0.051246	0.047538	0.0597357
a11	0.00471935	0.00597783	0.00478772	0.0306487	0.0830652	0.153601	0.184014	0.185509	0.102701	0.0716699	0.0554083	0.0463899	0.0715082
a90	0.00619659	0.0068609	0.00496865	0.0257672	0.0685734	0.137586	0.169064	0.179556	0.106947	0.0793211	0.0688825	0.0579292	0.0883474
a69	0.0074018	0.00873732	0.00659369	0.0299185	0.0787178	0.129476	0.164886	0.164651	0.0877762	0.0700097	0.0725117	0.0736994	0.105621
a4	0.00382484	0.00483809	0.00389691	0.0212573	0.0634296	0.129884	0.174216	0.177727	0.0919352	0.0749286	0.0803087	0.0736539	0.100099
a57	0.00365672	0.00417418	0.00290746	0.0176125	0.0556346	0.11271	0.153055	0.150755	0.0946525	0.0826935	0.0911775	0.0970361	0.133934
a40	0.00229794	0.00235906	0.00142544	0.00845023	0.0318146	0.0840189	0.124573	0.142212	0.095226	0.0892896	0.105005	0.115876	0.197452
a36	0.00299546	0.00355789	0.00304068	0.0134868	0.0351907	0.0869974	0.146856	0.153199	0.0948423	0.0886903	0.107055	0.113374	0.150715
a37	0.00128635	0.00132792	0.000916359	0.00474184	0.017921	0.0522815	0.0921274	0.109135	0.0828072	0.0886996	0.121403	0.157419	0.269933
a70	0.00130291	0.00120378	0.000719515	0.0028192	0.00926003	0.0269117	0.0562024	0.0794047	0.0635919	0.0768318	0.121307	0.190991	0.369454
a83	0.00143316	0.00132314	0.000698571	0.00349215	0.0121591	0.0327275	0.0651579	0.0877521	0.0669723	0.0851302	0.123933	0.180794	0.338426
a66	0.00110169	0.00107447	0.000610859	0.00235926	0.00680597	0.0179526	0.0377181	0.061046	0.0500405	0.0717874	0.129697	0.207395	0.412412
a26	0.00100153	0.000964477	0.000600919	0.00187191	0.00484984	0.0117486	0.0251334	0.0458133	0.0420912	0.0698053	0.139753	0.226599	0.429768
a82	0.00076179	0.000666142	0.000466787	0.00147548	0.00346927	0.00797404	0.0153583	0.0350246	0.0312213	0.0644919	0.144256	0.260293	0.434541
a57	0.00576498	0.00338016	0.00228282	0.00464635	0.00768032	0.0120749	0.0190029	0.0443559	0.0442302	0.104117	0.187511	0.268986	0.295967
a3	0.0345552	0.0163661	0.00916185	0.0116048	0.0182323	0.0254883	0.0369675	0.064266	0.0569445	0.106058	0.179002	0.23615	0.205203
a97	0.0738218	0.0438135	0.0221677	0.0215899	0.0330466	0.0492882	0.0754137	0.104241	0.0817319	0.107652	0.135902	0.144412	0.10692
a87	0.0864686	0.0535834	0.0273163	0.0327346	0.056561	0.096411	0.135889	0.130168	0.0722904	0.0735139	0.0829508	0.0840948	0.0680186
a97	0.0915006	0.0660971	0.036384	0.0459037	0.0806753	0.123283	0.157325	0.129457	0.0583351	0.0490668	0.0546714	0.0552313	0.0520698
a87	0.0607436	0.0482366	0.0288991	0.0579275	0.103708	0.135087	0.14998	0.134015	0.0597839	0.0474058	0.0524681	0.0582257	0.0635194
a97	0.0639327	0.0539496	0.0320489	0.0590192	0.100462	0.121394	0.134614	0.113685	0.0539581	0.0458771	0.0572821	0.0737204	0.0900557
a87	0.0710246	0.0556895	0.0333999	0.0693493	0.103035	0.118042	0.132146	0.111196	0.052108	0.0444051	0.0544212	0.0716506	0.0835337
</S>	0.0817205	0.0679553	0.0443326	0.0759123	0.100631	0.115661	0.133395	0.110048	0.051729	0.0429621	0.0493259	0.0601499	0.0661781
