 	va	faire	tes	sottises	ailleurs	</S>
a23	0.33155	0.170602	0.192426	0.147153	0.1138	0.044469
a87	0.257408	0.177536	0.191425	0.161679	0.124683	0.0872683
a23	0.189162	0.190488	0.177221	0.123554	0.158155	0.16142
a87	0.311346	0.279589	0.191071	0.0645037	0.0744595	0.0790299
a23	0.301054	0.253948	0.168646	0.0818546	0.104934	0.0895635
a38	0.425603	0.255074	0.114715	0.047645	0.0883275	0.0686359
a11	0.459953	0.3191	0.145951	0.0457924	0.018059	0.0111439
a90	0.399337	0.340112	0.164171	0.0571835	0.0223557	0.0168397
a76	0.240221	0.272024	0.218195	0.122294	0.0677194	0.0795479
a90	0.272785	0.300536	0.253566	0.121308	0.0315329	0.0202734
a25	0.288227	0.307279	0.247494	0.110218	0.0250449	0.0217363
a38	0.245648	0.257159	0.234771	0.168029	0.0542216	0.0401711
a90	0.298156	0.267011	0.20739	0.129904	0.059888	0.0376511
a38	0.282443	0.247871	0.205257	0.156075	0.0698088	0.0385448
a10	0.249777	0.227952	0.211268	0.14976	0.104942	0.0563007
a26	0.201135	0.186626	0.18164	0.149808	0.175239	0.105552
a35	0.155242	0.137075	0.1415	0.140635	0.253033	0.172516
a26	0.151231	0.143094	0.150322	0.114951	0.234544	0.205858
a75	0.119757	0.127136	0.138154	0.106975	0.269076	0.238902
a14	0.0937771	0.0779942	0.0858636	0.0974493	0.265174	0.379742
a35	0.0732579	0.0786985	0.0912374	0.0794238	0.263965	0.413418
a76	0.0324294	0.0313516	0.0317877	0.0352033	0.274575	0.594653
a20	0.0383482	0.0306525	0.0251772	0.0458772	0.252975	0.60697
a84	0.0332368	0.026807	0.0237577	0.023778	0.235957	0.656464
a87	0.022383	0.0220124	0.0175312	0.024324	0.226368	0.687382
a79	0.0232152	0.0174192	0.0134223	0.0249922	0.203878	0.717073
a41	0.0300389	0.0194502	0.0135482	0.0144846	0.166453	0.756025
a35	0.00755138	0.00553795	0.00581874	0.0115682	0.183424	0.7861
a62	0.00456442	0.00368728	0.00314739	0.00737859	0.142698	0.838524
a12	0.00505629	0.00466668	0.00418041	0.00621049	0.131008	0.848878
a98	0.00765684	0.0056725	0.0045599	0.00622657	0.122246	0.853638
a71	0.00861572	0.00487775	0.00347071	0.00530636	0.122889	0.85484
a9	0.0228351	0.0114228	0.0066869	0.0128384	0.219903	0.726314
a11	0.0221497	0.0103984	0.00738918	0.0137915	0.269755	0.676517
a75	0.0224813	0.0119583	0.00822576	0.0137119	0.286486	0.657137
a35	0.010873	0.00747608	0.00517693	0.00540987	0.200219	0.770845
a43	0.00467142	0.00327653	0.00285182	0.00441827	0.14802	0.836762
a11	0.00577548	0.00399003	0.00297863	0.00420769	0.142347	0.840702
a83	0.00950568	0.00603805	0.00426304	0.00581712	0.170098	0.804279
a9	0.0110416	0.00640862	0.00461787	0.00683018	0.188252	0.78285
a87	0.014676	0.00722229	0.00479762	0.00994131	0.285089	0.678274
a23	0.0186319	0.00983395	0.00634155	0.0115658	0.272074	0.681553
a87	0.0541244	0.0295294	0.0158558	0.0265629	0.320783	0.553145
a23	0.0589892	0.0359864	0.0213649	0.0235341	0.252992	0.607133
a87	0.0610873	0.0456426	0.0292308	0.0407001	0.270904	0.552436
</S>	0.101284	0.0669899	0.0406824	0.0350203	0.239302	0.516722
