 	ma	mère	m'	a	défendu	d'	utiliser	les	feuilles	aboyo	comme	emballage	</S>
a66	0.0727944	0.0514946	0.0494076	0.0546225	0.0578364	0.0784841	0.156113	0.179132	0.14023	0.121472	0.0226861	0.0102871	0.00543982
a87	0.1742	0.121771	0.123302	0.0997571	0.0785422	0.0573095	0.0349999	0.0509504	0.0537407	0.0747611	0.050809	0.0423379	0.0375195
a83	0.24058	0.16114	0.106589	0.0883963	0.0584748	0.0574628	0.0643904	0.0629503	0.0475185	0.0673005	0.0172972	0.0121675	0.0157329
a70	0.119264	0.105631	0.104875	0.109171	0.0876624	0.0735047	0.127519	0.0894562	0.0613814	0.0834747	0.0210672	0.0113467	0.0056462
a90	0.179892	0.148219	0.0978296	0.0977109	0.0702584	0.0630662	0.108523	0.0822246	0.0545399	0.0664537	0.0183486	0.00859892	0.004335
a98	0.152908	0.136712	0.107419	0.105636	0.108264	0.08554	0.0958323	0.0653152	0.0470492	0.0492241	0.0234157	0.0146198	0.00806485
a85	0.0948056	0.10398	0.0944816	0.108579	0.122018	0.101574	0.133004	0.0792006	0.0570965	0.0607612	0.024259	0.013255	0.00698623
a41	0.0859955	0.0975206	0.101135	0.122219	0.135433	0.113672	0.134897	0.0647937	0.0526387	0.053988	0.0174813	0.011007	0.00921983
a75	0.0704428	0.0720774	0.0789417	0.113069	0.139161	0.142747	0.159191	0.068222	0.0554677	0.05412	0.0193515	0.0140033	0.0132068
a61	0.0678324	0.0648008	0.0719746	0.101231	0.127866	0.116786	0.159999	0.0683683	0.0621027	0.0619947	0.0352214	0.029672	0.0321503
a96	0.0568781	0.0731432	0.0922676	0.106507	0.139851	0.156182	0.137963	0.0824403	0.067949	0.0458701	0.0122384	0.0112711	0.0174395
a75	0.0430474	0.0616527	0.0879458	0.0982493	0.132309	0.155736	0.132475	0.0954941	0.0809606	0.0584055	0.0145036	0.0138569	0.025364
a25	0.0347231	0.0463591	0.0619178	0.0746713	0.0990184	0.124051	0.146307	0.0949476	0.0885534	0.0712699	0.0391231	0.0435867	0.075472
a15	0.030207	0.045724	0.062838	0.0729678	0.0973931	0.13265	0.107658	0.0754954	0.0701146	0.0489136	0.0424818	0.067242	0.146314
a75	0.0202901	0.0303453	0.0426365	0.0469027	0.0659214	0.0973076	0.0914874	0.0877096	0.0735011	0.0657441	0.0642482	0.105018	0.208888
a92	0.0152564	0.0213847	0.0293168	0.0327579	0.0450985	0.0670476	0.0856797	0.0871402	0.0758692	0.0705974	0.0838642	0.140531	0.245456
a75	0.0156647	0.0221564	0.0287522	0.0331266	0.0432292	0.0710113	0.0982665	0.103632	0.0981897	0.0869882	0.0753584	0.110694	0.212931
a85	0.0144318	0.0196787	0.0227619	0.0233243	0.0296814	0.0520218	0.0583116	0.0727384	0.0662572	0.0605187	0.0829616	0.159372	0.337941
a47	0.0130665	0.0173255	0.019027	0.0200568	0.0245785	0.0420277	0.046447	0.0436443	0.0412732	0.0346554	0.0673803	0.159249	0.471269
a37	0.0190719	0.0223172	0.0222196	0.0192062	0.020164	0.0359116	0.0382069	0.0404382	0.0442263	0.0354064	0.0883313	0.172238	0.442263
a21	0.00795949	0.0103039	0.0130209	0.015164	0.0181436	0.0289988	0.0259883	0.0363884	0.0310201	0.0403597	0.0995391	0.193933	0.479181
a92	0.00866452	0.0102032	0.0112034	0.012751	0.0126075	0.0186655	0.0232073	0.0253235	0.0306803	0.0401543	0.126045	0.231972	0.448522
a98	0.0041506	0.0052901	0.00584669	0.00612658	0.00570873	0.0088832	0.00975656	0.0124937	0.0138323	0.0240874	0.107841	0.233482	0.562501
a85	0.00248031	0.00279168	0.00250701	0.0022577	0.00221849	0.00386057	0.00461053	0.00783868	0.00963486	0.0116357	0.0814829	0.221094	0.647588
a47	0.0014553	0.0016152	0.00157461	0.00146388	0.00160124	0.0028201	0.00375518	0.00636395	0.00794864	0.00974504	0.0868736	0.22964	0.645144
a7	0.00238536	0.00238761	0.0023863	0.00202296	0.00236614	0.00326651	0.00336512	0.00554088	0.00837689	0.012605	0.10981	0.285443	0.560045
a44	0.00349003	0.00389794	0.00473901	0.00490422	0.00614754	0.00924527	0.00725753	0.0123815	0.017358	0.026552	0.100969	0.241441	0.561616
a34	0.00259458	0.00252152	0.00281158	0.00267278	0.00313629	0.0037373	0.00297489	0.00490074	0.00547637	0.0121295	0.10176	0.297442	0.557843
a93	0.00197294	0.00176804	0.00169826	0.00159816	0.0015592	0.00243777	0.00257898	0.00536762	0.00689271	0.0186857	0.119452	0.281523	0.554465
a70	0.00137137	0.00129935	0.00142042	0.00143345	0.00140309	0.00248135	0.00241351	0.0053095	0.00717886	0.0168835	0.114829	0.263564	0.580412
a83	0.00106411	0.00107163	0.00128551	0.00127651	0.00127305	0.00204148	0.00174173	0.00404714	0.00506817	0.0125108	0.118265	0.25419	0.596164
a9	0.000638917	0.00069513	0.000986122	0.00112019	0.00118116	0.00198736	0.00142577	0.00365123	0.00424539	0.010644	0.139134	0.26171	0.57258
a10	0.0137268	0.0130236	0.0151585	0.0146844	0.0150825	0.0171669	0.0115213	0.0178452	0.0249968	0.03851	0.196332	0.2476	0.374352
a87	0.0767436	0.0703856	0.0668366	0.055229	0.0487379	0.0484588	0.0198046	0.0265821	0.0312849	0.037635	0.0944247	0.151394	0.272483
a23	0.11322	0.089439	0.0754874	0.0583714	0.0463953	0.0459229	0.03458	0.0525267	0.0604304	0.0930988	0.0907809	0.107114	0.132634
a97	0.0664681	0.0401742	0.0268271	0.0149309	0.0126336	0.00827747	0.00414207	0.00643727	0.00920363	0.0195011	0.0687526	0.129607	0.593045
a99	0.0251878	0.0171782	0.0146042	0.0113877	0.0157127	0.0187571	0.0128758	0.01571	0.0159422	0.0230426	0.0541001	0.105953	0.669549
a97	0.0261855	0.0200677	0.0175774	0.0137769	0.0185826	0.02099	0.0152671	0.0164389	0.0161729	0.025368	0.0554365	0.110487	0.64365
a87	0.0537714	0.0465014	0.042635	0.0354138	0.0419367	0.0445854	0.0388099	0.0337364	0.0290626	0.0417429	0.0506423	0.0899465	0.451216
a23	0.0709431	0.059598	0.0530854	0.043641	0.0486739	0.0514598	0.0478403	0.0428285	0.0390683	0.0523261	0.0538402	0.0818513	0.354844
a97	0.0189706	0.015017	0.0138108	0.00928567	0.0127949	0.0132133	0.00693264	0.00997625	0.0119099	0.0175382	0.0616391	0.134837	0.674074
a3	0.0407762	0.0346173	0.0312459	0.0227611	0.0297859	0.0267026	0.0179267	0.0177833	0.0177546	0.0237814	0.0542738	0.107119	0.575472
a87	0.0863993	0.0783373	0.0734099	0.0673891	0.0723017	0.0781565	0.0717137	0.0518484	0.0422849	0.0603413	0.0439171	0.0598384	0.214062
</S>	0.0796724	0.0699106	0.0578338	0.0441261	0.0479273	0.0466236	0.0348266	0.0311573	0.0280893	0.0417449	0.0545203	0.0901074	0.37346
