 	l'	autre	lampe	s'	est	éteinte	</S>
a66	0.429273	0.171796	0.103667	0.0754583	0.0824222	0.0734568	0.0639265
a87	0.143399	0.0909034	0.118677	0.160246	0.182442	0.138291	0.166042
a23	0.292269	0.113207	0.145505	0.175982	0.127271	0.076323	0.0694428
a94	0.200249	0.130931	0.158169	0.172984	0.126107	0.108153	0.103407
a75	0.255327	0.151371	0.140999	0.135864	0.10852	0.111823	0.0960951
a85	0.292406	0.198872	0.152314	0.117212	0.0987442	0.0836577	0.0567945
a92	0.307647	0.246328	0.155941	0.10408	0.0847147	0.0618725	0.0394172
a85	0.301322	0.229874	0.134154	0.102205	0.0942101	0.079242	0.0589941
a47	0.232217	0.220873	0.139144	0.11036	0.114629	0.095693	0.0870842
a15	0.116969	0.124389	0.124647	0.143354	0.153048	0.164539	0.173054
a25	0.0729921	0.0815392	0.102608	0.144961	0.18162	0.194332	0.221948
a56	0.0301715	0.0387192	0.0598424	0.119472	0.180685	0.25573	0.31538
a96	0.0333063	0.0333217	0.0500552	0.115334	0.183813	0.25705	0.327119
a0	0.0194857	0.0223766	0.0304247	0.0742733	0.147699	0.267621	0.43812
a24	0.00510879	0.00750977	0.0137379	0.0367276	0.0946904	0.243298	0.598928
a61	0.00795126	0.0141521	0.023846	0.0476064	0.0869318	0.202061	0.617451
a56	0.00577542	0.00977353	0.0193847	0.042966	0.0865277	0.20975	0.625822
a37	0.00272125	0.00574198	0.0144149	0.038638	0.0804518	0.206107	0.651925
a27	0.00849069	0.0168917	0.0323692	0.063789	0.119297	0.235149	0.524014
a10	0.058357	0.0649165	0.0775195	0.0848006	0.116032	0.19139	0.406984
a87	0.12633	0.085279	0.100837	0.144162	0.164606	0.155966	0.22282
</S>	0.209018	0.093487	0.0925271	0.134717	0.146519	0.1333	0.190432
