 	l'	homme	coupe	la	branche	</S>
a23	0.336841	0.227442	0.260741	0.086582	0.0578591	0.0305347
a85	0.500952	0.301759	0.111677	0.0403918	0.0278166	0.0174043
a87	0.427062	0.330048	0.095533	0.0430414	0.0492494	0.055066
a23	0.404922	0.315705	0.111228	0.0531543	0.0479968	0.066993
a24	0.43901	0.234577	0.0434904	0.0306832	0.0913118	0.160928
a9	0.602672	0.22566	0.0513789	0.0342995	0.0504962	0.0354931
a20	0.427633	0.243205	0.104328	0.0618149	0.0833134	0.0797058
a30	0.478685	0.292737	0.0787327	0.0339251	0.0508522	0.0650685
a41	0.36126	0.337751	0.17359	0.0537241	0.0345984	0.0390771
a26	0.373474	0.326004	0.165184	0.0619942	0.0344586	0.0388854
a32	0.276575	0.271389	0.193259	0.0957343	0.0716193	0.0914239
a38	0.241879	0.244981	0.213671	0.11637	0.0858212	0.0972774
a98	0.222753	0.22864	0.196249	0.115223	0.107233	0.129902
a41	0.202055	0.214359	0.204425	0.148906	0.109798	0.120457
a26	0.169758	0.168772	0.190701	0.178835	0.140178	0.151757
a32	0.0983259	0.127481	0.143643	0.165775	0.202178	0.262597
a24	0.0810397	0.0962886	0.132786	0.166227	0.230118	0.293541
a41	0.0442468	0.0507369	0.0950269	0.157091	0.292423	0.360475
a32	0.0451478	0.0445377	0.109122	0.181684	0.310276	0.309232
a75	0.0224831	0.0187516	0.0425727	0.103306	0.347165	0.465721
a14	0.0353908	0.0265005	0.0679447	0.160964	0.359083	0.350117
a35	0.0320631	0.0269729	0.0881986	0.236308	0.364888	0.251569
a24	0.0205834	0.0125315	0.038488	0.146562	0.392147	0.389688
a32	0.00824726	0.00488933	0.0103033	0.0464926	0.319456	0.610611
a38	0.0087768	0.00469239	0.00796144	0.0333356	0.268034	0.6772
a94	0.00769804	0.00310334	0.0048816	0.0274049	0.271609	0.685303
a76	0.0053962	0.0023871	0.00365109	0.0223105	0.240523	0.725733
a73	0.00409786	0.00249492	0.00498768	0.0387289	0.326927	0.622763
a84	0.00338613	0.00171661	0.00365273	0.0277066	0.308698	0.65484
a57	0.0112517	0.00451561	0.00460541	0.0210944	0.20391	0.754623
a87	0.00950051	0.00673564	0.0122113	0.044858	0.279271	0.647423
</S>	0.00949396	0.0107148	0.0398769	0.0957025	0.311043	0.533169
