 	le	boy	prépare	le	repas	</S>
a23	0.371412	0.235263	0.174151	0.108605	0.0656128	0.044956
a3	0.502284	0.233135	0.107549	0.0697589	0.0520118	0.0352619
a99	0.353412	0.263489	0.150917	0.0990505	0.0806908	0.0524405
a20	0.441486	0.276832	0.130013	0.0703433	0.0506683	0.0306566
a35	0.477015	0.351589	0.0970565	0.0444531	0.0190912	0.010795
a26	0.385537	0.366116	0.157097	0.0599291	0.0209184	0.0104028
a66	0.326444	0.348111	0.187465	0.0877126	0.0324343	0.0178321
a94	0.289543	0.308619	0.208566	0.121612	0.0471474	0.0245126
a76	0.277366	0.259417	0.200584	0.150248	0.0721605	0.0402246
a35	0.301083	0.263343	0.166449	0.124338	0.0866232	0.0581642
a14	0.265384	0.20713	0.156081	0.145086	0.129377	0.0969423
a35	0.207213	0.187134	0.161225	0.161435	0.162368	0.120625
a26	0.0902395	0.0930253	0.115207	0.16671	0.273023	0.261796
a21	0.0751432	0.0908431	0.133582	0.186036	0.26841	0.245985
a41	0.0145623	0.0179417	0.0320086	0.0867491	0.304048	0.544691
a14	0.016435	0.022029	0.0423442	0.103408	0.286373	0.52941
a30	0.0195206	0.0213584	0.0381066	0.0873902	0.30211	0.531514
a2	0.0289279	0.0331226	0.0513648	0.103055	0.231107	0.552423
a57	0.0250716	0.0246824	0.0405152	0.0931319	0.242821	0.573778
a87	0.0879518	0.0879463	0.137326	0.142761	0.212964	0.331051
</S>	0.0331851	0.0462431	0.106757	0.159432	0.286508	0.367875
