 	la	manière	dont	il	est	parti	m'	a	énervé	</S>
a87	0.240683	0.112988	0.0768068	0.150619	0.16922	0.121401	0.0598655	0.0303175	0.0194246	0.0186739
a85	0.391236	0.0976555	0.0496269	0.0451533	0.0469998	0.0488283	0.0510835	0.0507311	0.072192	0.146494
a87	0.182068	0.154762	0.124312	0.0836087	0.0665906	0.0556827	0.0518474	0.0483856	0.0677377	0.165006
a23	0.306553	0.228628	0.132285	0.0792942	0.0564261	0.0337967	0.0284638	0.0287833	0.0371369	0.0686333
a3	0.302977	0.246666	0.140683	0.061089	0.0355899	0.0277698	0.0289131	0.0358313	0.0429424	0.0775385
a87	0.276083	0.230732	0.11845	0.068239	0.0506249	0.0424609	0.042436	0.0519099	0.0489162	0.0701486
a97	0.266399	0.22609	0.137652	0.0735286	0.0590453	0.0507122	0.0455365	0.0491894	0.038897	0.0529499
a87	0.369423	0.240188	0.112263	0.0547	0.0431895	0.038401	0.0323232	0.0361244	0.0303208	0.0430662
a23	0.283023	0.177682	0.102428	0.0685243	0.0672861	0.0728432	0.0609884	0.0616265	0.0440118	0.0615859
a62	0.229891	0.204016	0.141894	0.0572526	0.0398514	0.0429717	0.0570044	0.0829234	0.0601557	0.0840394
a47	0.415135	0.337646	0.13896	0.0335746	0.0120436	0.0079349	0.00633002	0.00838563	0.0176484	0.0223424
a88	0.298188	0.355952	0.200526	0.0595772	0.0249598	0.0134191	0.00955961	0.00927572	0.0132765	0.0152659
a31	0.263244	0.383384	0.217836	0.059004	0.0246715	0.0130055	0.00883445	0.00878155	0.0109394	0.0102986
a47	0.249307	0.385065	0.230802	0.0626699	0.0270387	0.01459	0.00820041	0.00663127	0.00760563	0.00809055
a31	0.141851	0.200417	0.217327	0.142425	0.0890626	0.0526611	0.0359981	0.0350289	0.0425007	0.0427275
a21	0.157535	0.186547	0.212558	0.165981	0.117124	0.0745695	0.0322314	0.0172151	0.0172025	0.0190364
a47	0.125554	0.144642	0.202202	0.196702	0.142472	0.0892268	0.0381781	0.0187674	0.020215	0.0220405
a88	0.117243	0.127277	0.185351	0.21281	0.14544	0.0876731	0.0436577	0.0235197	0.0270237	0.030004
a61	0.0542751	0.0654182	0.117668	0.242675	0.217817	0.14166	0.0601435	0.0302343	0.0324844	0.0376239
a21	0.069936	0.073754	0.100825	0.227709	0.208227	0.145678	0.0666394	0.0326181	0.0344778	0.0401364
a93	0.0811904	0.0880751	0.104393	0.222609	0.200106	0.14061	0.0670168	0.0342356	0.0304833	0.0312815
a75	0.0853748	0.0727619	0.0740432	0.185507	0.20646	0.15303	0.0854471	0.0501204	0.0406577	0.0465978
a4	0.0865582	0.0695598	0.0629684	0.116214	0.131105	0.125835	0.101763	0.0950698	0.105745	0.105182
a57	0.0469023	0.0489212	0.0545793	0.105435	0.149252	0.171362	0.151266	0.104477	0.0800376	0.0877672
a75	0.0141857	0.0142256	0.0172262	0.0572706	0.110472	0.138521	0.156524	0.135222	0.168289	0.188065
a21	0.0374524	0.0340961	0.0332136	0.0663817	0.0928227	0.126684	0.144574	0.141789	0.165665	0.157322
a12	0.0650784	0.0546449	0.0477369	0.0791631	0.0996344	0.128739	0.133543	0.110416	0.142839	0.138205
a96	0.0286243	0.0261164	0.0300301	0.0628984	0.0802286	0.112253	0.154518	0.151387	0.179198	0.174747
a75	0.0177223	0.0139672	0.0155944	0.0424866	0.0610147	0.0934471	0.155757	0.179003	0.219011	0.201998
a5	0.0306745	0.0247325	0.0209145	0.0384422	0.044845	0.0626307	0.0934743	0.110022	0.235021	0.339243
a18	0.0497708	0.0388659	0.0336113	0.0583198	0.0659111	0.086866	0.128889	0.143144	0.198034	0.196589
a38	0.00656947	0.00572601	0.00710715	0.0175305	0.0267894	0.0444243	0.0972387	0.165526	0.337014	0.292074
a62	0.00594474	0.00443593	0.00454504	0.0110731	0.019879	0.0329829	0.0804168	0.144595	0.353047	0.343081
a21	0.00662848	0.00549136	0.00623005	0.014393	0.0242685	0.0401946	0.0838552	0.142517	0.346815	0.329607
a61	0.0117718	0.00798861	0.00664246	0.0138972	0.020335	0.0311391	0.0682537	0.123569	0.304206	0.412198
a18	0.00389899	0.00260049	0.00239361	0.00544755	0.00938378	0.016215	0.0428044	0.0892489	0.32668	0.501328
a9	0.00198225	0.00102972	0.00078603	0.0014562	0.00276539	0.00536371	0.0220024	0.0629326	0.338432	0.56325
a87	0.0220268	0.0101985	0.00652832	0.00995997	0.0138012	0.0219598	0.0459052	0.101246	0.257283	0.511091
a23	0.0897776	0.0402626	0.022796	0.0319823	0.0541393	0.0877661	0.111166	0.135859	0.185172	0.241079
a87	0.0211787	0.0113815	0.00863102	0.0128905	0.0205601	0.0410812	0.0623506	0.122526	0.289698	0.409703
</S>	0.00758932	0.00419711	0.00376186	0.00853124	0.0140939	0.0263909	0.0409369	0.0863055	0.300757	0.507437
