 	lorsqu'	on	cuit	les	légumes	la	quantité	diminue	</S>
a66	0.371454	0.245646	0.158507	0.0853473	0.0570451	0.0336217	0.024135	0.0125474	0.0116964
a87	0.402565	0.172636	0.0873205	0.0612113	0.0424994	0.0498124	0.0604861	0.0500035	0.0734654
a10	0.425418	0.15296	0.0735301	0.0493304	0.0392002	0.0625348	0.0537471	0.0506805	0.0925986
a97	0.384648	0.143921	0.0745968	0.055067	0.055264	0.0762253	0.0642574	0.0573162	0.0887038
a40	0.27212	0.118365	0.0751938	0.0684533	0.0808381	0.104621	0.0925644	0.0807665	0.107078
a36	0.370572	0.196176	0.124853	0.0794921	0.0631023	0.0361992	0.0384686	0.0431849	0.0479523
a2	0.410291	0.279229	0.126394	0.0534312	0.038819	0.0202961	0.0231008	0.0232518	0.0251877
a27	0.285313	0.261795	0.171524	0.0838017	0.064529	0.039411	0.0326736	0.0290959	0.0318565
a94	0.175761	0.189311	0.158471	0.105399	0.0912927	0.0708734	0.0625634	0.0663746	0.079955
a93	0.134239	0.179823	0.182009	0.11121	0.0907733	0.0700873	0.0664762	0.0724668	0.0929152
a70	0.100362	0.152114	0.178761	0.116321	0.100837	0.0781737	0.0775983	0.082591	0.113242
a53	0.0818551	0.127578	0.173481	0.117285	0.098431	0.0909045	0.0848777	0.0945677	0.131019
a15	0.0807446	0.126025	0.146996	0.123488	0.124042	0.108934	0.0953503	0.0844897	0.109932
a79	0.0657894	0.111313	0.164871	0.146607	0.141616	0.120598	0.104059	0.0701954	0.0749518
a75	0.0514933	0.111036	0.171183	0.149672	0.140253	0.120041	0.101861	0.0717423	0.0827179
a85	0.0517263	0.100443	0.152267	0.141988	0.145666	0.131431	0.129866	0.0774307	0.0691813
a92	0.0644319	0.106695	0.160758	0.127048	0.119373	0.102442	0.128686	0.094429	0.096137
a37	0.0429087	0.0900353	0.197011	0.164382	0.137341	0.114878	0.106413	0.0687737	0.0782569
a12	0.0301823	0.0572413	0.142465	0.149735	0.145887	0.142934	0.132372	0.0948305	0.104352
a96	0.0118435	0.0211438	0.0695574	0.101011	0.138628	0.166189	0.181227	0.154607	0.155794
a93	0.00824805	0.0146178	0.0524373	0.0877904	0.150488	0.189438	0.196398	0.154529	0.146054
a54	0.00607196	0.0117092	0.0436802	0.0760855	0.143103	0.196827	0.200257	0.159061	0.163204
a47	0.00290797	0.00630387	0.0244752	0.0428148	0.0859673	0.132825	0.189395	0.228347	0.286964
a36	0.00150256	0.00337935	0.0162584	0.0313303	0.0747974	0.118086	0.198408	0.243998	0.31224
a26	0.00090862	0.00191698	0.00929809	0.0190122	0.0536911	0.101072	0.217927	0.282212	0.313962
a54	0.000733084	0.000763434	0.00140975	0.00265551	0.0108055	0.0368784	0.156475	0.333098	0.457182
a47	0.00043948	0.000835559	0.00319689	0.00705415	0.0196267	0.0503282	0.164561	0.304663	0.449296
a36	0.000215615	0.000456633	0.00213176	0.00579363	0.0189163	0.0487447	0.188874	0.327116	0.407752
a0	0.00045696	0.000742867	0.00197879	0.00360545	0.010875	0.0339397	0.155897	0.315194	0.477311
a11	0.000635947	0.000774966	0.00161671	0.00284901	0.00969895	0.0330033	0.13728	0.311943	0.502198
a62	0.00500887	0.00431784	0.00468721	0.00626585	0.016535	0.0414495	0.139293	0.315543	0.4669
a12	0.00228475	0.00223756	0.00321634	0.00454224	0.012724	0.0371419	0.144528	0.31072	0.482604
a18	0.000492301	0.000748105	0.00178989	0.00318243	0.00951277	0.0283993	0.133957	0.309929	0.511989
a71	0.000978876	0.00112395	0.00209473	0.00338628	0.0098061	0.0267396	0.103505	0.293311	0.559054
a9	0.00306034	0.00296213	0.00359495	0.00534952	0.0137411	0.0338711	0.110632	0.290472	0.536317
a10	0.0276543	0.0206708	0.0187323	0.0208488	0.0321931	0.0584485	0.127399	0.254109	0.439944
a97	0.0551459	0.0296363	0.0264625	0.0280786	0.0367921	0.0647763	0.122304	0.226088	0.410716
a87	0.0514308	0.019766	0.0137095	0.0152629	0.0211181	0.0504323	0.11737	0.22038	0.49053
a97	0.0376253	0.018564	0.0159496	0.0196904	0.0342015	0.0889038	0.143502	0.218968	0.422596
a87	0.0271494	0.0134744	0.0124444	0.0203234	0.0370813	0.082147	0.15699	0.238336	0.412055
a97	0.0245452	0.012864	0.0122766	0.0187573	0.0297884	0.0692574	0.126227	0.208372	0.497912
a87	0.0304551	0.0178511	0.0182064	0.0282046	0.0417332	0.0850164	0.150022	0.221465	0.407046
</S>	0.0332046	0.0197628	0.016239	0.0229812	0.0302064	0.0662514	0.123123	0.208525	0.479707
