 	la	chouette	a	un	visage	effrayant	</S>
a87	0.326768	0.141864	0.190228	0.175394	0.0941592	0.0412576	0.0303286
a23	0.195689	0.0659152	0.130394	0.126391	0.115732	0.122929	0.24295
a87	0.138256	0.158612	0.145306	0.0910066	0.0929184	0.111932	0.26197
a23	0.239043	0.239776	0.138216	0.0721214	0.0686992	0.0934746	0.14867
a12	0.369387	0.194885	0.0808701	0.0520691	0.0612859	0.102995	0.138509
a61	0.649377	0.23585	0.0603121	0.0205823	0.0140806	0.00829856	0.0114994
a21	0.675443	0.248408	0.0425891	0.0126802	0.00818814	0.00519406	0.0074965
a5	0.504042	0.382478	0.0642823	0.0208478	0.0125179	0.00695224	0.00887957
a61	0.353495	0.464867	0.102139	0.0349693	0.0209107	0.0115554	0.012063
a21	0.333817	0.451921	0.13118	0.0419586	0.0200912	0.0102014	0.0108306
a88	0.336937	0.462474	0.130517	0.0403365	0.0139767	0.00742044	0.00833857
a61	0.128622	0.31168	0.327625	0.137395	0.0430564	0.0239971	0.027625
a21	0.144503	0.311019	0.309935	0.140802	0.0448699	0.0229249	0.0259466
a75	0.14526	0.317618	0.299063	0.140376	0.0483648	0.0229853	0.0263326
a85	0.145778	0.193807	0.178704	0.129033	0.103923	0.111228	0.137527
a47	0.130645	0.163573	0.13145	0.100177	0.106741	0.144356	0.223058
a73	0.0833951	0.0926616	0.146653	0.192438	0.145609	0.138182	0.201061
a37	0.0323491	0.0395095	0.055965	0.137713	0.165277	0.210944	0.358242
a94	0.0401812	0.0481946	0.0915131	0.213504	0.191895	0.166701	0.248012
a54	0.0310825	0.0393399	0.0716651	0.162977	0.197528	0.193181	0.304227
a47	0.0209155	0.022627	0.0359299	0.0771607	0.141864	0.263991	0.437512
a0	0.0436409	0.0472958	0.0543797	0.0980094	0.153787	0.210001	0.392885
a11	0.0347268	0.0416079	0.0555068	0.0784895	0.126343	0.197377	0.465948
a47	0.00689277	0.00976948	0.023034	0.0558245	0.140996	0.272439	0.491045
a31	0.0178139	0.0265698	0.0455111	0.0951466	0.188306	0.262656	0.363997
a47	0.00232493	0.00381179	0.0141149	0.0444824	0.129604	0.301689	0.503973
a88	0.00210568	0.00401192	0.0109007	0.0318615	0.118931	0.335135	0.497054
a24	0.00069672	0.00134832	0.00651787	0.0243298	0.0891989	0.263134	0.614775
a83	0.000968063	0.00141844	0.0062936	0.0199343	0.0711064	0.264272	0.636008
a9	0.000580752	0.00116329	0.00456961	0.015712	0.0576197	0.242736	0.677618
a99	0.0022739	0.00171217	0.00564502	0.0132438	0.050244	0.27751	0.649372
a87	0.00608253	0.00326102	0.00970084	0.0145008	0.0588866	0.270956	0.636612
a23	0.0407606	0.0281616	0.0536811	0.0568744	0.139496	0.235462	0.445565
a99	0.0106421	0.00797837	0.0199542	0.0287158	0.0913165	0.194865	0.646528
a87	0.00342234	0.00366998	0.0126195	0.02608	0.0778504	0.184923	0.691434
</S>	0.00627886	0.00728792	0.0185843	0.0321242	0.0844198	0.188424	0.662881
