 	je	déplume	le	poulet	avant	de	le	dépecer	</S>
a84	0.0833456	0.126896	0.179314	0.255402	0.213907	0.108891	0.0235674	0.00576084	0.00291625
a87	0.625713	0.128764	0.0438408	0.0679882	0.0576486	0.0478031	0.0121812	0.00731446	0.00874572
a23	0.444742	0.120139	0.079286	0.0891175	0.0678951	0.094211	0.0539134	0.0275785	0.023118
a87	0.496952	0.123276	0.0759327	0.0573311	0.0378004	0.037003	0.0426145	0.0500582	0.079032
a23	0.438192	0.175988	0.131913	0.0827692	0.0484963	0.0464773	0.0370079	0.023028	0.0161293
a13	0.410635	0.143467	0.10829	0.0653008	0.0517505	0.0621236	0.0616259	0.0465403	0.0502672
a54	0.325767	0.248234	0.163886	0.0711635	0.0457017	0.0582741	0.0384327	0.02507	0.023471
a5	0.265284	0.184031	0.121976	0.0635205	0.0483037	0.077589	0.0925988	0.098024	0.0486729
a12	0.199433	0.187991	0.151461	0.100423	0.0527	0.0525713	0.0902151	0.127319	0.0378863
a61	0.170926	0.182833	0.174994	0.127017	0.0710622	0.0520675	0.0687169	0.102026	0.0503564
a43	0.155861	0.189632	0.18331	0.122643	0.0677616	0.0541505	0.0759104	0.0975385	0.0531935
a56	0.122252	0.173467	0.186575	0.159489	0.0820424	0.0506458	0.0637412	0.0850312	0.0767561
a93	0.0948067	0.167568	0.187223	0.155369	0.0946543	0.0583558	0.0639141	0.0821104	0.0959992
a90	0.0990956	0.165035	0.18724	0.171969	0.099669	0.0536021	0.0546848	0.0654428	0.103261
a92	0.0643534	0.152916	0.200559	0.171312	0.108314	0.0718396	0.0716326	0.0760833	0.0829904
a79	0.0459188	0.113222	0.183806	0.185141	0.12481	0.0747345	0.0710885	0.0817384	0.119541
a7	0.0311082	0.0861021	0.172142	0.178086	0.149773	0.106748	0.0966381	0.0896089	0.0897932
a56	0.0126357	0.0291501	0.0763403	0.188104	0.190288	0.108108	0.0883961	0.120307	0.186671
a75	0.0142452	0.0298177	0.0908188	0.157921	0.139849	0.0897826	0.0908839	0.148671	0.238012
a56	0.00857007	0.0202272	0.0679136	0.143476	0.15834	0.122057	0.130023	0.16925	0.180142
a43	0.00645496	0.0122031	0.0269687	0.0726131	0.0888131	0.07431	0.120411	0.238295	0.359932
a56	0.0039888	0.00613327	0.0107321	0.0320687	0.0450223	0.0456207	0.082399	0.289623	0.484412
a93	0.00185415	0.00287745	0.00393627	0.0110979	0.0209725	0.0272161	0.0687798	0.321927	0.541339
a4	0.00117786	0.00155766	0.00209012	0.00616371	0.0109846	0.0164668	0.0470213	0.306616	0.607922
a93	0.000634786	0.000721255	0.000794847	0.0020814	0.00460364	0.00791712	0.0279324	0.26677	0.688545
a94	0.000316699	0.000318002	0.000342892	0.00118205	0.00321869	0.00589102	0.0221219	0.261143	0.705466
a11	0.000194874	0.000209017	0.000268789	0.00091851	0.00244147	0.00501514	0.0226572	0.265078	0.703217
a93	0.000447229	0.000463304	0.000632472	0.00186111	0.00438007	0.0070582	0.0273502	0.241063	0.716745
a70	0.000238753	0.000216009	0.000282335	0.000934136	0.00305934	0.00624462	0.0259357	0.295272	0.667817
a62	0.000531642	0.000546365	0.000760552	0.00168923	0.00332297	0.00567748	0.024203	0.316142	0.647126
a88	0.000477762	0.000437945	0.0004725	0.00125099	0.00315817	0.00504352	0.0200448	0.266451	0.702663
a21	0.000640517	0.000773703	0.000906842	0.00203361	0.00420893	0.00659317	0.0212953	0.241475	0.722073
a12	0.00018021	0.000164571	0.000161189	0.000359032	0.000751831	0.00135251	0.00706384	0.181645	0.808322
a43	0.000150322	0.000157805	0.000157764	0.000365123	0.000806899	0.00168878	0.00887401	0.206293	0.781507
a12	0.00025064	0.000363293	0.000463226	0.00109056	0.00205353	0.00340513	0.0124116	0.211222	0.76874
a75	0.000210317	0.000268654	0.000280655	0.000607775	0.00120307	0.00242475	0.0110216	0.192909	0.791074
a79	8.15188e-05	0.000120505	0.000178639	0.000369735	0.000950234	0.00291252	0.0122812	0.188354	0.794752
a7	3.61078e-05	5.76271e-05	7.76576e-05	0.000225928	0.000664183	0.00181468	0.00871575	0.193641	0.794767
a84	0.000867333	0.000839101	0.00124214	0.00252612	0.00422341	0.00571474	0.0157309	0.164729	0.804128
a82	0.01605	0.0112507	0.0141319	0.01883	0.0235317	0.0444633	0.0683418	0.220597	0.582804
a87	0.043692	0.0214799	0.0367777	0.0766003	0.112735	0.122921	0.103375	0.18675	0.295669
a23	0.121426	0.0374261	0.0462564	0.097292	0.147226	0.194232	0.135053	0.109634	0.111455
a99	0.0237897	0.00439333	0.0037172	0.0116851	0.015378	0.0263874	0.056383	0.207403	0.650863
a97	0.0114098	0.00319051	0.00445581	0.0145409	0.0171368	0.0267198	0.0465633	0.189619	0.686364
</S>	0.00778748	0.0029952	0.00352234	0.012417	0.0146218	0.0228633	0.040946	0.228672	0.666175
