 	il	l'	accusé	de	vol	</S>
a23	0.323606	0.17948	0.13455	0.148636	0.119217	0.0945111
a53	0.307312	0.20318	0.145903	0.129495	0.109642	0.104467
a20	0.399012	0.249994	0.164664	0.100321	0.0516148	0.0343942
a73	0.504276	0.289276	0.112947	0.0558347	0.0243127	0.0133537
a84	0.434246	0.322612	0.145447	0.059067	0.023525	0.0151021
a11	0.362612	0.308217	0.194976	0.0768272	0.0340532	0.0233148
a94	0.277936	0.255545	0.223896	0.116148	0.0720507	0.0544242
a98	0.279049	0.264453	0.241967	0.111651	0.0592359	0.0436428
a66	0.317567	0.267189	0.197745	0.102552	0.0649108	0.0500358
a34	0.234039	0.210877	0.219325	0.150215	0.101353	0.0841908
a76	0.15218	0.158667	0.222512	0.194296	0.15502	0.117325
a73	0.131517	0.130128	0.180153	0.182206	0.185557	0.190439
a35	0.0508877	0.0583838	0.142536	0.217453	0.265949	0.264791
a76	0.0414133	0.0451526	0.113005	0.197665	0.282087	0.320676
a24	0.0220758	0.0262914	0.0796077	0.167075	0.308746	0.396204
a26	0.00633494	0.00770058	0.0260072	0.102075	0.321641	0.536242
a94	0.00634298	0.00619668	0.0174181	0.0738963	0.293305	0.602841
a76	0.00450044	0.00473327	0.0149254	0.0601935	0.274802	0.640845
a73	0.00559467	0.00640064	0.02188	0.0813539	0.300683	0.584088
a57	0.00739795	0.00753784	0.0229464	0.0793656	0.272546	0.610206
a87	0.00457173	0.0033206	0.0104734	0.0467641	0.228867	0.706003
</S>	0.0150806	0.0141632	0.0335356	0.125154	0.304597	0.507469
