 	ils	viennent	de	cueillir	des	avocats	</S>
a66	0.364906	0.198206	0.140697	0.129153	0.0891936	0.0465722	0.0312724
a87	0.259634	0.147363	0.161979	0.250723	0.122426	0.0322038	0.0256715
a97	0.222862	0.164001	0.20752	0.249775	0.0972834	0.0286791	0.0298793
a99	0.188426	0.156545	0.228753	0.277348	0.0927552	0.0289024	0.0272708
a20	0.206008	0.185753	0.240015	0.236684	0.0716049	0.0302007	0.0297346
a15	0.23215	0.185633	0.141614	0.228269	0.114064	0.0485515	0.0497181
a79	0.217838	0.237592	0.143267	0.251081	0.111242	0.0228305	0.0161494
a44	0.204296	0.235072	0.129221	0.234799	0.132222	0.0317349	0.0326547
a93	0.172359	0.238175	0.162419	0.223858	0.129903	0.0368383	0.0364466
a70	0.178729	0.252306	0.170722	0.216935	0.125116	0.0287674	0.0274254
a13	0.134015	0.233999	0.211101	0.219614	0.134463	0.0351722	0.0316363
a11	0.0865366	0.188896	0.219333	0.240071	0.173574	0.048765	0.0428231
a43	0.0722068	0.149143	0.199654	0.234309	0.222739	0.064946	0.0570014
a75	0.0512112	0.0881322	0.14548	0.21907	0.309936	0.105911	0.0802598
a85	0.0326903	0.0430336	0.0469627	0.0852413	0.229831	0.28284	0.279401
a47	0.029447	0.0432234	0.0490117	0.0877555	0.236934	0.27782	0.275808
a0	0.0218856	0.0333519	0.0388062	0.0655788	0.167104	0.299508	0.373765
a75	0.0186137	0.0289492	0.0342765	0.0508232	0.162815	0.295928	0.408595
a79	0.0138361	0.0194856	0.0242537	0.0378185	0.141387	0.322438	0.440781
a7	0.00592066	0.00970903	0.0137251	0.0205769	0.0911507	0.32562	0.533298
a44	0.00458646	0.00640589	0.0100029	0.0134337	0.0635036	0.354082	0.547985
a57	0.00456555	0.00645972	0.00978905	0.0118371	0.0451085	0.350471	0.571769
a40	0.00762095	0.00926365	0.0115019	0.0204617	0.0706463	0.345716	0.534789
a36	0.00320477	0.00499927	0.00716475	0.0103861	0.0384458	0.280265	0.655534
a2	0.0395229	0.047965	0.0490917	0.055496	0.0995077	0.249132	0.459285
a57	0.0895869	0.109779	0.0895271	0.0854701	0.120839	0.223923	0.280874
a97	0.142958	0.109334	0.0913087	0.108032	0.109086	0.215021	0.224261
a99	0.171361	0.108499	0.0928631	0.145734	0.14723	0.165127	0.169186
a97	0.140688	0.078009	0.0657851	0.137968	0.178282	0.169416	0.229852
a87	0.149864	0.0920391	0.0740224	0.147354	0.196493	0.143271	0.196957
a97	0.139984	0.0970731	0.0825981	0.177905	0.206862	0.122836	0.172741
a9	0.123149	0.105401	0.0933856	0.232752	0.241582	0.0818552	0.121875
a10	0.140445	0.123042	0.113274	0.253125	0.210755	0.0654643	0.0938943
</S>	0.149029	0.122395	0.0982179	0.21273	0.225541	0.0748531	0.117234
