 	après	avoir	abattu	l'	arbre	la	souche	demeure	plantée	dans	le	champ	</S>
a87	0.0639807	0.0648934	0.0508709	0.0806864	0.0880519	0.135662	0.201066	0.208026	0.066192	0.0283149	0.00579753	0.00329139	0.00316754
a23	0.236554	0.133692	0.0547127	0.0440505	0.0355271	0.0545418	0.0659633	0.0780868	0.0466599	0.041459	0.0395995	0.0691013	0.100052
a87	0.105142	0.0953187	0.103222	0.0825756	0.0677559	0.084412	0.0708147	0.0700719	0.0559854	0.0424175	0.0376278	0.060159	0.124497
a23	0.117169	0.112613	0.126607	0.0967228	0.074839	0.0908175	0.0830324	0.0425025	0.0407528	0.0373555	0.0398969	0.0520082	0.0856841
a44	0.155344	0.164238	0.179063	0.0805016	0.0419178	0.0437182	0.0424281	0.0395796	0.0253312	0.0421419	0.0377786	0.054257	0.0937014
a75	0.328174	0.194206	0.123877	0.0677735	0.0463724	0.0488322	0.0777673	0.0370264	0.0233816	0.0174563	0.0115502	0.0104787	0.0131036
a0	0.223769	0.149033	0.160123	0.0969075	0.0725391	0.0718631	0.111359	0.0384393	0.0261807	0.0122739	0.0116004	0.0115773	0.0143353
a75	0.156185	0.132687	0.177479	0.119615	0.0881696	0.0872604	0.115379	0.0343415	0.0290864	0.0173139	0.0152184	0.0124793	0.0147858
a25	0.104226	0.107035	0.178524	0.118168	0.100777	0.105301	0.133098	0.0477089	0.0386906	0.0154804	0.0145782	0.0151843	0.0212288
a90	0.11504	0.117712	0.161926	0.126079	0.103762	0.105476	0.117217	0.0472635	0.0449126	0.016811	0.0130525	0.0125628	0.0181851
a57	0.0687392	0.0857758	0.146827	0.133721	0.121169	0.112636	0.0889465	0.0454685	0.0463701	0.0269364	0.03281	0.0362838	0.0543183
a53	0.0403426	0.0586669	0.108394	0.127337	0.13381	0.134162	0.0977074	0.0495561	0.0514862	0.0317209	0.0432845	0.0491097	0.0744231
a75	0.0384704	0.0588343	0.107475	0.117673	0.121434	0.120578	0.0958175	0.0750701	0.0739703	0.0336542	0.0350222	0.0444993	0.0775014
a21	0.0493025	0.0730925	0.136668	0.125929	0.119051	0.107254	0.0871505	0.0755922	0.0691303	0.0297878	0.0257648	0.0378438	0.0634348
a47	0.0468922	0.0667057	0.131488	0.146468	0.145384	0.124734	0.118278	0.0759416	0.0628063	0.0251888	0.0166237	0.0169749	0.0225148
a66	0.0280121	0.0382382	0.0763148	0.118355	0.145975	0.138358	0.144019	0.0896207	0.0894707	0.0394355	0.0295946	0.0267051	0.0359018
a11	0.00703664	0.0121571	0.0279054	0.0716492	0.138836	0.174365	0.139265	0.0943123	0.104394	0.0494704	0.0568716	0.0538015	0.0699349
a90	0.00426817	0.00806074	0.0206621	0.0522772	0.120895	0.176393	0.120541	0.114956	0.11524	0.0513337	0.0600165	0.0690287	0.0863289
a15	0.00878465	0.0150762	0.0264325	0.0549988	0.113454	0.148192	0.122331	0.108139	0.105558	0.0600773	0.0624745	0.0676306	0.106852
a73	0.0174526	0.019831	0.0309291	0.0495294	0.0770966	0.10029	0.105345	0.120454	0.10659	0.0698526	0.0750103	0.0891152	0.138505
a7	0.0106155	0.01268	0.0210082	0.0367774	0.0693905	0.0971958	0.0787939	0.119686	0.095266	0.0801636	0.100287	0.114226	0.163911
a2	0.0071422	0.0104343	0.02018	0.0393447	0.0782927	0.104947	0.0821726	0.131552	0.104218	0.074209	0.0853148	0.1014	0.160792
a57	0.00619569	0.0107375	0.0267478	0.0488497	0.0789447	0.110938	0.0754626	0.181289	0.124213	0.0573728	0.0611939	0.0877823	0.130274
a87	0.0127304	0.015133	0.0270558	0.0435687	0.0626174	0.0812558	0.0670265	0.176652	0.137863	0.0644323	0.0671288	0.0962776	0.148258
a23	0.0430336	0.0244943	0.0199102	0.0255272	0.0382451	0.0718701	0.077676	0.229014	0.16345	0.0774972	0.0649611	0.0685397	0.0957812
a87	0.0588602	0.0334786	0.0258854	0.0376287	0.0591734	0.102181	0.102057	0.115881	0.120568	0.0843427	0.0580306	0.0637494	0.138164
a23	0.0362164	0.0225998	0.0163688	0.024383	0.0324537	0.0632361	0.0850909	0.222011	0.171769	0.112547	0.0571035	0.0576084	0.0986116
a62	0.0157951	0.0114198	0.00999249	0.0167615	0.0281747	0.0530337	0.0534286	0.0720786	0.0765263	0.0898676	0.0858087	0.141459	0.345654
a70	0.00455318	0.00507781	0.00578486	0.00961716	0.0141702	0.0148416	0.0128661	0.0262855	0.0242014	0.0348067	0.0658082	0.209399	0.572588
a24	0.0118584	0.0129938	0.017484	0.0266388	0.0486443	0.0584914	0.0460379	0.0802097	0.07648	0.063252	0.0699	0.154017	0.333993
a31	0.00668882	0.00810665	0.0135956	0.0231524	0.0460137	0.0671971	0.0522521	0.111426	0.104378	0.0999881	0.0901325	0.137733	0.239336
a96	0.0258657	0.0314927	0.0433903	0.0639647	0.102737	0.111542	0.0911138	0.117012	0.120444	0.0721688	0.0544283	0.0653	0.100542
a31	0.0113109	0.0158178	0.02459	0.0378977	0.0647454	0.0796694	0.0621992	0.120825	0.124035	0.0983023	0.086429	0.111076	0.163103
a96	0.0179516	0.0247105	0.0373207	0.054576	0.0899023	0.0976944	0.0826091	0.102434	0.10389	0.0787503	0.0854044	0.0985389	0.126217
a21	0.0116805	0.0161863	0.0270399	0.040394	0.0640847	0.0697837	0.0580455	0.0959947	0.098189	0.0892991	0.105533	0.136732	0.187038
a96	0.0195419	0.0249357	0.0384838	0.0526289	0.072313	0.0773909	0.089018	0.105954	0.100347	0.0752417	0.0833549	0.105714	0.155076
a88	0.00939933	0.0140553	0.0248399	0.0375837	0.0557304	0.0553395	0.0518244	0.0840097	0.0864641	0.0838575	0.114541	0.157856	0.224499
a43	0.00424993	0.00662928	0.0138041	0.0247649	0.0404132	0.0396377	0.0378062	0.0615899	0.060215	0.0805268	0.13528	0.206915	0.288168
a56	0.00226648	0.00378998	0.00896786	0.0174697	0.0290721	0.0289895	0.0305991	0.0557605	0.055179	0.0793315	0.139788	0.224562	0.324225
a66	0.00138952	0.00238902	0.00552533	0.0119704	0.0198873	0.0203424	0.0223722	0.0502327	0.0438313	0.0706734	0.125145	0.231326	0.394915
a9	0.000799711	0.00154637	0.00313502	0.00558271	0.0079516	0.0104296	0.00892693	0.0419335	0.0282048	0.0618379	0.142638	0.293558	0.393456
a38	0.0010571	0.00138903	0.0020541	0.00290202	0.00441244	0.00718915	0.0073179	0.057013	0.0330359	0.0862997	0.195605	0.302971	0.298754
a47	0.000734624	0.000857565	0.00146648	0.00220686	0.00342377	0.00560099	0.00542789	0.0340325	0.0203367	0.0685483	0.166737	0.306775	0.383853
a36	0.000398857	0.000600721	0.00134106	0.00282096	0.00483634	0.0058102	0.00553624	0.0225501	0.0171988	0.0621686	0.163488	0.301231	0.412019
a11	0.000494659	0.000624517	0.00110371	0.00173599	0.00268706	0.00356291	0.0035446	0.016519	0.013299	0.0504234	0.181318	0.32768	0.397008
a54	0.000354044	0.000440917	0.000699715	0.00112767	0.00170395	0.00211499	0.00236717	0.0105958	0.00935293	0.039701	0.151118	0.31564	0.464784
a44	0.000218909	0.000293905	0.000583508	0.0012151	0.00217151	0.00237781	0.00205056	0.00697483	0.00748696	0.031114	0.113526	0.271478	0.560508
a70	6.09841e-05	0.000102975	0.000224808	0.000464924	0.000749112	0.000832192	0.000691218	0.00371258	0.00346528	0.0139283	0.064833	0.263243	0.647692
a4	8.85644e-05	0.000153366	0.0003262	0.000577372	0.00087905	0.000980583	0.000822011	0.0043523	0.00410333	0.0181753	0.0848975	0.283149	0.601496
a13	9.45524e-05	0.000148036	0.000256341	0.000400325	0.000588202	0.000645973	0.000438423	0.00210535	0.00224318	0.00914292	0.0580004	0.262203	0.663733
a99	0.000172294	0.000235359	0.000330398	0.000486342	0.00076682	0.000849753	0.000487561	0.00207921	0.00228792	0.00983332	0.0606225	0.279902	0.641947
a27	0.000217663	0.000284029	0.000337387	0.000557803	0.000867104	0.000824474	0.000468802	0.0024137	0.00284836	0.0135939	0.0703094	0.273055	0.634222
a57	0.00417944	0.00424676	0.00428663	0.00593283	0.00685554	0.00451873	0.00351074	0.010469	0.0113578	0.0491239	0.139838	0.28422	0.471461
a99	0.0181064	0.0130246	0.0105724	0.0117166	0.0113435	0.0105728	0.0128017	0.0342567	0.0389047	0.0873514	0.169976	0.225675	0.355699
a87	0.0224703	0.0157613	0.0108545	0.0109841	0.0105977	0.0119195	0.0133322	0.0371177	0.0440425	0.0778719	0.145145	0.213133	0.386771
a23	0.0502823	0.0400935	0.0246377	0.0221517	0.0240996	0.0395437	0.0330601	0.093206	0.11176	0.106287	0.116945	0.132005	0.205929
a87	0.0290981	0.0196189	0.0140614	0.0178798	0.0246381	0.0342445	0.0194346	0.0328895	0.0433165	0.0692613	0.127184	0.211017	0.357356
</S>	0.00569839	0.00331808	0.00275927	0.00367161	0.00599927	0.00987259	0.00650749	0.0137169	0.0176263	0.0297235	0.0882948	0.247495	0.565317
