 	l'	héron	est	en	train	de	se	promener	dans	la	savane	brûlée	</S>
a15	0.317426	0.242566	0.157366	0.0949372	0.0495151	0.039729	0.0330232	0.0250458	0.0157882	0.0085172	0.00536947	0.00490579	0.00581025
a66	0.359199	0.218992	0.118342	0.0675505	0.0391685	0.0326844	0.0289567	0.0227645	0.0209848	0.0176199	0.0191387	0.0231027	0.0314967
a87	0.440039	0.261912	0.126518	0.0680968	0.0333312	0.0217592	0.012495	0.00686432	0.00422187	0.00304796	0.00382498	0.00706091	0.010829
a23	0.339855	0.295776	0.139196	0.0807406	0.0427478	0.0289769	0.0168375	0.0107956	0.0086876	0.00633586	0.00628129	0.00880225	0.0149678
a10	0.339093	0.327907	0.125125	0.0614507	0.0277433	0.0189737	0.00977117	0.00667878	0.0069749	0.00837328	0.0119748	0.0201155	0.0358183
a83	0.343831	0.256615	0.120004	0.0700732	0.0357127	0.0275645	0.0171933	0.0119581	0.0102348	0.0124071	0.0194651	0.0299047	0.0450364
a54	0.207098	0.184973	0.120775	0.0987451	0.0580207	0.0496966	0.0317383	0.0223171	0.0189098	0.0229859	0.0342669	0.0631662	0.0873071
a15	0.117819	0.144669	0.145682	0.120172	0.0827716	0.0712058	0.0477064	0.0296495	0.0219978	0.0282358	0.0394719	0.069029	0.0815896
a79	0.0503158	0.0841802	0.129426	0.133973	0.117974	0.109442	0.0742697	0.0438907	0.0356222	0.0417663	0.0453792	0.0650828	0.0686787
a44	0.0335236	0.0530016	0.109859	0.148805	0.149902	0.127426	0.0814449	0.0474273	0.0363306	0.0404258	0.0428483	0.0607258	0.0682798
a56	0.0297267	0.0316104	0.059174	0.108923	0.162002	0.185775	0.142167	0.088504	0.0530537	0.03757	0.0285986	0.0333445	0.0395507
a94	0.0256487	0.0224488	0.0442205	0.0951333	0.162467	0.204751	0.169224	0.107618	0.0574165	0.0325527	0.0219722	0.0259642	0.0305829
a93	0.0151805	0.0124403	0.0220709	0.0541745	0.118442	0.184776	0.197565	0.15307	0.0909932	0.0478061	0.029687	0.0325309	0.0412644
a4	0.0222283	0.0185835	0.0302791	0.0637376	0.124498	0.18208	0.17882	0.136505	0.0837817	0.0498202	0.0327008	0.0350928	0.0418717
a93	0.0120204	0.00948128	0.0125137	0.0241476	0.0563231	0.114763	0.176493	0.185581	0.133725	0.0857508	0.0557424	0.0584798	0.0749791
a56	0.00930008	0.00727104	0.00891543	0.0155393	0.0361841	0.0806244	0.154124	0.192671	0.149607	0.0995404	0.0698393	0.0785555	0.0978281
a44	0.00643148	0.00484837	0.00543943	0.00906869	0.0206521	0.0475245	0.112649	0.179337	0.166646	0.125687	0.096528	0.103782	0.121406
a98	0.00514937	0.00378225	0.00415135	0.00696306	0.0139917	0.0296822	0.0718514	0.148758	0.178995	0.150821	0.113343	0.121827	0.150685
a6	0.00161945	0.00103948	0.00127134	0.00233306	0.0063961	0.0127283	0.0342278	0.090339	0.129476	0.146512	0.147822	0.179359	0.246877
a0	0.00155661	0.000907857	0.000852292	0.00132759	0.00321037	0.00620503	0.0173405	0.055162	0.106966	0.153715	0.170607	0.217676	0.264474
a61	0.00133009	0.000638578	0.000449012	0.000641869	0.00131794	0.00256781	0.00661184	0.0203616	0.0507242	0.122443	0.169679	0.254539	0.368696
a88	0.000891486	0.000557635	0.000385754	0.00051171	0.000904913	0.00156876	0.00405558	0.0122504	0.0331808	0.0949279	0.191581	0.290874	0.368311
a50	0.000692321	0.000407399	0.000294394	0.000399469	0.000717662	0.00112094	0.00237981	0.0060998	0.0154672	0.050647	0.151366	0.306228	0.46418
a75	0.00187998	0.00121646	0.000868225	0.00100443	0.0012563	0.00151952	0.00279235	0.00529822	0.0114468	0.0442233	0.165241	0.275879	0.487374
a6	9.38187e-05	5.2155e-05	4.46911e-05	7.6662e-05	0.000154794	0.000239029	0.000646288	0.00211507	0.00928178	0.0412172	0.147538	0.266901	0.53164
a36	6.64943e-05	3.40743e-05	2.94485e-05	4.89106e-05	0.000107115	0.000182751	0.000583928	0.00215532	0.00941026	0.0382708	0.132922	0.263554	0.552634
a2	0.000457112	0.00029967	0.000258913	0.00032917	0.000479605	0.000585709	0.00111949	0.00242661	0.00679107	0.0284568	0.122616	0.258831	0.57735
a57	0.0193187	0.0105692	0.00952626	0.010567	0.0144304	0.014596	0.0189105	0.0304182	0.0456287	0.0894776	0.149642	0.206793	0.380123
a87	0.226575	0.110614	0.0600184	0.0447143	0.0435479	0.0403879	0.0408354	0.0533978	0.0554377	0.067475	0.0704177	0.0774164	0.109163
a23	0.343204	0.189758	0.107049	0.0708565	0.0496676	0.0370279	0.026299	0.0274082	0.0253191	0.0279742	0.0309715	0.029526	0.0349398
a87	0.179629	0.0926642	0.0577985	0.0338917	0.0264734	0.0225177	0.0198522	0.0242827	0.0364068	0.0683782	0.123251	0.155543	0.159311
</S>	0.0307183	0.0146892	0.00972898	0.00699913	0.00892226	0.0105235	0.0133007	0.0221699	0.0422906	0.0875372	0.162678	0.273792	0.316651
