 	ibara	s'	est	enrichi	en	jouant	au	poker	</S>
a87	0.233275	0.155477	0.167883	0.117297	0.117333	0.0895354	0.0621023	0.0429079	0.0141879
a83	0.241649	0.0960105	0.0837481	0.135961	0.119855	0.108804	0.0838623	0.0896313	0.0404794
a50	0.229712	0.145414	0.0979233	0.102426	0.105622	0.0815789	0.069741	0.109132	0.0584503
a62	0.314884	0.200888	0.15336	0.108602	0.0838911	0.0773237	0.0302414	0.0220735	0.00873683
a70	0.367104	0.229775	0.142868	0.0811163	0.0715092	0.0630327	0.0226558	0.0153719	0.00656722
a98	0.305249	0.225085	0.151286	0.0680784	0.0722508	0.067923	0.0455987	0.0488097	0.0157192
a85	0.227328	0.246061	0.223787	0.100702	0.0844497	0.0690691	0.026025	0.0158158	0.00676193
a61	0.191552	0.23455	0.238531	0.120487	0.0924211	0.0746247	0.0243367	0.0152598	0.0082383
a66	0.170291	0.210381	0.235565	0.11719	0.111556	0.0800932	0.0317575	0.0270207	0.0161455
a11	0.094294	0.143225	0.185748	0.145814	0.152211	0.11549	0.0677836	0.0605017	0.0349325
a35	0.05333	0.0839585	0.120034	0.115673	0.147743	0.126311	0.12387	0.137556	0.0915236
a25	0.0464869	0.0686672	0.120822	0.11299	0.172528	0.158984	0.119181	0.119753	0.0805871
a37	0.0434392	0.064606	0.109911	0.10853	0.157989	0.15216	0.115534	0.147782	0.100049
a85	0.0388606	0.0453385	0.0723667	0.079163	0.13315	0.140486	0.144157	0.196115	0.150364
a21	0.0297848	0.03689	0.0559268	0.0601924	0.127996	0.130767	0.134882	0.216684	0.206877
a66	0.0657728	0.0700475	0.0818825	0.069036	0.0970092	0.0992802	0.11857	0.191243	0.20716
a75	0.015881	0.0181655	0.0254677	0.0405191	0.0527387	0.0640169	0.111497	0.312978	0.358736
a21	0.0386094	0.0428451	0.0662425	0.0534766	0.0741755	0.0871915	0.110865	0.200798	0.325797
a18	0.0268511	0.0286042	0.0410026	0.0500995	0.0697808	0.0712801	0.0946325	0.251021	0.366728
a10	0.00489836	0.00595831	0.0111248	0.0238806	0.0343711	0.0482669	0.111127	0.283611	0.476762
a24	0.00379423	0.00502997	0.0112854	0.0258978	0.0352802	0.0519288	0.123049	0.25606	0.487675
a9	0.00199573	0.00243012	0.00497037	0.0201716	0.0269361	0.0380927	0.0890583	0.277491	0.538854
a87	0.0151695	0.0118381	0.0195843	0.0468454	0.0578786	0.0790665	0.151597	0.250645	0.367375
a23	0.0502841	0.030566	0.033754	0.0575285	0.0606974	0.0754312	0.135718	0.249858	0.306163
a87	0.0119348	0.00697817	0.00887242	0.0225796	0.0317832	0.0614252	0.1465	0.338938	0.370989
a23	0.00809766	0.00623995	0.0101347	0.0263145	0.0315289	0.0588314	0.124266	0.339711	0.394876
a87	0.0165596	0.0115014	0.0153559	0.0332731	0.0354014	0.0654389	0.127237	0.326968	0.368265
a23	0.0169496	0.0113897	0.0140322	0.0305709	0.0309701	0.0559763	0.101809	0.305552	0.432749
</S>	0.0232284	0.0146375	0.0166794	0.033139	0.0351957	0.0617405	0.115404	0.305624	0.394352
