 	c'	est	un	garçon	plein	d'	astuce	</S>
a23	0.303093	0.195212	0.095941	0.0542944	0.0707088	0.0919057	0.0743302	0.114515
a85	0.316282	0.195314	0.11172	0.0795272	0.084838	0.065549	0.062574	0.0841959
a87	0.257608	0.201831	0.144031	0.0919216	0.0787032	0.0574936	0.0682017	0.10021
a23	0.209107	0.163342	0.137449	0.11757	0.125383	0.0799774	0.0799005	0.0872715
a40	0.106829	0.0877194	0.0684737	0.068059	0.109765	0.111891	0.185943	0.26132
a26	0.337399	0.211646	0.116768	0.0709375	0.0624731	0.0554155	0.0697931	0.0755681
a38	0.355543	0.250177	0.185964	0.0933989	0.0571761	0.0267457	0.0170428	0.0139528
a26	0.277474	0.235184	0.218361	0.12272	0.0774091	0.0336784	0.0197467	0.0154268
a24	0.203198	0.206308	0.222495	0.169665	0.114818	0.0439815	0.0219277	0.0176072
a71	0.147049	0.172355	0.214268	0.169812	0.147528	0.0781258	0.0373196	0.033543
a26	0.111879	0.143735	0.211039	0.182018	0.175722	0.0951961	0.043129	0.0372821
a24	0.0759371	0.100645	0.163611	0.1817	0.21415	0.124081	0.0668623	0.0730137
a25	0.0860826	0.10511	0.162842	0.160868	0.185511	0.132655	0.0805127	0.0864197
a38	0.0468472	0.0592846	0.110226	0.150108	0.202887	0.164322	0.118703	0.147622
a76	0.0423268	0.0496011	0.0834937	0.120339	0.178135	0.17727	0.145895	0.20294
a20	0.0604954	0.0581398	0.0691428	0.0890973	0.132797	0.172111	0.169831	0.248387
a76	0.0262615	0.0239356	0.027959	0.0436842	0.0941726	0.194619	0.235349	0.354019
a90	0.0207922	0.0182801	0.0228597	0.034054	0.0761583	0.193298	0.261906	0.372651
a53	0.0225984	0.0200564	0.0239944	0.0330451	0.075463	0.198189	0.279967	0.346687
a76	0.012375	0.0108627	0.0120922	0.0169231	0.0401481	0.144402	0.292061	0.471136
a94	0.00949425	0.0087614	0.00946404	0.0156782	0.0341029	0.117565	0.264431	0.540503
a24	0.00931523	0.00743112	0.00769415	0.0121708	0.0261301	0.109495	0.261368	0.566396
a41	0.0110624	0.00840897	0.00760798	0.0112273	0.0200703	0.0748622	0.209881	0.65688
a85	0.00502828	0.00456448	0.00474127	0.00879402	0.02005	0.105088	0.287814	0.56392
a41	0.0056239	0.00509591	0.00528773	0.0110687	0.0273358	0.115797	0.274622	0.55517
a75	0.00587976	0.00542019	0.00576076	0.0109939	0.0235988	0.0891331	0.247633	0.611581
a41	0.00758224	0.00748468	0.00775104	0.0149809	0.0282197	0.0964056	0.243352	0.594223
a35	0.00597758	0.00613563	0.00655244	0.0137952	0.0285073	0.104878	0.247636	0.586518
a66	0.011235	0.0121203	0.0139381	0.0290513	0.053722	0.136111	0.240183	0.503639
a61	0.00476287	0.00414182	0.00364284	0.00722701	0.016128	0.0566075	0.193396	0.714094
a24	0.00918512	0.00793507	0.00661997	0.0123644	0.0253924	0.0708375	0.204277	0.663388
a25	0.00699218	0.00691632	0.00661633	0.01293	0.0282937	0.0759657	0.198702	0.663584
a87	0.0104646	0.0107687	0.00994578	0.0182554	0.0364724	0.0822654	0.196617	0.635211
</S>	0.0116775	0.0140561	0.0139035	0.0199381	0.0313214	0.0671919	0.190021	0.651891
