 	il	y	a	l'	inondation	à	boundji	</S>
a66	0.23502	0.18056	0.172159	0.171826	0.169569	0.0425711	0.0187579	0.00953799
a87	0.290303	0.293577	0.203335	0.101783	0.0798336	0.0187501	0.00783494	0.00458345
a23	0.272205	0.279884	0.224212	0.10908	0.0713817	0.023782	0.0116242	0.00783098
a13	0.2797	0.283045	0.197168	0.0748441	0.0661943	0.0412254	0.0325671	0.0252559
a18	0.244251	0.221431	0.132301	0.0797311	0.125121	0.0850032	0.0633323	0.0488296
a99	0.131452	0.123378	0.123659	0.13015	0.16313	0.144828	0.115113	0.0682895
a13	0.0738436	0.0908466	0.115369	0.129659	0.140093	0.161732	0.173531	0.114926
a53	0.0381447	0.0502323	0.0839678	0.110149	0.120178	0.159484	0.242012	0.195832
a20	0.0576578	0.0756302	0.138106	0.174485	0.156492	0.12401	0.151281	0.122338
a7	0.0769872	0.102307	0.181691	0.217726	0.159462	0.0887644	0.0907934	0.0822683
a84	0.0462022	0.0535805	0.107209	0.152456	0.127674	0.105179	0.18137	0.226329
a53	0.0186404	0.0188772	0.0397702	0.0837511	0.101998	0.118676	0.277053	0.341234
a4	0.021848	0.0186776	0.0329448	0.0718009	0.10748	0.116718	0.259788	0.370743
a70	0.0128946	0.0106077	0.0155851	0.0334343	0.0804785	0.127302	0.302915	0.416783
a83	0.00765466	0.0058244	0.00638555	0.010796	0.0444597	0.12708	0.32973	0.468069
a9	0.0037542	0.00280052	0.0028624	0.00508878	0.0283543	0.13773	0.372565	0.446845
a53	0.00426554	0.00323739	0.00284165	0.00369553	0.0171134	0.117772	0.370146	0.480929
a15	0.0016036	0.0010148	0.000971804	0.00179548	0.011056	0.0945086	0.359905	0.529145
a7	0.00117841	0.000712833	0.000800021	0.00156832	0.010244	0.0985151	0.325703	0.561279
a44	0.000501198	0.000293166	0.000232141	0.000378268	0.00209343	0.043803	0.268497	0.684202
a4	0.000812857	0.000460366	0.000315413	0.000473727	0.00228551	0.0416214	0.230486	0.723545
a13	0.00101483	0.00058597	0.000426624	0.000652835	0.00236909	0.0364061	0.216733	0.741811
a9	0.0013772	0.000872429	0.000638937	0.000920277	0.00270632	0.0327406	0.190712	0.770032
a10	0.0154552	0.00993886	0.00563926	0.00581627	0.010661	0.0547267	0.189802	0.70796
a87	0.219661	0.141234	0.065019	0.0408621	0.0476996	0.0786886	0.134292	0.272543
</S>	0.295787	0.249148	0.143864	0.082516	0.0569255	0.0498346	0.0570661	0.0648583
