 	je	prie	dieu	pour	qu'	il	sauve	mon	âme	</S>
a23	0.269311	0.110966	0.0696113	0.0655403	0.127724	0.154718	0.085174	0.0493879	0.0342717	0.0332953
a18	0.541307	0.2081	0.0783722	0.039273	0.0341948	0.0224354	0.0172575	0.0220927	0.0176757	0.0192915
a54	0.314823	0.264397	0.119334	0.0718927	0.0445494	0.0306158	0.0242542	0.0291401	0.0379286	0.0630653
a5	0.422656	0.232706	0.105818	0.0674633	0.0352214	0.0235585	0.0288815	0.0369175	0.024739	0.0220383
a61	0.290667	0.352713	0.202557	0.0743612	0.0297407	0.015782	0.0116696	0.00789781	0.00704207	0.00757004
a62	0.175387	0.355761	0.266144	0.119192	0.044201	0.0157548	0.0075108	0.00569808	0.00474347	0.00560773
a0	0.159356	0.319458	0.272146	0.138278	0.0620669	0.0210504	0.00958011	0.00650894	0.00524896	0.00630585
a21	0.11881	0.214566	0.273207	0.19733	0.0991118	0.0385766	0.0208579	0.0141726	0.0111432	0.0122245
a34	0.167911	0.182789	0.24794	0.198096	0.0985095	0.0447073	0.024381	0.0116799	0.0103213	0.0136653
a21	0.088245	0.0883994	0.184146	0.275649	0.183756	0.0852209	0.0399639	0.0183736	0.0156682	0.0205767
a61	0.0638436	0.0618003	0.131041	0.258974	0.241821	0.132072	0.0561982	0.0214478	0.0154386	0.017362
a75	0.0483521	0.0422455	0.0837757	0.203884	0.262441	0.191843	0.089608	0.0326576	0.0221126	0.0230793
a37	0.0406139	0.0330428	0.049121	0.121979	0.164676	0.16316	0.160163	0.0942208	0.0770468	0.0959779
a75	0.0354447	0.0235746	0.0388917	0.114661	0.224489	0.239519	0.159125	0.0667202	0.0464966	0.0510792
a70	0.0237841	0.0162165	0.0237553	0.0708266	0.154064	0.204397	0.18702	0.115382	0.0956693	0.108886
a98	0.0194089	0.0135242	0.0252701	0.0694769	0.147187	0.286533	0.226505	0.0926247	0.0586585	0.0608117
a15	0.010812	0.00702463	0.0112363	0.0354586	0.0994141	0.240944	0.225602	0.140904	0.111003	0.1176
a98	0.0198105	0.0136179	0.0182112	0.0344623	0.0665098	0.188988	0.225585	0.149994	0.128131	0.154691
a85	0.0194304	0.0128911	0.0174908	0.032868	0.0591456	0.164003	0.214407	0.162239	0.145947	0.171578
a37	0.0192866	0.0137131	0.0172954	0.0320289	0.0534616	0.124475	0.164815	0.156629	0.166694	0.251602
a66	0.0142513	0.00930649	0.0122347	0.0234676	0.0398951	0.11526	0.183727	0.156291	0.175145	0.270422
a62	0.00670699	0.00407198	0.00566931	0.00976531	0.0178623	0.0629415	0.155348	0.178459	0.211687	0.347489
a0	0.00429957	0.00280613	0.00466438	0.0118023	0.0280532	0.0853062	0.187521	0.203979	0.197034	0.274534
a93	0.00272706	0.00172477	0.00228959	0.00438205	0.010529	0.0381076	0.1046	0.19413	0.256861	0.384649
a34	0.00132166	0.00101549	0.00170882	0.00429531	0.0110846	0.035349	0.0957969	0.167192	0.24702	0.435216
a62	0.00217801	0.00127865	0.00206382	0.00701726	0.0183694	0.0577582	0.143491	0.204874	0.24205	0.320919
a34	0.00089962	0.000593106	0.00103192	0.00339591	0.0100298	0.03007	0.0705767	0.148154	0.245726	0.489523
a98	0.000468525	0.000380964	0.000680888	0.00236795	0.00753737	0.0239776	0.0623033	0.145139	0.247949	0.509195
a92	0.00167722	0.00151875	0.00250904	0.00548005	0.0138508	0.0397978	0.0833646	0.173059	0.243137	0.435606
a56	0.00138917	0.00103908	0.00194687	0.00502325	0.0131691	0.0457081	0.103047	0.159607	0.225715	0.443356
a96	0.000460262	0.000299542	0.000547943	0.00185499	0.00512806	0.018221	0.0493511	0.114911	0.227204	0.582022
a75	0.000412825	0.000286947	0.000447547	0.00122064	0.00315125	0.00942336	0.0236826	0.0832765	0.2123	0.665798
a47	0.00142257	0.000983074	0.00156235	0.00400286	0.0101372	0.0251013	0.0505629	0.129226	0.239849	0.537152
a2	0.00105337	0.00080207	0.00147401	0.00382892	0.00899329	0.0218662	0.0504592	0.143569	0.250852	0.517102
a57	0.00187536	0.000628205	0.000558105	0.000736099	0.00138935	0.0049623	0.0287756	0.143755	0.3092	0.50812
a87	0.0244308	0.0114901	0.00554843	0.00415708	0.00464641	0.00974002	0.044025	0.145866	0.287287	0.462809
a23	0.0880931	0.0454196	0.0320629	0.0223355	0.0201456	0.039295	0.119996	0.197487	0.204177	0.230989
a87	0.11146	0.0620452	0.0269621	0.0194512	0.0206965	0.0397907	0.0844342	0.16873	0.191199	0.275232
</S>	0.0118267	0.0100345	0.0071043	0.00800429	0.0149436	0.0317251	0.0669787	0.162558	0.241268	0.445557
