 	les	aubergines	sont	cuites	</S>
a23	0.414806	0.253052	0.124532	0.112007	0.0956041
a10	0.381956	0.196862	0.155468	0.176913	0.0888009
a54	0.410458	0.284698	0.151651	0.0910142	0.0621799
a6	0.634533	0.252727	0.0720307	0.0247426	0.015967
a37	0.49105	0.353362	0.103708	0.036463	0.0154163
a96	0.31091	0.416914	0.152427	0.0801712	0.0395786
a61	0.274704	0.389452	0.182002	0.102403	0.0514386
a21	0.199197	0.32561	0.221423	0.161226	0.0925433
a96	0.249062	0.299907	0.204427	0.157358	0.0892464
a61	0.158339	0.261718	0.263215	0.198726	0.118001
a0	0.151643	0.218045	0.257697	0.224752	0.147863
a75	0.103742	0.116056	0.191251	0.283273	0.305678
a90	0.0758005	0.102838	0.165369	0.305851	0.350142
a56	0.0548346	0.06675	0.142823	0.344318	0.391274
a96	0.0751605	0.0778864	0.126987	0.330992	0.388975
a61	0.024899	0.0345128	0.0730444	0.28337	0.584174
a31	0.0134842	0.0177877	0.0432725	0.236563	0.688892
a21	0.0167817	0.0204536	0.0441654	0.239233	0.679366
a41	0.0153312	0.0225822	0.0501012	0.224391	0.687594
a36	0.0244637	0.0336948	0.0705606	0.18006	0.691221
a2	0.0123598	0.0194334	0.0646979	0.238194	0.665315
a30	0.124666	0.116831	0.142479	0.229898	0.386125
a87	0.197514	0.127959	0.112609	0.248555	0.313363
a10	0.168495	0.10503	0.112062	0.309487	0.304926
a87	0.164332	0.11107	0.136734	0.306973	0.28089
a10	0.09427	0.0653645	0.100639	0.289056	0.45067
</S>	0.107557	0.0758571	0.102456	0.261637	0.452493
