 	tourne-toi	comme	ça	pour	que	je	me	change	</S>
a66	0.285854	0.199011	0.163257	0.140006	0.129468	0.0587382	0.0143309	0.00474316	0.00459146
a87	0.424555	0.217829	0.167698	0.0922871	0.0564286	0.0191931	0.00714447	0.00807305	0.00679224
a23	0.234377	0.250107	0.184384	0.146681	0.0874189	0.0420623	0.0233013	0.018092	0.0135766
a40	0.0892087	0.141281	0.124094	0.130052	0.143581	0.0972191	0.100071	0.0683001	0.106194
a6	0.273906	0.187354	0.171131	0.126785	0.100832	0.0598282	0.0360717	0.0219468	0.0221439
a47	0.204925	0.121407	0.134728	0.128195	0.149974	0.164157	0.0604152	0.0227676	0.0134318
a36	0.152431	0.149948	0.173243	0.142248	0.139863	0.142865	0.0547647	0.029245	0.0153917
a79	0.0809051	0.0990218	0.139499	0.162107	0.186949	0.163644	0.0889561	0.0503838	0.0285345
a94	0.110548	0.11791	0.190771	0.178839	0.151466	0.129501	0.0626966	0.0371967	0.0210707
a54	0.0866063	0.107597	0.152326	0.180397	0.188736	0.145708	0.067379	0.043221	0.0280304
a85	0.0907114	0.0895629	0.122574	0.120724	0.115488	0.107832	0.0900493	0.130171	0.132887
a5	0.1173	0.0759874	0.09467	0.0858552	0.0799501	0.0914217	0.0926607	0.170916	0.191239
a61	0.139224	0.119609	0.109844	0.12829	0.134766	0.0993623	0.0759852	0.100736	0.0921829
a75	0.073443	0.0597248	0.0530802	0.0785688	0.12514	0.132521	0.141006	0.175504	0.161012
a85	0.01486	0.012172	0.0122668	0.022371	0.0509459	0.0913011	0.176833	0.311728	0.307521
a5	0.0147852	0.0108882	0.0105043	0.0138374	0.0269799	0.0597924	0.11851	0.356989	0.387714
a12	0.00240436	0.0021229	0.00205125	0.004244	0.00976093	0.0236584	0.13034	0.451016	0.374402
a18	0.00222455	0.00226823	0.00220113	0.00445325	0.0100197	0.0223878	0.113693	0.411202	0.43155
a75	0.0023375	0.0037046	0.00288483	0.00481396	0.0057617	0.0110907	0.0568551	0.263111	0.649441
a85	0.000243207	0.00026698	0.000281045	0.000814797	0.00172587	0.0056156	0.0544211	0.262646	0.673985
a92	0.000108291	0.000135875	0.000148199	0.000439878	0.00100001	0.0040753	0.0560583	0.308624	0.62941
a6	0.000343874	0.000300915	0.000395562	0.00109597	0.00216429	0.00955404	0.0723137	0.283166	0.630665
a36	0.000706123	0.000734156	0.00106212	0.00311291	0.0055103	0.0261045	0.122572	0.292627	0.547571
a2	0.00374772	0.00354619	0.00326744	0.00599128	0.00774573	0.0302298	0.103067	0.342019	0.500385
a57	0.0211753	0.0165998	0.00965847	0.0107649	0.0137257	0.0471629	0.118481	0.290316	0.472115
a87	0.0861087	0.0909415	0.0586566	0.0480061	0.0452205	0.0730881	0.107111	0.1975	0.293367
a23	0.28564	0.277075	0.191263	0.106032	0.0517308	0.0308584	0.0176972	0.0193037	0.0203998
a99	0.146303	0.106857	0.0983038	0.083293	0.0494585	0.0608139	0.0866464	0.164526	0.203798
a87	0.011338	0.00744284	0.00562182	0.00617851	0.00724972	0.0233318	0.111034	0.339082	0.488722
</S>	0.00289949	0.00251297	0.00225761	0.00343876	0.00478405	0.0150375	0.0874964	0.351728	0.529845
