 	la	pluie	qui	est	tombée	hier	contenait	de	la	grêle	</S>
a66	0.14584	0.131996	0.139697	0.159675	0.155703	0.146056	0.063946	0.0329207	0.0124167	0.00712601	0.00462269
a87	0.225597	0.153834	0.153587	0.117884	0.131572	0.0627261	0.0402871	0.04196	0.0280843	0.0271757	0.0172939
a23	0.218537	0.169357	0.163135	0.130754	0.105832	0.0601494	0.0463938	0.0336294	0.0234357	0.0273105	0.0214665
a13	0.165543	0.110099	0.122608	0.104222	0.0799849	0.0404639	0.040211	0.0475134	0.0580498	0.131229	0.100077
a53	0.135583	0.100161	0.113898	0.114784	0.105872	0.0512504	0.0417602	0.0608635	0.0697808	0.13312	0.0729268
a15	0.265032	0.16526	0.161017	0.138413	0.0982695	0.0541178	0.0301674	0.0314755	0.0217636	0.0209056	0.0135789
a98	0.211196	0.144153	0.140534	0.123245	0.0923035	0.0564296	0.0509911	0.0647529	0.0513917	0.042784	0.0222184
a5	0.189999	0.14005	0.133429	0.120667	0.0997086	0.065856	0.0549966	0.06279	0.0520371	0.0547471	0.0257191
a12	0.173074	0.126775	0.143286	0.134664	0.0897082	0.0612671	0.0454196	0.0435536	0.0429385	0.0838705	0.0554432
a75	0.143597	0.121861	0.14214	0.149021	0.104718	0.0844846	0.0524278	0.041976	0.0409331	0.0665775	0.052263
a85	0.0879395	0.0858951	0.0963576	0.1129	0.0851122	0.0871145	0.0773265	0.0728189	0.0759643	0.133823	0.0847487
a47	0.0554404	0.0608353	0.0711312	0.0939	0.0844283	0.0845347	0.0818888	0.0720006	0.0801131	0.177777	0.13795
a36	0.0517477	0.061977	0.0726053	0.0945583	0.0727382	0.0850869	0.0768899	0.0677391	0.0780873	0.189117	0.149454
a79	0.0214573	0.0327947	0.0388339	0.0778192	0.0728144	0.104916	0.0844451	0.0806706	0.0973638	0.231903	0.156982
a37	0.019626	0.0249532	0.0300067	0.0616089	0.0748062	0.102973	0.0967872	0.0830288	0.0999818	0.237631	0.168597
a75	0.0101246	0.00985783	0.0109663	0.0247098	0.0407478	0.0715989	0.0837985	0.0902896	0.130712	0.303699	0.223496
a85	0.00473755	0.00515745	0.00588982	0.013373	0.0250855	0.0494509	0.0669526	0.087472	0.137237	0.312155	0.292489
a6	0.00266816	0.00249629	0.00247599	0.0049784	0.00908063	0.0181527	0.0313839	0.0548398	0.131801	0.363672	0.378451
a36	0.00206621	0.00220574	0.0021523	0.0049544	0.00952197	0.0194631	0.0297475	0.0540502	0.145279	0.355428	0.375132
a26	0.00480365	0.00390109	0.00315797	0.00432747	0.00621501	0.00944562	0.0171619	0.0358087	0.117751	0.280317	0.517111
a21	0.00664012	0.00612419	0.00455655	0.00473436	0.00614795	0.00793043	0.0178809	0.0406066	0.116133	0.253829	0.535417
a12	0.000989855	0.000912225	0.000745994	0.000997341	0.00154229	0.00267913	0.00865938	0.0283057	0.110409	0.239581	0.605178
a18	0.00112149	0.00103836	0.000827639	0.001033	0.00147581	0.00246134	0.00869073	0.0309462	0.126734	0.283404	0.542268
a82	0.00326781	0.00289909	0.00253942	0.00327578	0.00607643	0.00712251	0.0176271	0.0448877	0.118067	0.282334	0.511903
a87	0.0809292	0.0514077	0.0347964	0.0275906	0.0344037	0.041797	0.0614403	0.0808242	0.119019	0.188947	0.278844
a23	0.191138	0.152298	0.135804	0.120688	0.111755	0.104104	0.0640522	0.0433906	0.0289641	0.0256886	0.0221182
a99	0.0775736	0.056819	0.0438106	0.0397893	0.0477536	0.0475364	0.0621994	0.0984019	0.165421	0.170505	0.190191
a30	0.0242129	0.0188172	0.0156672	0.0164437	0.0220002	0.0264657	0.0393358	0.0630372	0.147775	0.278212	0.348033
</S>	0.00803264	0.00896731	0.00731304	0.00809783	0.00842019	0.00832021	0.01607	0.0310151	0.0979372	0.309381	0.496445
