 	cette	manière	de	t'	énivrer	te	tuera	un	jour	</S>
a66	0.220783	0.225625	0.230092	0.161105	0.0826355	0.0228008	0.0133472	0.0184783	0.012225	0.0129082
a87	0.324736	0.214972	0.197871	0.107891	0.0607273	0.0495278	0.0198324	0.00974016	0.00553916	0.00916361
a23	0.375231	0.261602	0.215276	0.0954472	0.0278112	0.010915	0.00411252	0.00278192	0.00233244	0.00449083
a18	0.277392	0.299039	0.20759	0.121438	0.0417276	0.0181436	0.0103063	0.00497084	0.00627779	0.0131151
a5	0.313754	0.293562	0.140928	0.0883017	0.0428095	0.0296195	0.0289593	0.0149849	0.0179348	0.0291463
a36	0.244009	0.22831	0.149382	0.114796	0.0938011	0.0637249	0.0567511	0.0172202	0.0146004	0.0174054
a24	0.179945	0.167854	0.141888	0.140545	0.204195	0.0836536	0.0492007	0.0118973	0.0108148	0.010006
a31	0.100115	0.0767563	0.0705404	0.0832125	0.128903	0.260663	0.190897	0.0410864	0.0275118	0.0203145
a21	0.0923837	0.0690088	0.0598998	0.0697298	0.102851	0.31495	0.198391	0.0430959	0.027742	0.0219482
a85	0.0453421	0.0365824	0.0443636	0.0504236	0.0729126	0.475237	0.219644	0.0277145	0.0150926	0.0126877
a37	0.0110745	0.00950578	0.0142599	0.0197693	0.0323414	0.441349	0.323568	0.0708421	0.0403611	0.0369298
a21	0.0362838	0.0232181	0.0219826	0.0278984	0.0376685	0.27968	0.387409	0.0739325	0.0491619	0.0627655
a47	0.0363206	0.0322528	0.0354276	0.0417502	0.0720702	0.248445	0.216536	0.132612	0.0851668	0.0994177
a31	0.0268618	0.0190559	0.0183428	0.0226111	0.0216766	0.141327	0.296959	0.190625	0.122544	0.139996
a0	0.0186584	0.0144639	0.0152333	0.0215838	0.0288647	0.102434	0.18514	0.30023	0.160975	0.152417
a62	0.0274207	0.017988	0.0163349	0.0163131	0.0144539	0.0596674	0.120376	0.286531	0.224043	0.216871
a93	0.0120635	0.0103796	0.0118201	0.0150464	0.0173664	0.0370363	0.0699082	0.243364	0.294176	0.288839
a94	0.00776146	0.00529389	0.00529159	0.006844	0.0086325	0.0213385	0.0553062	0.236757	0.328374	0.324401
a93	0.0026743	0.0016246	0.00166776	0.00214459	0.00419669	0.00701032	0.0173181	0.10498	0.307257	0.551127
a34	0.000641767	0.00039557	0.000400588	0.0005673	0.00100609	0.00304138	0.00920202	0.0703123	0.27713	0.637303
a92	0.000574468	0.000388181	0.000365459	0.000420337	0.000580457	0.00237979	0.00542071	0.0526517	0.260008	0.677211
a37	0.000415121	0.000236295	0.000231497	0.000321117	0.000650302	0.00227221	0.00386168	0.0338928	0.230102	0.728017
a44	0.00105615	0.000517883	0.000409055	0.000469613	0.000773715	0.00288994	0.00464868	0.0436546	0.263699	0.681881
a26	0.00102636	0.000463885	0.000373847	0.00048417	0.000759418	0.0032702	0.00567235	0.0494149	0.263817	0.674718
a82	0.00977192	0.0065072	0.00465611	0.00488715	0.00674667	0.0145322	0.0283849	0.135641	0.313341	0.475532
a87	0.173186	0.102605	0.0848379	0.0588037	0.0687798	0.0636781	0.0572559	0.1196	0.138463	0.13279
a23	0.308318	0.157201	0.155715	0.102474	0.0449686	0.0647391	0.0343582	0.0457578	0.0448878	0.0415804
a87	0.133048	0.0456126	0.0497195	0.0304367	0.0147002	0.0320169	0.0208984	0.0778481	0.187293	0.408427
a23	0.0436732	0.0177964	0.0191486	0.0140697	0.00673904	0.0250023	0.0193858	0.0746596	0.23279	0.546735
a87	0.0582242	0.0217356	0.032107	0.0248678	0.00991934	0.0318927	0.025021	0.116248	0.273988	0.405996
</S>	0.00888036	0.00303186	0.00417111	0.00360617	0.00332401	0.0167936	0.0234351	0.141208	0.274127	0.521423
