 	tu	creuses	des	trous	partout	qui	va	les	remblayer	</S>
a66	0.196492	0.151621	0.105529	0.0964459	0.089536	0.0928458	0.0899529	0.0866595	0.0558591	0.0350589
a87	0.122952	0.109549	0.117056	0.102064	0.0996359	0.119656	0.130276	0.118245	0.0518311	0.0287352
a23	0.172073	0.21049	0.145768	0.121374	0.130076	0.0959404	0.054139	0.0330171	0.0222865	0.0148368
a83	0.120584	0.232668	0.190807	0.163793	0.148477	0.0876032	0.0350342	0.0107624	0.00543205	0.00483893
a90	0.241214	0.242017	0.099257	0.0809426	0.0891224	0.081007	0.050929	0.0342452	0.0412764	0.0399902
a92	0.227264	0.214328	0.0999796	0.0899154	0.0942818	0.0933075	0.0714665	0.0459223	0.0370658	0.0264696
a56	0.09393	0.180491	0.153531	0.11293	0.103736	0.105056	0.093646	0.0674024	0.0506353	0.0386432
a98	0.0771464	0.14381	0.17158	0.152792	0.140566	0.109487	0.0787552	0.0511254	0.0408139	0.0339251
a79	0.0468978	0.0711141	0.124759	0.160671	0.144782	0.115821	0.106861	0.0845159	0.0747364	0.0698425
a92	0.0412036	0.054508	0.119588	0.198416	0.202663	0.13163	0.0931051	0.0492856	0.0505578	0.0590417
a25	0.0519677	0.0683224	0.119182	0.168419	0.176055	0.121166	0.0981678	0.0660709	0.0630454	0.0676033
a69	0.0235432	0.0326946	0.101781	0.184292	0.189074	0.136028	0.107591	0.0650772	0.0646707	0.0952483
a90	0.0196092	0.0371027	0.111693	0.186862	0.195378	0.145819	0.121582	0.0626974	0.0495838	0.0696734
a69	0.0151023	0.0243356	0.0886029	0.161437	0.180011	0.141453	0.132488	0.0807445	0.073924	0.101902
a11	0.0140178	0.0214182	0.0748131	0.158341	0.180245	0.14174	0.133453	0.0868036	0.0728108	0.116357
a54	0.0179097	0.0146532	0.0370583	0.0797234	0.125579	0.117598	0.153417	0.108555	0.116202	0.229304
a7	0.0333295	0.0386949	0.0705091	0.13573	0.180871	0.122303	0.114645	0.0711705	0.0735827	0.159165
a2	0.0505978	0.0418601	0.0617797	0.096612	0.157986	0.130076	0.138708	0.0866999	0.0804911	0.15519
a57	0.0569668	0.070221	0.0813445	0.130264	0.174282	0.11045	0.0927656	0.064535	0.0939827	0.125189
a87	0.0304584	0.039556	0.0331604	0.052233	0.0780383	0.0685312	0.0750054	0.116121	0.247486	0.25941
a79	0.0472796	0.0740756	0.08559	0.141219	0.140449	0.123906	0.0979093	0.0892082	0.106529	0.093834
a4	0.0243396	0.0339098	0.0789777	0.184402	0.213802	0.149619	0.0996606	0.0593849	0.0684112	0.0874926
a57	0.0136617	0.0283787	0.0623815	0.0936763	0.129245	0.134372	0.109494	0.140583	0.154257	0.133951
a11	0.0038621	0.0070711	0.018464	0.0247433	0.0283397	0.0436055	0.056183	0.14363	0.295239	0.378862
a12	0.00384512	0.00603899	0.0163636	0.0247276	0.0297021	0.0402173	0.053993	0.156362	0.311057	0.357693
a47	0.00310134	0.00388846	0.0107545	0.0204592	0.0245042	0.0286831	0.0467423	0.149172	0.343528	0.369167
a31	0.00524463	0.00439157	0.0134512	0.0329675	0.0435474	0.0465029	0.0768324	0.169311	0.293706	0.314045
a43	0.00330726	0.00217427	0.0066466	0.021421	0.0354446	0.0385193	0.0630937	0.136559	0.284326	0.408508
a62	0.00196877	0.00155601	0.00305733	0.00723857	0.015333	0.0260882	0.0455745	0.111706	0.294195	0.493283
a34	0.00347492	0.00204996	0.00390874	0.00774241	0.0149412	0.0282635	0.0477192	0.109826	0.266344	0.515729
a98	0.00184583	0.00193653	0.00439657	0.0093474	0.0155198	0.01997	0.0377357	0.0978536	0.303838	0.507556
a85	0.000830535	0.00097401	0.00476133	0.0123253	0.0129022	0.0107216	0.0167784	0.0415573	0.205501	0.693648
a92	0.0014703	0.0015566	0.0074455	0.0188076	0.0198111	0.0153134	0.0214078	0.0435371	0.182487	0.688164
a36	0.0034646	0.00517081	0.0157552	0.0257681	0.0256397	0.0203699	0.0275919	0.0545624	0.19255	0.629128
a26	0.00560009	0.00475175	0.0102201	0.0129164	0.017619	0.0198557	0.0280557	0.0718109	0.255992	0.573179
a57	0.0869038	0.0471642	0.0447601	0.0500788	0.0522054	0.06548	0.0795309	0.122629	0.179334	0.271914
a97	0.136188	0.108216	0.0666382	0.0716245	0.0869467	0.0790676	0.0762125	0.0808972	0.113116	0.181093
a87	0.131002	0.0907102	0.0453906	0.0517461	0.087778	0.0892635	0.0839595	0.0867947	0.141919	0.191437
a23	0.106492	0.0878261	0.0610459	0.0689654	0.0954775	0.11045	0.109392	0.112828	0.119882	0.12764
a87	0.0549334	0.0418629	0.0553147	0.0865389	0.113059	0.127124	0.107673	0.0870478	0.105581	0.220865
a23	0.0484437	0.0560435	0.0857214	0.103378	0.114278	0.118722	0.0928625	0.0767186	0.0959836	0.207849
a99	0.0352928	0.0392927	0.0837653	0.114671	0.12642	0.131049	0.0972281	0.0768247	0.0968595	0.198597
a87	0.0529705	0.0761835	0.0911395	0.103554	0.108051	0.110183	0.0773748	0.0644215	0.0962543	0.219867
a97	0.0823594	0.110656	0.100962	0.106084	0.113663	0.108472	0.0764701	0.0576724	0.0750842	0.168577
</S>	0.136309	0.177998	0.103248	0.0883874	0.0963302	0.102909	0.0807729	0.0597995	0.0574744	0.0967717
