 	il	faut	répondre	quand	on	t'	appelle	</S>
a66	0.375274	0.324174	0.179412	0.0691133	0.0230395	0.0131912	0.00850437	0.00729167
a87	0.270159	0.249252	0.13548	0.0982089	0.0727003	0.0661139	0.0532597	0.0548261
a97	0.303437	0.156572	0.074079	0.0503937	0.0679421	0.0956533	0.119939	0.131985
a87	0.280114	0.14193	0.0659917	0.0571439	0.0846397	0.111587	0.122881	0.135714
a97	0.305862	0.172223	0.0861814	0.0661702	0.0824346	0.0978268	0.095934	0.0933685
a79	0.235463	0.156621	0.120347	0.102476	0.102424	0.100854	0.0940835	0.0877302
a53	0.395454	0.14932	0.0801986	0.0423615	0.0431696	0.0634168	0.104185	0.121894
a15	0.525159	0.232311	0.0939428	0.0405956	0.0268654	0.0258493	0.025972	0.0293053
a47	0.351826	0.224298	0.141209	0.0872189	0.0526612	0.0452018	0.0437082	0.0538765
a7	0.240565	0.158664	0.156079	0.154895	0.0872417	0.0643072	0.0608358	0.0774119
a21	0.231686	0.156178	0.139359	0.148474	0.0968265	0.0731671	0.0667911	0.0875178
a47	0.214203	0.199654	0.157993	0.155032	0.0763678	0.0568999	0.0574124	0.0824387
a75	0.191139	0.164917	0.143263	0.184092	0.0978804	0.0674233	0.0659498	0.0853349
a79	0.0757561	0.104576	0.149081	0.188061	0.127823	0.106673	0.108278	0.139751
a7	0.0410966	0.0596507	0.104686	0.185057	0.146726	0.125691	0.142848	0.194244
a85	0.0375188	0.0429646	0.0694778	0.145496	0.14584	0.142952	0.174841	0.240909
a92	0.0202209	0.0298151	0.0682914	0.137013	0.145299	0.141401	0.186273	0.271687
a21	0.0169438	0.0249286	0.0619303	0.125489	0.159655	0.155513	0.199256	0.256284
a6	0.00904579	0.0129081	0.0309582	0.0955804	0.163476	0.184139	0.233297	0.270596
a36	0.00139993	0.00213792	0.00983012	0.0425488	0.112246	0.173072	0.276155	0.382611
a26	0.002102	0.00178195	0.00572132	0.0185162	0.0644568	0.147894	0.314167	0.44536
a57	0.00364536	0.00251057	0.00645833	0.0113507	0.0416876	0.119795	0.340606	0.473947
a97	0.0158368	0.0114721	0.0198567	0.0311077	0.073566	0.140941	0.305205	0.402015
a87	0.0746672	0.048722	0.0523203	0.0694235	0.120195	0.173516	0.226763	0.234393
a97	0.0660348	0.0445583	0.0536912	0.0835403	0.162191	0.20832	0.199162	0.182502
a0	0.0504703	0.0323932	0.0455283	0.0748003	0.152261	0.202336	0.217599	0.224612
</S>	0.0221096	0.0190107	0.0332259	0.0689473	0.120559	0.171153	0.234473	0.330522
