 	il	a	une	mauvaise	manière	de	faire	</S>
a66	0.322124	0.248021	0.129254	0.094105	0.0793244	0.0582829	0.0391685	0.02972
a87	0.178049	0.182653	0.18428	0.188424	0.125939	0.0681491	0.0402103	0.0322966
a97	0.297883	0.186496	0.130127	0.152331	0.0892152	0.0584878	0.0437983	0.0416614
a30	0.311408	0.257548	0.164504	0.154596	0.0546628	0.0243376	0.0156891	0.0172541
a53	0.311188	0.268147	0.160083	0.140954	0.0465604	0.0263169	0.0203381	0.0264129
a90	0.366833	0.306298	0.150539	0.102259	0.0307774	0.0161313	0.0136679	0.013494
a92	0.263117	0.277505	0.19189	0.131415	0.0612008	0.0306415	0.022948	0.0212819
a79	0.117483	0.164668	0.210426	0.18007	0.139729	0.0749758	0.0569945	0.0556545
a75	0.131366	0.175942	0.205751	0.144669	0.121057	0.0774017	0.0703546	0.0734589
a47	0.0891507	0.12363	0.178109	0.132605	0.133237	0.114502	0.117396	0.11137
a62	0.0662858	0.0806327	0.127814	0.0975049	0.114201	0.142119	0.178358	0.193085
a83	0.0786377	0.0747531	0.0969197	0.093574	0.113562	0.130613	0.176321	0.235619
a0	0.0763822	0.0688896	0.0905136	0.109005	0.154916	0.160355	0.167472	0.172467
a62	0.0344503	0.0272933	0.0350852	0.0500887	0.107795	0.195873	0.259664	0.289751
a47	0.0131641	0.0109921	0.0152879	0.0253538	0.0795267	0.204335	0.30527	0.346071
a62	0.0215883	0.0197596	0.0241011	0.0311596	0.0677178	0.18288	0.286177	0.366616
a31	0.00417331	0.00377604	0.0058942	0.0104171	0.0398026	0.153315	0.300658	0.481965
a88	0.00257811	0.00242389	0.00436336	0.00881547	0.0377341	0.153025	0.301468	0.489592
a62	0.00251718	0.00241795	0.00360938	0.00753846	0.0330797	0.133652	0.293513	0.523672
a83	0.00287286	0.0032669	0.00584268	0.0108082	0.0365766	0.125816	0.277549	0.537268
a9	0.00369185	0.00360195	0.00573513	0.00929491	0.0339226	0.119627	0.292214	0.531913
a3	0.0971262	0.0589601	0.042502	0.046698	0.0786674	0.129419	0.211338	0.33529
a97	0.225658	0.152324	0.109503	0.105898	0.0956896	0.0986114	0.100344	0.111972
a99	0.145235	0.109755	0.0872542	0.0963243	0.116849	0.15169	0.148865	0.144028
a97	0.0778086	0.0556275	0.046725	0.0430123	0.0847999	0.15727	0.217367	0.317389
</S>	0.0848026	0.0606692	0.0502291	0.0656025	0.108535	0.14805	0.190721	0.29139
