 	elle	lui	posa	un	bandage	autour	de	sa	tête	blessée	</S>
a23	0.236568	0.22963	0.188343	0.103301	0.0616689	0.0474846	0.029822	0.0265483	0.026189	0.0249053	0.0255393
a85	0.38747	0.215043	0.142257	0.0579157	0.0285683	0.0339132	0.0236543	0.0232349	0.024726	0.0250133	0.0382043
a87	0.26992	0.182965	0.0777633	0.048263	0.0328354	0.0538343	0.0522677	0.0603319	0.0634459	0.0610732	0.0973004
a23	0.19774	0.126852	0.0566733	0.0379186	0.0278932	0.0469809	0.055023	0.0746488	0.0904303	0.104055	0.181784
a79	0.247581	0.121209	0.0478172	0.0313825	0.0215425	0.0330426	0.040166	0.063485	0.0938447	0.104223	0.195706
a20	0.54215	0.208331	0.0687366	0.0371633	0.0253657	0.0156688	0.010444	0.0123293	0.0192198	0.0261808	0.0344107
a15	0.444623	0.223402	0.0985367	0.06769	0.0544377	0.0329073	0.0181934	0.0144245	0.0155685	0.015571	0.014646
a44	0.314752	0.270123	0.133486	0.0838862	0.0524512	0.0422276	0.0266997	0.0207272	0.0175963	0.0186459	0.0194051
a26	0.286036	0.224348	0.106876	0.0835976	0.0613229	0.0563495	0.042147	0.0358131	0.0306602	0.0350746	0.0377747
a11	0.213803	0.212181	0.135779	0.103952	0.0784454	0.06918	0.0485214	0.0385659	0.0312165	0.0326802	0.0356744
a24	0.220739	0.20061	0.134675	0.107657	0.0800878	0.0689828	0.0480696	0.0378757	0.032119	0.0335439	0.0356411
a94	0.185535	0.187657	0.158214	0.127704	0.102051	0.0721226	0.0465748	0.0343503	0.0298368	0.0277524	0.0282025
a24	0.189649	0.206811	0.152558	0.123223	0.0923884	0.0657234	0.0445779	0.0348117	0.0313971	0.0288878	0.0299725
a43	0.135914	0.171908	0.163352	0.149659	0.129522	0.0876841	0.0521881	0.0346387	0.0282109	0.023223	0.0236991
a75	0.128371	0.169803	0.173584	0.158857	0.114096	0.0829936	0.0507413	0.0364624	0.0309827	0.0263981	0.0277107
a41	0.0802353	0.125642	0.166035	0.157621	0.110398	0.0880375	0.0677817	0.0589004	0.0523738	0.0444119	0.0485633
a37	0.0805832	0.127772	0.147175	0.138837	0.101804	0.0813668	0.0697851	0.0696601	0.0679701	0.0564837	0.0585641
a27	0.0543113	0.0838682	0.117816	0.126427	0.0974311	0.086668	0.0843628	0.0912691	0.0919902	0.0798991	0.0859571
a75	0.0376788	0.0565479	0.111358	0.155794	0.106958	0.110235	0.0943726	0.0868892	0.0752516	0.0757417	0.0891733
a5	0.0391762	0.0551777	0.0934741	0.112468	0.093061	0.0863036	0.0866093	0.0988644	0.109855	0.103619	0.121391
a18	0.0408902	0.0511122	0.0910516	0.108659	0.114105	0.0984963	0.0902486	0.0933378	0.103169	0.101341	0.107589
a31	0.0378101	0.0390867	0.082162	0.126633	0.125733	0.122176	0.11158	0.0999656	0.0885228	0.0798319	0.0864997
a62	0.0457338	0.0513504	0.0861335	0.113761	0.133336	0.118118	0.105587	0.0985712	0.0952057	0.0779006	0.0743023
a70	0.0430614	0.0496135	0.0781746	0.10438	0.131768	0.119824	0.11499	0.113236	0.105101	0.0756854	0.0641654
a98	0.0467003	0.0443093	0.0724402	0.107615	0.13004	0.127499	0.125537	0.115956	0.097688	0.069226	0.0629889
a71	0.0359851	0.0367022	0.0707595	0.10544	0.131275	0.117859	0.109383	0.103617	0.0984038	0.0871904	0.103385
a90	0.0358875	0.0348037	0.0680799	0.113584	0.111849	0.126996	0.13072	0.124375	0.100217	0.0776778	0.0758097
a94	0.0163807	0.0174939	0.0486703	0.0806861	0.0917738	0.0959306	0.102858	0.115165	0.128417	0.133161	0.169463
a62	0.0171562	0.0157865	0.0404385	0.0753952	0.108056	0.105923	0.119685	0.123368	0.127825	0.119885	0.146481
a24	0.0163357	0.0148089	0.0343508	0.0661155	0.095747	0.104284	0.130251	0.145754	0.145612	0.121458	0.125284
a88	0.0161965	0.0130719	0.0296548	0.0612935	0.0830679	0.0968961	0.120977	0.138556	0.145002	0.138037	0.157247
a24	0.0183204	0.0143972	0.024455	0.0502654	0.077685	0.0948439	0.11993	0.143166	0.152801	0.15052	0.153617
a62	0.0155253	0.012272	0.0215273	0.0461647	0.0692334	0.0902823	0.111299	0.131723	0.141696	0.159	0.201277
a96	0.0138524	0.0114334	0.0189039	0.0365553	0.0570305	0.0733564	0.0959313	0.128143	0.154196	0.188352	0.222247
a98	0.0157945	0.0128671	0.0200477	0.0393939	0.0581402	0.0761383	0.104189	0.13782	0.158209	0.174231	0.20317
a73	0.0129019	0.0113421	0.0215116	0.0430491	0.0669062	0.0809318	0.106188	0.130537	0.144058	0.157988	0.224585
a7	0.0102645	0.00966953	0.0191275	0.0379497	0.0551316	0.0675416	0.0877848	0.108857	0.128012	0.173759	0.301903
a84	0.00861878	0.00965267	0.0272165	0.0506087	0.0608637	0.0823227	0.0942474	0.117923	0.126491	0.160644	0.261412
a26	0.00414423	0.0043798	0.0103133	0.0206263	0.0324947	0.0513852	0.0623649	0.101007	0.129204	0.202538	0.381542
a53	0.00256381	0.0024792	0.00648093	0.0122388	0.0209363	0.0404315	0.0511165	0.0821385	0.10913	0.207833	0.464652
a4	0.0042771	0.00362865	0.0106457	0.0185101	0.0244908	0.0377232	0.0532131	0.085038	0.123508	0.218047	0.420919
a53	0.00507981	0.00467509	0.00980324	0.0165402	0.0229986	0.0337465	0.0485083	0.0842192	0.137546	0.235383	0.4015
a20	0.00655086	0.00550252	0.0102643	0.0162898	0.0221917	0.0339641	0.054122	0.09698	0.149862	0.226177	0.378095
a7	0.00835202	0.0064763	0.012133	0.0166011	0.0230832	0.0309292	0.0487386	0.0911588	0.15301	0.221094	0.388424
a84	0.00288525	0.00254791	0.00602211	0.0110545	0.0159363	0.0257168	0.0359499	0.066423	0.116902	0.237049	0.479513
a87	0.00205463	0.00129894	0.00403049	0.00638486	0.009669	0.0178779	0.0244786	0.0478252	0.0920932	0.224518	0.569769
</S>	0.00198613	0.00102097	0.00245364	0.00294783	0.00610689	0.0132043	0.022499	0.0514543	0.0945098	0.233769	0.570048
