 	les	pêcheurs	ont	rapporté	beaucoup	de	poisson	</S>
a23	0.40648	0.256306	0.108338	0.0750591	0.0512923	0.0398074	0.0324178	0.0302995
a87	0.295686	0.176225	0.157987	0.0804126	0.0595068	0.0689726	0.0727474	0.0884623
a23	0.320331	0.190806	0.149783	0.0773859	0.049375	0.0536495	0.0639824	0.094688
a40	0.304615	0.188531	0.159834	0.0566512	0.0346123	0.0435567	0.0823469	0.129854
a6	0.379068	0.127668	0.102309	0.0722366	0.0809564	0.0832134	0.0916147	0.0629338
a37	0.377821	0.1609	0.159451	0.103889	0.0706152	0.0512233	0.0432383	0.0328616
a79	0.320258	0.142507	0.139494	0.10262	0.0720333	0.0614983	0.0800517	0.0815372
a98	0.17537	0.107368	0.138221	0.135982	0.113555	0.100215	0.119069	0.11022
a47	0.127668	0.0871745	0.09892	0.124201	0.131291	0.119649	0.158634	0.152463
a5	0.0941007	0.0849954	0.0819069	0.147992	0.140335	0.114195	0.16407	0.172406
a21	0.158308	0.121198	0.0942645	0.13906	0.138487	0.112427	0.123895	0.112361
a85	0.120887	0.116571	0.104351	0.155996	0.150082	0.124334	0.116528	0.111251
a0	0.0427838	0.036576	0.0435351	0.0957582	0.145008	0.168187	0.22945	0.238702
a75	0.0907608	0.0769181	0.0759862	0.0949411	0.10957	0.141353	0.204432	0.206039
a98	0.0432138	0.0458105	0.051004	0.0870909	0.122359	0.152028	0.237962	0.260532
a85	0.015534	0.0175931	0.0262764	0.0481762	0.0939652	0.160603	0.304865	0.332987
a21	0.0118393	0.0164394	0.0308021	0.0477618	0.0772458	0.135586	0.301971	0.378354
a61	0.0143687	0.0194124	0.0369499	0.0466724	0.0627072	0.115989	0.308466	0.395434
a62	0.00577346	0.00853361	0.0264354	0.0396183	0.0641889	0.119972	0.300889	0.434589
a83	0.00240405	0.00332786	0.0112383	0.0236308	0.0507174	0.125277	0.317017	0.466388
a9	0.00242186	0.00289846	0.00613737	0.0133205	0.0516934	0.130376	0.311082	0.482071
a10	0.0113465	0.00952916	0.0204383	0.0213697	0.067721	0.151843	0.268844	0.448908
a87	0.0861719	0.069715	0.141724	0.127284	0.129116	0.117771	0.126018	0.2022
a23	0.124915	0.113657	0.137743	0.128901	0.116353	0.106929	0.107223	0.164279
a87	0.0264204	0.0226403	0.0431217	0.0564375	0.0871903	0.163707	0.235843	0.364639
</S>	0.0042929	0.00653316	0.0178063	0.0469492	0.102164	0.193928	0.261881	0.366446
