 	cette	question	était	difficile	</S>
a87	0.485883	0.232079	0.142738	0.0865987	0.0527021
a97	0.436177	0.249314	0.129371	0.114682	0.0704558
a53	0.436548	0.256788	0.122086	0.0866352	0.0979441
a90	0.566567	0.215767	0.0751114	0.0571994	0.0853557
a93	0.464176	0.298488	0.122178	0.0475197	0.067639
a13	0.379155	0.321346	0.166424	0.0669032	0.0661721
a44	0.261731	0.289151	0.253953	0.105139	0.0900265
a93	0.244545	0.249323	0.245357	0.136422	0.124354
a90	0.239418	0.239845	0.253112	0.15338	0.114245
a94	0.252462	0.227596	0.226294	0.157189	0.136459
a70	0.206032	0.208684	0.244184	0.190256	0.150844
a90	0.116344	0.154586	0.266372	0.286319	0.176379
a98	0.0939918	0.113514	0.21508	0.327852	0.249563
a92	0.0624112	0.0660256	0.129942	0.324382	0.41724
a70	0.0428736	0.0458913	0.0982914	0.333881	0.479063
a61	0.0146614	0.0203208	0.0558265	0.263808	0.645383
a21	0.0137404	0.0179731	0.0498103	0.293573	0.624904
a5	0.0320816	0.0363234	0.0676658	0.244263	0.619667
a18	0.0155582	0.0187221	0.0342073	0.146304	0.785208
a25	0.00575231	0.00993309	0.0277416	0.151934	0.804639
a38	0.0203815	0.0289406	0.0483769	0.223053	0.679248
a21	0.011647	0.0152303	0.0234087	0.157935	0.791779
a5	0.00469138	0.00648234	0.0144961	0.128062	0.846268
a12	0.00301594	0.00498708	0.0133581	0.118292	0.860347
a18	0.00252367	0.0038903	0.010113	0.101856	0.881617
a25	0.00845655	0.0140267	0.0303989	0.159019	0.788099
a87	0.0151688	0.0250331	0.0385829	0.183462	0.737753
a23	0.0398336	0.0519387	0.0744953	0.266007	0.567725
a87	0.0115044	0.0137864	0.0315	0.196143	0.747067
a23	0.015426	0.0239172	0.0572312	0.220861	0.682565
a27	0.0104594	0.0137069	0.0364188	0.213142	0.726272
</S>	0.0337862	0.0295819	0.0415991	0.180615	0.714418
