 	il	prend	son	arc	et	ses	flêches	</S>
a23	0.282901	0.194376	0.118995	0.13341	0.11507	0.0475223	0.0369446	0.0707812
a87	0.418828	0.204459	0.096921	0.0719828	0.0458361	0.0337609	0.0429999	0.0852121
a23	0.246448	0.208497	0.180064	0.142612	0.0702858	0.0296188	0.042317	0.0801568
a79	0.246314	0.149154	0.112894	0.0867948	0.0407474	0.0288679	0.0759935	0.259234
a20	0.496115	0.257868	0.0709786	0.0379858	0.0193028	0.0159295	0.0276338	0.0741864
a73	0.480066	0.297408	0.0856845	0.0502426	0.0266387	0.0205569	0.0200566	0.0193469
a94	0.235256	0.242332	0.20218	0.185289	0.0823949	0.0263219	0.0168308	0.009395
a20	0.189414	0.233575	0.216742	0.211157	0.0861032	0.0287184	0.020959	0.0133307
a14	0.12838	0.186872	0.216806	0.220693	0.121179	0.0599464	0.0395008	0.0266238
a41	0.130557	0.196579	0.22187	0.229968	0.110186	0.0545945	0.0351493	0.0210958
a36	0.147012	0.180595	0.196736	0.211172	0.109572	0.0633713	0.0483672	0.0431743
a2	0.113759	0.155691	0.201894	0.230387	0.119042	0.0697298	0.0574954	0.0520025
a53	0.0492551	0.0792402	0.163585	0.248367	0.225233	0.0949896	0.0674565	0.0718736
a4	0.03834	0.0601578	0.146699	0.267951	0.205477	0.105177	0.0803744	0.0958228
a90	0.0494746	0.0740408	0.136842	0.241739	0.170013	0.111531	0.101112	0.115247
a41	0.0524122	0.0817176	0.145233	0.258727	0.176413	0.102796	0.0904911	0.0922091
a12	0.0582683	0.0798187	0.115788	0.188293	0.16357	0.112783	0.118294	0.163186
a18	0.0588667	0.0715928	0.0863363	0.147222	0.156533	0.126961	0.141407	0.211082
a61	0.0560813	0.0625277	0.0706066	0.114351	0.165202	0.138041	0.140224	0.252967
a21	0.0397414	0.0437982	0.0499642	0.0841182	0.154494	0.187574	0.188423	0.251887
a41	0.0413676	0.0414383	0.0452422	0.0688485	0.162471	0.206984	0.200043	0.233606
a35	0.0207065	0.0208569	0.0230982	0.0355247	0.100973	0.192118	0.229066	0.377657
a41	0.0234684	0.0250104	0.025651	0.0380732	0.103097	0.190325	0.226382	0.367994
a75	0.0120546	0.0151175	0.0164925	0.0261978	0.0930824	0.184093	0.239115	0.413848
a73	0.0254916	0.0276246	0.0267908	0.0379488	0.08833	0.173913	0.238957	0.380945
a2	0.0209014	0.0219436	0.0225902	0.0355822	0.0922262	0.195101	0.254909	0.356746
a76	0.0100519	0.0109228	0.0150608	0.0281827	0.102925	0.184109	0.28419	0.364558
a94	0.0231637	0.0203611	0.0208498	0.0302089	0.0700771	0.140859	0.197881	0.4966
a76	0.0124516	0.00955052	0.0090982	0.0129502	0.0309017	0.0799195	0.180373	0.664755
a73	0.0422184	0.0320848	0.0294339	0.0379435	0.067588	0.133316	0.202276	0.455139
a20	0.0081589	0.00676191	0.00783567	0.0129697	0.0317958	0.0787496	0.168056	0.685672
a84	0.0274391	0.0174869	0.0168159	0.0239711	0.051322	0.10135	0.184545	0.57707
a87	0.00509089	0.00338516	0.00325135	0.00491247	0.014227	0.0412132	0.141204	0.786716
a23	0.0195402	0.0112368	0.00490054	0.00384031	0.00991862	0.0402154	0.142327	0.768021
a87	0.0525213	0.0435048	0.0171377	0.0113273	0.0276108	0.0718616	0.186978	0.589059
</S>	0.0276238	0.0186175	0.00922646	0.00833456	0.0292138	0.0961919	0.2247	0.586092
