 	cette	femme	a	porté	le	deuil	de	son	défunt	frère	</S>
a84	0.142635	0.121812	0.137659	0.160888	0.157994	0.128254	0.066067	0.0543883	0.0176597	0.00664831	0.00599518
a87	0.398621	0.191773	0.122244	0.0870799	0.0671366	0.0256037	0.022753	0.0307697	0.0252234	0.015159	0.0136364
a23	0.283867	0.201343	0.131907	0.123873	0.0931782	0.0641976	0.0296834	0.0313545	0.0129935	0.0113464	0.0162563
a82	0.315476	0.164627	0.0928783	0.0857955	0.0690132	0.0522687	0.0453038	0.0493568	0.036116	0.0335311	0.0556339
a57	0.23677	0.160016	0.105255	0.108224	0.0864758	0.0692643	0.053405	0.0555097	0.036238	0.0376047	0.0512372
a30	0.212278	0.147482	0.112064	0.105241	0.0932204	0.0842713	0.0632092	0.0697312	0.0437014	0.03249	0.0363117
a4	0.211877	0.137603	0.111138	0.10576	0.10099	0.103036	0.0703878	0.0727223	0.0409894	0.0229596	0.0225376
a70	0.211434	0.179467	0.158607	0.146254	0.10156	0.0622072	0.0401849	0.0365885	0.0208001	0.0190812	0.0238172
a34	0.116177	0.146441	0.14251	0.170185	0.129304	0.10647	0.0666052	0.0541385	0.0287287	0.0174919	0.0219491
a56	0.0811903	0.103482	0.11347	0.159551	0.137357	0.128631	0.0963063	0.0717243	0.0441336	0.0275767	0.036578
a93	0.0769261	0.0941869	0.102097	0.139539	0.128202	0.126933	0.106343	0.0798943	0.0530463	0.0380218	0.0548103
a90	0.0792929	0.100043	0.104514	0.145178	0.136205	0.151412	0.102259	0.0800558	0.0378967	0.0277411	0.0354023
a15	0.0722473	0.10033	0.112304	0.143528	0.125792	0.116571	0.0959741	0.0873965	0.0522192	0.0394175	0.05422
a47	0.0565411	0.0800077	0.098163	0.137351	0.13211	0.124109	0.106113	0.0900919	0.0612663	0.046718	0.067529
a85	0.0711418	0.0903593	0.116189	0.149188	0.143326	0.120009	0.101157	0.0836144	0.0385021	0.0316842	0.0548302
a5	0.0517899	0.0655327	0.101575	0.142044	0.152977	0.141508	0.118461	0.089952	0.0453205	0.0345394	0.0563014
a12	0.0313114	0.0436207	0.0661993	0.122942	0.149024	0.198331	0.14674	0.120121	0.0552715	0.031104	0.0353348
a34	0.0136979	0.0191691	0.0332155	0.0838462	0.127594	0.239057	0.170966	0.136397	0.0784356	0.0495648	0.0480564
a92	0.00983245	0.0133278	0.0210634	0.0501337	0.0884859	0.184391	0.170561	0.144349	0.120577	0.0968935	0.100385
a90	0.00590775	0.00775009	0.0147445	0.0369686	0.0749838	0.165199	0.158397	0.133334	0.120998	0.133167	0.148551
a69	0.00451314	0.00580588	0.0120718	0.0286623	0.0705158	0.183328	0.190825	0.163052	0.123694	0.111174	0.106358
a58	0.00412709	0.00443064	0.00734041	0.0141251	0.0354365	0.113194	0.184442	0.151747	0.156996	0.155898	0.172263
a44	0.010235	0.0108	0.0142652	0.0225801	0.0442017	0.12881	0.216001	0.159144	0.163019	0.109568	0.121376
a93	0.00586349	0.00573921	0.00753238	0.0117447	0.0238377	0.0696154	0.130454	0.111321	0.171686	0.205542	0.256665
a4	0.00386399	0.00401525	0.00593838	0.00978137	0.0208215	0.0570821	0.117292	0.103058	0.193383	0.221904	0.262862
a93	0.0041859	0.00416059	0.00607424	0.00917599	0.0185738	0.0447438	0.0912855	0.0835493	0.186025	0.245777	0.306449
a56	0.0028531	0.00297423	0.00451929	0.00717252	0.0147946	0.0370432	0.0791263	0.0726624	0.180332	0.268584	0.329938
a92	0.00166311	0.00173472	0.00267277	0.00446573	0.00943713	0.0268018	0.0577181	0.051413	0.164292	0.298803	0.380998
a79	0.00104224	0.00102537	0.00168952	0.0030353	0.00680296	0.0202241	0.0399747	0.0332148	0.108934	0.30291	0.481147
a25	0.00056999	0.000567522	0.00110287	0.00222022	0.00509041	0.0174757	0.0357398	0.0250845	0.0787047	0.295317	0.538127
a69	0.00050992	0.000439386	0.000735657	0.00137679	0.00268829	0.00833347	0.0169597	0.0115649	0.0424304	0.293092	0.621869
a93	0.00156162	0.00122098	0.00160062	0.00241791	0.00382164	0.00827691	0.0162803	0.0135895	0.0608409	0.322939	0.56745
a4	0.000940318	0.000793915	0.00114316	0.00160835	0.00325916	0.00770966	0.0137239	0.0129458	0.0590641	0.320749	0.578062
a70	0.000576154	0.000477905	0.000683483	0.000953341	0.00174438	0.00349689	0.00611823	0.00605686	0.0349414	0.287625	0.657326
a13	0.00108071	0.000936189	0.00146619	0.00191482	0.00305134	0.00365863	0.00764523	0.00886225	0.0454643	0.316586	0.609334
a82	0.00437354	0.00396036	0.00600576	0.0076938	0.0125342	0.0169032	0.0244236	0.0220141	0.0584313	0.302906	0.540755
a84	0.0418107	0.0258506	0.0255882	0.0287222	0.0384169	0.0583314	0.0605615	0.0471149	0.0990556	0.232109	0.342439
a87	0.0894586	0.0497128	0.0440642	0.0421539	0.0544624	0.0624947	0.0692485	0.0618374	0.0883374	0.183547	0.254683
a23	0.164032	0.102606	0.0845285	0.0724568	0.0908188	0.0798351	0.0970005	0.0788251	0.0707113	0.0761871	0.0829991
a85	0.107411	0.061376	0.0456671	0.0360462	0.0471585	0.0522074	0.0817649	0.0803053	0.115394	0.171266	0.201404
a82	0.0703865	0.0432059	0.0318028	0.0292076	0.0392089	0.057664	0.0851794	0.0811887	0.102447	0.188611	0.271099
a87	0.0510766	0.0318567	0.0243852	0.0282307	0.0412307	0.0575226	0.077441	0.0789795	0.0979775	0.185498	0.325801
