 	il	me	cache	des	choses	</S>
a23	0.257524	0.187064	0.209505	0.140952	0.121662	0.0832931
a30	0.438274	0.221729	0.142867	0.0729245	0.066116	0.0580896
a53	0.487531	0.265942	0.103228	0.0445495	0.0393706	0.0593788
a54	0.662868	0.229049	0.0545192	0.0231292	0.0147416	0.0156928
a47	0.559229	0.290297	0.0866813	0.0310369	0.0186635	0.0140922
a5	0.441189	0.291941	0.15606	0.0519495	0.0345245	0.0243357
a18	0.357951	0.285032	0.171557	0.07262	0.0608686	0.0519705
a62	0.262317	0.263323	0.224783	0.0963944	0.0830811	0.0701011
a0	0.21453	0.272193	0.278956	0.10457	0.0744963	0.0552539
a75	0.142029	0.219668	0.308296	0.133723	0.105216	0.0910677
a5	0.0736772	0.135222	0.226287	0.185038	0.192857	0.186918
a61	0.103511	0.169286	0.298906	0.170146	0.144919	0.113232
a75	0.0682724	0.117778	0.274081	0.211092	0.185405	0.143372
a47	0.0543215	0.0863305	0.196075	0.19549	0.232359	0.235424
a7	0.0459978	0.0632949	0.149744	0.212007	0.275401	0.253555
a84	0.0461114	0.0416714	0.0656735	0.153347	0.288441	0.404756
a53	0.0174501	0.012936	0.0164264	0.0739307	0.228603	0.650654
a90	0.00759971	0.00650901	0.0137633	0.0642213	0.226967	0.68094
a4	0.00810476	0.00846127	0.0194154	0.0794319	0.235604	0.648983
a57	0.00450598	0.00502862	0.0107635	0.0623538	0.217099	0.700249
a82	0.00905481	0.00734604	0.0109114	0.0633402	0.222252	0.687095
a87	0.142434	0.095092	0.0871617	0.128484	0.20036	0.346468
a23	0.298884	0.160577	0.106719	0.134072	0.152824	0.146924
a87	0.152825	0.105301	0.102026	0.190001	0.244294	0.205553
</S>	0.0937839	0.0865281	0.0970974	0.193035	0.263823	0.265733
