 	si	tu	prends	trop	de	citron	tu	auras	les	maux	d'	estomac	</S>
a66	0.152657	0.143813	0.127854	0.128276	0.133432	0.161927	0.0892652	0.0247648	0.013867	0.0105022	0.00600744	0.00461864	0.00301657
a87	0.24732	0.174372	0.100853	0.0926914	0.0854002	0.0611968	0.0473668	0.0400015	0.035041	0.0335431	0.0274338	0.0285908	0.0261898
a23	0.396984	0.202702	0.0965199	0.0658704	0.0553713	0.0327615	0.0243623	0.0210694	0.0186225	0.0157377	0.0158727	0.0220012	0.0321248
a53	0.168323	0.152868	0.106478	0.104975	0.0821793	0.0617394	0.0392286	0.0308149	0.0328909	0.0455631	0.0492457	0.0614599	0.0642345
a15	0.162126	0.187861	0.128537	0.104223	0.0694586	0.0837248	0.0478592	0.0297369	0.0399041	0.0499582	0.0407846	0.0375656	0.0182607
a98	0.104642	0.154076	0.124708	0.118743	0.0569971	0.090791	0.0706739	0.0358782	0.0566828	0.0750397	0.0513906	0.0409226	0.0194545
a85	0.0763353	0.125453	0.123191	0.143056	0.0720501	0.11238	0.0951111	0.0393946	0.0464223	0.0612837	0.045749	0.0408561	0.0187171
a92	0.0545708	0.0796153	0.0766132	0.0963037	0.0567763	0.0860897	0.0946145	0.0661346	0.0768761	0.082553	0.0806354	0.0879747	0.0612427
a75	0.0714553	0.0881101	0.0764909	0.105987	0.0665961	0.11815	0.135984	0.0794219	0.0532797	0.049627	0.0553025	0.0586976	0.0408971
a92	0.0513823	0.0700697	0.0729694	0.101788	0.0730473	0.120922	0.146439	0.103079	0.068383	0.0543359	0.0523311	0.0477082	0.037545
a56	0.0558378	0.0690893	0.0716907	0.0927292	0.069737	0.109135	0.140906	0.103941	0.0689215	0.0553606	0.0582495	0.0550323	0.0493704
a75	0.0624335	0.0706863	0.0926252	0.114091	0.101175	0.134154	0.154295	0.10297	0.0382761	0.0274599	0.029019	0.0329636	0.039852
a85	0.0288712	0.037047	0.0573677	0.0823701	0.0664648	0.0971896	0.132039	0.119094	0.0871692	0.0756799	0.0830232	0.070146	0.0635382
a75	0.0177426	0.0216897	0.0356386	0.0506556	0.0427298	0.0629724	0.127309	0.137715	0.117143	0.0960721	0.108645	0.0909595	0.0907276
a85	0.0174218	0.0219377	0.0433342	0.0631534	0.0656563	0.098768	0.143844	0.131128	0.0937816	0.0805115	0.0931149	0.0723992	0.0749493
a37	0.011369	0.0141263	0.028214	0.0439633	0.0441905	0.0596293	0.0995796	0.119952	0.10948	0.0941348	0.119099	0.0999968	0.156266
a56	0.0167348	0.0178939	0.0374828	0.0648438	0.0998146	0.129548	0.168638	0.142689	0.0632667	0.0440404	0.0584054	0.0525296	0.104113
a44	0.0151704	0.014831	0.0287277	0.0492389	0.0824105	0.115399	0.129267	0.163352	0.086804	0.0636542	0.0809151	0.0663049	0.103926
a70	0.00873814	0.00841915	0.0132085	0.0206088	0.0464086	0.0694986	0.0880196	0.179046	0.0893008	0.0643172	0.102832	0.0938636	0.215738
a11	0.00795735	0.00758964	0.0114666	0.0164857	0.0352554	0.0549038	0.0668599	0.177795	0.104128	0.0791325	0.120215	0.100326	0.217886
a31	0.0088957	0.00909088	0.0122123	0.0148511	0.0265915	0.0363584	0.0512945	0.197366	0.142735	0.104372	0.127006	0.0923068	0.17692
a88	0.00706633	0.00732833	0.0104671	0.012501	0.0164471	0.0259662	0.0404521	0.152291	0.136768	0.117122	0.141548	0.120183	0.211861
a71	0.00300644	0.00326632	0.00490495	0.00604496	0.00941455	0.0143927	0.0251551	0.118039	0.124295	0.118014	0.165075	0.145414	0.262977
a83	0.0034499	0.00379653	0.00563807	0.00765652	0.0156609	0.0219615	0.0382967	0.154143	0.12922	0.108838	0.14689	0.121769	0.242679
a34	0.00272676	0.00299237	0.00448808	0.00571067	0.0116364	0.014133	0.0230447	0.119864	0.119458	0.112895	0.1662	0.131441	0.28541
a56	0.00116681	0.00126112	0.00195389	0.00233679	0.00415583	0.00654414	0.0121603	0.064269	0.0782023	0.0988739	0.171434	0.170902	0.38674
a93	0.000663576	0.000736109	0.0011668	0.00141353	0.00248131	0.00401073	0.00789011	0.0462433	0.0594851	0.0807306	0.157212	0.168404	0.469563
a70	0.000841203	0.000860191	0.00125726	0.00147278	0.00243928	0.00387695	0.00809691	0.0474596	0.0589151	0.0741953	0.14009	0.160014	0.500481
a11	0.00043162	0.000435885	0.00058711	0.00069756	0.000971198	0.0018847	0.00560005	0.0405206	0.060402	0.0744217	0.145438	0.163716	0.504894
a75	0.00202219	0.00210675	0.00280112	0.00326889	0.00660635	0.00890961	0.014949	0.0726454	0.108261	0.125139	0.196586	0.17376	0.282946
a56	0.000212984	0.000211009	0.000280416	0.000334964	0.000632765	0.00103372	0.00238132	0.0169943	0.0391638	0.0572374	0.122065	0.145465	0.613987
a96	0.00031114	0.000288049	0.000372644	0.000425323	0.00070084	0.00113319	0.00322527	0.0247982	0.0462516	0.0654186	0.145184	0.16878	0.543111
a93	0.000488035	0.000479791	0.00061463	0.000699723	0.00107437	0.00173777	0.00453579	0.0285758	0.0565166	0.0823551	0.17409	0.192911	0.455921
a75	0.000655122	0.000657524	0.000856986	0.00101839	0.00152598	0.00252989	0.00654071	0.0442878	0.0684478	0.091368	0.167306	0.171148	0.443658
a43	0.000308689	0.000253387	0.000277453	0.000309304	0.000551883	0.000821231	0.00244453	0.0138738	0.0426233	0.058332	0.120644	0.151883	0.607678
a34	0.000644361	0.000510688	0.000545281	0.000619892	0.00109359	0.00167749	0.00422985	0.0240288	0.0489634	0.0731725	0.157154	0.186693	0.500667
a37	0.000483112	0.000434399	0.000491287	0.000553843	0.000980374	0.00135538	0.00315635	0.0196194	0.0419325	0.0640273	0.14324	0.171315	0.552411
a26	0.000793327	0.000676819	0.000786964	0.00089117	0.00145737	0.00221819	0.00538306	0.0243504	0.0471629	0.0728267	0.146307	0.173517	0.523628
a57	0.0188209	0.0146566	0.0150766	0.0146881	0.0186112	0.0219071	0.0315442	0.0593694	0.080208	0.0976682	0.143378	0.135459	0.348612
a87	0.0567326	0.0446409	0.0417292	0.0421052	0.0454381	0.0477359	0.0561433	0.0723471	0.0739304	0.0790169	0.105532	0.101226	0.233423
a23	0.0707807	0.047907	0.0360286	0.0400846	0.0502917	0.0684932	0.0830579	0.0942743	0.090775	0.0916121	0.102568	0.0985312	0.125596
a87	0.0165022	0.00582839	0.00293119	0.00326016	0.00370275	0.00530078	0.00692989	0.0117446	0.0282214	0.0503167	0.139074	0.26807	0.458118
