 	j'	ai	acheté	du	poisson	pour	la	femme	du	chef	</S>
a23	0.319298	0.143335	0.0715974	0.0512836	0.0475088	0.0767444	0.0865701	0.0598335	0.0495403	0.045518	0.0487707
a38	0.423891	0.148266	0.0731276	0.0699062	0.0741399	0.0635536	0.0432738	0.0246924	0.0224302	0.0244535	0.0322654
a26	0.388011	0.253799	0.175562	0.0622609	0.0306675	0.0178999	0.0118068	0.00904826	0.0102664	0.014268	0.0264111
a43	0.329872	0.324596	0.235488	0.0632708	0.0252399	0.00884052	0.00391334	0.00183035	0.00176971	0.00203204	0.00314733
a75	0.196268	0.28693	0.285551	0.121478	0.0513619	0.0193792	0.0105912	0.00614678	0.00590655	0.00681911	0.00956802
a14	0.161123	0.208385	0.262583	0.146932	0.0858416	0.0415703	0.0259975	0.0167456	0.0155557	0.0161376	0.0191285
a35	0.194861	0.226977	0.238791	0.142284	0.0796623	0.0384049	0.0239353	0.0151745	0.0130259	0.0129208	0.0139632
a75	0.191815	0.203587	0.217835	0.161987	0.0938181	0.0449076	0.0264826	0.0161455	0.0136623	0.0141014	0.0156589
a14	0.16987	0.162198	0.172561	0.168513	0.117358	0.067421	0.0446672	0.0290588	0.0230576	0.0220299	0.023266
a35	0.15705	0.142349	0.142582	0.156318	0.129409	0.0851093	0.0609034	0.0406774	0.0311188	0.0273327	0.0271511
a32	0.154829	0.141646	0.129239	0.123553	0.122763	0.101741	0.0764232	0.0501351	0.0373372	0.0316829	0.0306506
a11	0.102065	0.0991124	0.102601	0.111524	0.129846	0.134581	0.10896	0.0715252	0.0531164	0.0442751	0.0423936
a75	0.0724024	0.0701617	0.0757239	0.0908443	0.114688	0.154314	0.136599	0.0911931	0.066851	0.060316	0.0669066
a98	0.0665074	0.0640245	0.0741473	0.084768	0.101403	0.140442	0.135963	0.100865	0.0820724	0.0744044	0.0754029
a14	0.0564938	0.0526006	0.0555785	0.0632729	0.0787246	0.129479	0.14931	0.129466	0.102017	0.0914763	0.0915816
a35	0.0371352	0.0327991	0.0407682	0.0550805	0.066889	0.114706	0.152518	0.147439	0.122641	0.11348	0.116543
a76	0.0259431	0.0225975	0.0296439	0.0431372	0.0530694	0.0877172	0.130334	0.157294	0.144209	0.146251	0.159804
a35	0.0414218	0.0320877	0.034222	0.0402837	0.0488796	0.0768947	0.113875	0.142088	0.142143	0.155604	0.1725
a14	0.0207079	0.0200115	0.0248328	0.0341124	0.0404617	0.0625041	0.0997503	0.159579	0.176176	0.177547	0.184318
a35	0.0267596	0.0205314	0.0247193	0.0342453	0.0417387	0.0632838	0.0920448	0.152348	0.169481	0.17947	0.195378
a32	0.019505	0.0135206	0.0165015	0.0248521	0.0318556	0.0486015	0.0728723	0.13795	0.175865	0.208971	0.249505
a75	0.00914958	0.00653123	0.00917215	0.0171269	0.0251232	0.0411163	0.0628431	0.126263	0.18634	0.237772	0.278562
a25	0.0105308	0.00619683	0.0075656	0.0123507	0.0189318	0.0336895	0.0546208	0.122531	0.189618	0.251763	0.292201
a90	0.00931872	0.00527147	0.00727149	0.0133	0.0200417	0.0356027	0.0579757	0.125016	0.192547	0.249192	0.284463
a9	0.0115483	0.00762885	0.0106588	0.0186562	0.0269546	0.0420312	0.0566594	0.115494	0.175412	0.243908	0.291048
a84	0.012555	0.00551029	0.00573387	0.0109767	0.016703	0.027479	0.0376804	0.0833414	0.152032	0.268577	0.379411
a90	0.00803481	0.0034537	0.00319268	0.00586989	0.00971448	0.0178025	0.0260078	0.0646928	0.135526	0.283005	0.442701
a35	0.0141564	0.00688937	0.00567356	0.00859435	0.0109336	0.0175738	0.0269237	0.067954	0.147226	0.282186	0.411889
a83	0.00696554	0.00360638	0.00263609	0.00471455	0.00753405	0.0138372	0.0203798	0.0482305	0.116828	0.276378	0.49889
a38	0.0134266	0.00571205	0.0044573	0.00738829	0.0123115	0.0220327	0.0276307	0.0560226	0.115635	0.261792	0.473592
a0	0.0278308	0.0119594	0.00773107	0.0100958	0.0134129	0.0220568	0.0269085	0.0552492	0.116153	0.255208	0.453395
a9	0.0215108	0.00887772	0.00601189	0.00816882	0.0108967	0.0186262	0.0241196	0.0539885	0.119428	0.258577	0.469795
a87	0.0198208	0.00741717	0.00553215	0.00836746	0.0113361	0.0219496	0.0303006	0.0631911	0.130151	0.259361	0.442572
</S>	0.0148812	0.00732907	0.0050679	0.00587514	0.00588052	0.0106814	0.0196662	0.0643854	0.135407	0.268741	0.462086
