 	cet	homme	est	devenu	pâle	à	cause	de	la	maladie	</S>
a66	0.260416	0.155319	0.0976399	0.08832	0.0823015	0.0813943	0.0764817	0.0598212	0.0476286	0.0307336	0.0199442
a87	0.337003	0.206134	0.119673	0.0827868	0.0816139	0.0489805	0.0345557	0.0323114	0.0263333	0.0168934	0.0137144
a23	0.323304	0.207899	0.122487	0.0894046	0.0828604	0.0543798	0.0387477	0.0284691	0.0191929	0.0164483	0.0168067
a30	0.239502	0.138664	0.0832832	0.0655424	0.0816602	0.0658314	0.0759769	0.0877971	0.061028	0.0490121	0.0517029
a53	0.17942	0.0953379	0.0658813	0.0570945	0.0993202	0.0905691	0.0871466	0.0934458	0.0766003	0.0732171	0.0819673
a15	0.214499	0.157998	0.132672	0.129367	0.174536	0.07371	0.0415795	0.0282089	0.0200235	0.014985	0.012422
a79	0.0994434	0.110446	0.14254	0.175289	0.233082	0.113129	0.0523703	0.031718	0.018743	0.0126041	0.0106361
a44	0.118967	0.149497	0.165381	0.156485	0.162429	0.0870283	0.0616628	0.0413042	0.0250742	0.017009	0.015163
a66	0.0888769	0.116938	0.142486	0.14076	0.159128	0.0809914	0.075045	0.0629767	0.046449	0.0419394	0.0444098
a11	0.0867389	0.114434	0.139716	0.124996	0.142522	0.0848349	0.0772529	0.065834	0.0534557	0.0534343	0.0567823
a94	0.0730463	0.0818292	0.107296	0.107498	0.132292	0.101826	0.0973915	0.0859279	0.0690846	0.0696195	0.0741894
a70	0.0571438	0.0590013	0.079576	0.0900309	0.116207	0.113117	0.119587	0.106307	0.0868624	0.0844913	0.0876757
a53	0.0387726	0.0374574	0.0478241	0.0570558	0.0858884	0.119763	0.146975	0.141736	0.118634	0.103521	0.102373
a98	0.0277673	0.0270196	0.0359533	0.0486994	0.0741516	0.113667	0.153467	0.162396	0.137782	0.116513	0.102584
a92	0.0111869	0.0116232	0.0177044	0.0298183	0.0502171	0.0826637	0.126724	0.17146	0.170439	0.162702	0.165462
a37	0.0098521	0.00873668	0.0131626	0.0228322	0.0358486	0.076376	0.124663	0.16913	0.180354	0.183549	0.175496
a56	0.00700412	0.00529047	0.00668534	0.0109808	0.0183685	0.059062	0.127212	0.182183	0.200195	0.196744	0.186274
a93	0.00336493	0.00261485	0.00349952	0.00637751	0.0108299	0.0387188	0.0968474	0.163945	0.211515	0.24009	0.222198
a4	0.00314131	0.00227175	0.00280869	0.00503831	0.00904242	0.0302702	0.0757038	0.137952	0.199377	0.260928	0.273467
a90	0.00212861	0.00160195	0.00210368	0.00406537	0.00674822	0.0168747	0.0410397	0.0907301	0.169508	0.289625	0.375574
a15	0.00194585	0.00141444	0.00186687	0.00339393	0.00598765	0.0146898	0.0371288	0.080491	0.152899	0.284303	0.415879
a7	0.000609758	0.000519404	0.000817169	0.00205883	0.00514205	0.0105442	0.0246849	0.0602685	0.119237	0.264632	0.511487
a84	0.00140984	0.00121387	0.00178468	0.00433665	0.010668	0.0171391	0.0292854	0.0663883	0.11845	0.259174	0.49015
a87	0.0880772	0.0591782	0.0565657	0.0677921	0.0898361	0.0895057	0.0919344	0.096288	0.10449	0.107296	0.149037
a23	0.270453	0.1957	0.145055	0.125502	0.104501	0.0587881	0.0349798	0.0239568	0.0163085	0.0120741	0.0126809
a87	0.15457	0.100651	0.0698931	0.0862464	0.0856517	0.101123	0.087448	0.0827422	0.0782296	0.0758354	0.0776089
a23	0.033767	0.0234205	0.0212111	0.0384325	0.0597661	0.0905711	0.100016	0.131369	0.127535	0.158895	0.215018
a87	0.0738778	0.0490153	0.0401172	0.0580595	0.0661071	0.0915128	0.105445	0.120212	0.116222	0.124823	0.154608
</S>	0.0278459	0.0215771	0.0208785	0.0398361	0.0584469	0.100646	0.113365	0.137824	0.124342	0.146107	0.209131
