 	sa	manière	de	cuire	le	safou	est	hors	du	commun	</S>
a66	0.143856	0.0977224	0.101694	0.135524	0.141909	0.133964	0.104176	0.073952	0.0323015	0.0202574	0.0146442
a10	0.167165	0.111789	0.0860544	0.100768	0.0979326	0.101089	0.111952	0.105241	0.0537769	0.0420037	0.022228
a87	0.298857	0.208878	0.141144	0.136489	0.086755	0.0514407	0.0284721	0.0178488	0.0105985	0.00995369	0.00956322
a23	0.231476	0.204144	0.183019	0.168109	0.0971279	0.0540527	0.0255054	0.0158784	0.00773986	0.00630757	0.00664017
a5	0.212325	0.222264	0.205437	0.159987	0.0878625	0.0445829	0.0216546	0.0151872	0.0104632	0.0112413	0.00899616
a85	0.219469	0.15965	0.130083	0.0957161	0.0660436	0.0429059	0.0400075	0.0628693	0.075383	0.0729785	0.0348939
a6	0.147417	0.130471	0.114168	0.104416	0.076504	0.0728463	0.0879952	0.108336	0.0749768	0.0506541	0.0322158
a21	0.0911998	0.116803	0.134616	0.116167	0.0904768	0.0753797	0.0973962	0.0982783	0.081375	0.0574491	0.0408586
a85	0.12122	0.163626	0.161732	0.139884	0.104635	0.0813598	0.0748527	0.0600321	0.0396123	0.0280928	0.0249526
a15	0.0580479	0.0911594	0.113592	0.119217	0.102604	0.0980143	0.0958041	0.0753236	0.0817877	0.0806145	0.0838356
a98	0.0676679	0.0894677	0.137159	0.164472	0.147192	0.105395	0.0732371	0.0423678	0.0460839	0.0595482	0.0674094
a85	0.0499724	0.0628137	0.0944632	0.125241	0.134934	0.119949	0.101911	0.0666395	0.063448	0.0819123	0.0987159
a5	0.0307937	0.0418702	0.0726729	0.110693	0.125899	0.121074	0.103559	0.0762441	0.0828091	0.103988	0.130397
a0	0.0331412	0.0417653	0.0739336	0.146123	0.180164	0.166446	0.0957573	0.0552918	0.0533672	0.0657407	0.0882703
a21	0.0347905	0.0388041	0.0595923	0.15417	0.206811	0.150893	0.0742546	0.0439574	0.0477042	0.0685955	0.120428
a12	0.033574	0.030716	0.0415556	0.0886297	0.128968	0.115677	0.0798783	0.0722767	0.0928762	0.123662	0.192187
a75	0.034199	0.0349412	0.0481774	0.0945245	0.125097	0.102826	0.067807	0.0728637	0.0938524	0.121788	0.203924
a85	0.0252123	0.0189472	0.0242011	0.0443328	0.0702511	0.0663174	0.0583166	0.0737885	0.109213	0.17359	0.33583
a47	0.0284035	0.0216177	0.026064	0.0451749	0.0689559	0.0528744	0.0400933	0.0523446	0.0868858	0.164247	0.413339
a7	0.0206895	0.0178317	0.0218065	0.0373414	0.0504622	0.032375	0.0244125	0.0402039	0.0889854	0.188005	0.477887
a84	0.0292914	0.031592	0.0378406	0.06995	0.0637459	0.0222313	0.0124695	0.0206653	0.0624161	0.192217	0.45758
a57	0.0677168	0.0616594	0.0596677	0.0819425	0.072799	0.0422152	0.0338947	0.0477681	0.0832874	0.160311	0.288738
a10	0.0532274	0.0455512	0.041396	0.0634963	0.0630494	0.0569194	0.0692372	0.107859	0.124121	0.176853	0.19829
a57	0.0354976	0.029671	0.0259868	0.0449276	0.0446851	0.0369031	0.0501563	0.101025	0.138259	0.212739	0.280149
a87	0.0371274	0.0260903	0.0221378	0.0408621	0.0392421	0.0301318	0.0556128	0.110279	0.132602	0.217175	0.28874
a23	0.0367416	0.0280989	0.0245816	0.0460998	0.0411134	0.035967	0.0808117	0.148063	0.133186	0.189523	0.235815
a99	0.021506	0.0222312	0.0208136	0.0461552	0.0493728	0.0616256	0.120296	0.169926	0.143135	0.164182	0.180757
a87	0.0233792	0.0268954	0.0306248	0.0663989	0.0649881	0.0772803	0.121737	0.141965	0.136182	0.15546	0.15509
</S>	0.0354944	0.0276519	0.0266217	0.0487121	0.0480632	0.0483752	0.0677737	0.0875508	0.116706	0.215167	0.277884
