 	qui	a	bouché	cet	étang	</S>
a66	0.527184	0.199423	0.101741	0.080528	0.0526412	0.0384826
a87	0.235147	0.219915	0.252142	0.149179	0.0860036	0.0576134
a23	0.545122	0.234013	0.0897825	0.0472532	0.0435509	0.0402788
a93	0.48085	0.26983	0.115685	0.0454465	0.0432444	0.0449443
a4	0.450987	0.257355	0.105191	0.0678574	0.067549	0.0510616
a94	0.35237	0.372748	0.122836	0.0591506	0.0547936	0.0381023
a31	0.188772	0.343299	0.19155	0.108731	0.0995107	0.0681373
a96	0.17364	0.344684	0.232075	0.104825	0.0841008	0.0606751
a12	0.118907	0.255102	0.258233	0.146718	0.121847	0.0991929
a24	0.128817	0.20144	0.265672	0.15271	0.131246	0.120115
a43	0.0944558	0.137911	0.245343	0.181662	0.174477	0.166152
a47	0.0684081	0.0700014	0.160234	0.178427	0.237581	0.285347
a18	0.0527769	0.042634	0.11701	0.175481	0.270059	0.342039
a61	0.0126564	0.00849493	0.0247843	0.0897492	0.295075	0.56924
a56	0.00460531	0.00413971	0.0241595	0.0948788	0.304207	0.568009
a90	0.00300573	0.00262023	0.0129163	0.0599076	0.231334	0.690216
a75	0.0018846	0.00170386	0.008579	0.0509765	0.202155	0.734701
a21	0.00151054	0.00115552	0.00445842	0.0276353	0.156239	0.809001
a5	0.00183524	0.00186758	0.00689073	0.0324386	0.158786	0.798182
a21	0.00208841	0.00244119	0.00697361	0.0264775	0.131608	0.830411
a47	0.00326695	0.0031891	0.00812276	0.0281448	0.133052	0.824224
a96	0.00284472	0.00433389	0.0133901	0.0437337	0.177182	0.758515
a18	0.00445948	0.0062589	0.0167312	0.05124	0.185706	0.735604
a82	0.017482	0.0170592	0.0234672	0.0632418	0.203958	0.674792
a87	0.217189	0.0950689	0.0703874	0.0778967	0.131356	0.408102
a23	0.398632	0.214815	0.127145	0.0789108	0.0726334	0.107865
a87	0.223134	0.124175	0.0729698	0.0796249	0.138029	0.362067
a97	0.0197622	0.0152627	0.0254446	0.0594408	0.198168	0.681922
a87	0.1068	0.0651613	0.0805639	0.107498	0.203119	0.436858
a97	0.12906	0.0876398	0.106032	0.119328	0.193575	0.364365
a99	0.257662	0.164123	0.131615	0.106896	0.139966	0.199737
a97	0.0513379	0.0471947	0.074245	0.115657	0.206244	0.505321
</S>	0.0908639	0.0673862	0.0841919	0.101733	0.185449	0.470376
