 	nous	avons	mangé	le	porc-épic	en	entier	</S>
a66	0.317089	0.166193	0.117886	0.11383	0.137041	0.0697983	0.0391097	0.0390514
a10	0.185032	0.15822	0.162663	0.153522	0.118389	0.0720285	0.0666549	0.083492
a87	0.470282	0.269217	0.11751	0.0578495	0.0296121	0.0162928	0.0173457	0.0218905
a10	0.398259	0.290291	0.145876	0.0686035	0.0342221	0.0203056	0.01989	0.0225529
a99	0.407151	0.296865	0.146014	0.0654534	0.0286329	0.0177899	0.0179998	0.0200936
a9	0.43107	0.29988	0.13728	0.0571435	0.0246125	0.0172017	0.0162376	0.016574
a24	0.41938	0.300326	0.146729	0.0635596	0.0245676	0.0164744	0.0141143	0.0148494
a62	0.378835	0.254788	0.163413	0.0806649	0.0444236	0.0352945	0.0229825	0.0195983
a88	0.380322	0.258912	0.170903	0.0894664	0.0411567	0.0273772	0.0173241	0.0145387
a62	0.2831	0.240047	0.19989	0.124497	0.0640169	0.0434919	0.0252545	0.0197031
a96	0.160778	0.199153	0.215085	0.166561	0.10122	0.0700018	0.0487564	0.0384451
a4	0.139133	0.159078	0.189407	0.182248	0.12555	0.0854446	0.067078	0.0520616
a94	0.12882	0.137709	0.171449	0.203906	0.139994	0.0822262	0.0719728	0.0639225
a66	0.110558	0.112812	0.152678	0.203224	0.161429	0.098726	0.0820742	0.0784997
a93	0.0390001	0.0355849	0.0497388	0.0928927	0.238238	0.20616	0.164972	0.173412
a70	0.0469676	0.0398032	0.0538078	0.094248	0.223669	0.219553	0.154664	0.167287
a11	0.0246786	0.0172472	0.0219628	0.0503538	0.165148	0.236301	0.206795	0.277514
a24	0.00752633	0.005269	0.0071376	0.0197445	0.101319	0.184241	0.252566	0.422197
a88	0.00340452	0.00225562	0.00290001	0.00840058	0.0664348	0.189328	0.276672	0.450604
a83	0.00136831	0.00087974	0.0012136	0.00400818	0.0462837	0.158193	0.27843	0.509624
a26	0.00110474	0.000711752	0.00101353	0.00351628	0.04202	0.167557	0.280198	0.503879
a57	0.00908495	0.00591124	0.00733773	0.0152612	0.0666492	0.181167	0.284177	0.430411
a87	0.108689	0.0763278	0.0585586	0.0558721	0.0753621	0.119284	0.186137	0.31977
</S>	0.246831	0.197486	0.142347	0.0995979	0.0679117	0.0678692	0.0845395	0.0934177
