 	c'	est	une	tête	brûlée	</S>
a23	0.526244	0.200577	0.092123	0.0730665	0.0500673	0.0579225
a85	0.346207	0.158568	0.107649	0.126072	0.110204	0.1513
a87	0.308925	0.136717	0.0767929	0.108845	0.146656	0.222063
a57	0.351716	0.200606	0.116848	0.118108	0.0993592	0.113363
a87	0.20011	0.165657	0.133408	0.164448	0.180297	0.15608
a23	0.181075	0.15287	0.1309	0.155566	0.206852	0.172737
a20	0.131096	0.112179	0.104353	0.171844	0.242392	0.238136
a14	0.342592	0.217407	0.145509	0.124048	0.11092	0.0595241
a2	0.357909	0.275166	0.171481	0.106713	0.0564237	0.0323065
a38	0.225851	0.209102	0.195581	0.170784	0.118465	0.080217
a26	0.225015	0.207949	0.19569	0.166833	0.119981	0.0845322
a83	0.200182	0.190549	0.185691	0.178741	0.135443	0.109394
a25	0.130074	0.130249	0.14665	0.181336	0.200426	0.211266
a38	0.0631146	0.079112	0.125293	0.187128	0.254993	0.29036
a21	0.0434764	0.050405	0.0855916	0.159456	0.277816	0.383254
a12	0.0193564	0.0248512	0.0555488	0.127327	0.312945	0.459972
a32	0.0082893	0.010808	0.0253967	0.0681314	0.276293	0.611082
a18	0.0132003	0.0136252	0.0250854	0.0668942	0.238804	0.642391
a98	0.0111228	0.0116072	0.0221258	0.0660507	0.223311	0.665782
a11	0.0057794	0.00802158	0.0212457	0.0687585	0.222023	0.674172
a90	0.00652738	0.00783918	0.0170824	0.0563385	0.194442	0.71777
a56	0.00437761	0.00612656	0.0145395	0.0498535	0.201576	0.723527
a90	0.00631326	0.0081574	0.0183879	0.0618906	0.216191	0.68906
a57	0.00799257	0.00853365	0.0166254	0.0537076	0.229183	0.683957
a3	0.0127419	0.0160812	0.0315537	0.0879661	0.221791	0.629866
a87	0.0159942	0.0191165	0.0341721	0.0765054	0.19652	0.657692
</S>	0.0348991	0.0418756	0.0627717	0.119274	0.216622	0.524558
