 	la	marmite	que	maman	a	nettoyée	est	renversée	</S>
a66	0.275925	0.15547	0.11482	0.126313	0.105775	0.0854582	0.0696437	0.0409584	0.0256363
a99	0.240724	0.140813	0.112998	0.0960032	0.100477	0.0975451	0.0723364	0.0709474	0.0681554
a18	0.367906	0.181481	0.102332	0.0994871	0.0684325	0.040428	0.0378704	0.0509555	0.0511081
a11	0.252659	0.188504	0.132072	0.13829	0.0891018	0.0520938	0.0447656	0.0576598	0.0448545
a56	0.30103	0.198905	0.1375	0.114232	0.0782678	0.0294822	0.0357135	0.0539786	0.0508911
a96	0.339527	0.273242	0.176235	0.119221	0.0608865	0.0109073	0.00680748	0.00697344	0.00620115
a62	0.241703	0.265411	0.209048	0.155861	0.0840972	0.0184058	0.00939378	0.00767747	0.00840341
a21	0.185455	0.221678	0.214021	0.17327	0.108855	0.0417178	0.0224952	0.0180253	0.0144822
a47	0.170619	0.193308	0.208399	0.186574	0.130424	0.0586814	0.0235131	0.0164846	0.0119974
a31	0.184585	0.177466	0.163005	0.165598	0.12941	0.0783995	0.046215	0.0339791	0.0213437
a47	0.179511	0.179754	0.176757	0.161085	0.12279	0.0827003	0.0428924	0.0316586	0.0228522
a31	0.0962291	0.117766	0.131883	0.16441	0.157904	0.142202	0.0849956	0.0656622	0.0389488
a0	0.0462948	0.061276	0.0751945	0.118925	0.137045	0.18896	0.151113	0.130147	0.0910448
a47	0.0471869	0.0577239	0.0667612	0.103927	0.123539	0.177955	0.166151	0.144457	0.112298
a61	0.0347487	0.0467173	0.0556617	0.0847293	0.104604	0.164883	0.190377	0.163765	0.154514
a34	0.0150016	0.018276	0.0212889	0.0366037	0.0530723	0.134929	0.242804	0.262155	0.215869
a47	0.0118502	0.0138696	0.0169197	0.0268341	0.038949	0.0892392	0.219805	0.285926	0.296607
a62	0.00823943	0.010919	0.0164543	0.0262297	0.0377819	0.0876434	0.197758	0.270165	0.34481
a96	0.00242973	0.00302496	0.00472034	0.00830148	0.0144277	0.0495984	0.166524	0.287301	0.463672
a88	0.000915893	0.00115955	0.0018829	0.00331466	0.00670229	0.0320783	0.11491	0.257078	0.581959
a11	0.000419293	0.000504285	0.000968586	0.00162048	0.00378141	0.0166659	0.081651	0.243767	0.650621
a96	0.000594715	0.0006237	0.0011153	0.00156988	0.00372317	0.0135222	0.0792216	0.237261	0.662369
a43	0.000584661	0.000685106	0.00122875	0.00179719	0.00419189	0.0161671	0.0768752	0.20906	0.68941
a75	0.0010915	0.00100858	0.00167502	0.0021187	0.00497742	0.0163139	0.0801843	0.24309	0.649541
a56	0.000526139	0.000520639	0.000853364	0.00122661	0.00318229	0.0127196	0.0612258	0.19769	0.722056
a44	0.000776686	0.000812807	0.00126442	0.00177317	0.00369759	0.0185173	0.0761424	0.203122	0.693894
a70	0.0016066	0.00162877	0.00262354	0.00329227	0.00661739	0.0176625	0.0620985	0.18407	0.7204
a18	0.00249506	0.00229074	0.00342191	0.00393513	0.0083099	0.0181744	0.0731828	0.204567	0.683623
a0	0.0229691	0.0178324	0.0210761	0.0186704	0.0273409	0.043718	0.100427	0.242252	0.505714
a9	0.0147652	0.0113418	0.0135804	0.0124308	0.0211779	0.0385985	0.0782903	0.191533	0.618282
a10	0.181817	0.0961799	0.0779164	0.0641318	0.0669969	0.0629152	0.0807174	0.131268	0.238057
a87	0.249025	0.114872	0.0740747	0.0646195	0.0597999	0.0383022	0.0572195	0.115107	0.226981
a23	0.153355	0.0863781	0.0585545	0.0582894	0.0555471	0.0359756	0.0780333	0.182757	0.29111
a87	0.0957989	0.0424767	0.030345	0.0272722	0.0346928	0.0294133	0.0955991	0.233215	0.411187
</S>	0.0115254	0.00875876	0.011268	0.0150732	0.0245761	0.0438366	0.126105	0.232307	0.526551
