 	cette	veuve	a	mis	de	la	cendre	sur	son	visage	</S>
a66	0.269937	0.191845	0.135192	0.115305	0.119723	0.0757085	0.0459339	0.0188764	0.0129843	0.00857133	0.00592324
a97	0.202432	0.130306	0.104221	0.0979343	0.0910656	0.072858	0.0925448	0.0639304	0.0561173	0.0454529	0.0431378
a99	0.366058	0.21646	0.121284	0.0782787	0.0642872	0.0382029	0.0368677	0.0160019	0.0158431	0.0190127	0.0277036
a3	0.391475	0.264489	0.116974	0.0720121	0.0612323	0.030081	0.0207291	0.00955214	0.00996293	0.00863733	0.0148556
a38	0.374975	0.233145	0.11385	0.0761697	0.0713565	0.041686	0.0311139	0.0151595	0.0150162	0.0117821	0.015746
a99	0.428531	0.228023	0.098062	0.0599906	0.0642609	0.0372683	0.0335653	0.0152799	0.013811	0.0105399	0.0106681
a3	0.363425	0.193139	0.108078	0.0756951	0.0846425	0.0612632	0.0537379	0.0205426	0.0167615	0.0115558	0.0111587
a99	0.333344	0.170837	0.100028	0.076221	0.0848922	0.0729977	0.0675806	0.0316355	0.0274876	0.0172942	0.0176825
a30	0.296334	0.17352	0.105563	0.0810982	0.0887451	0.0768582	0.0683009	0.0359993	0.0321585	0.0202719	0.0211512
a93	0.217442	0.14349	0.107512	0.0929852	0.0998759	0.0960596	0.090612	0.0526186	0.0429562	0.0273449	0.0291036
a62	0.183647	0.177037	0.147012	0.115006	0.102953	0.0882602	0.0494003	0.0366274	0.0383199	0.0312693	0.0304674
a21	0.138296	0.177269	0.160188	0.130383	0.114482	0.0928865	0.0495656	0.0397893	0.0412642	0.029125	0.0267516
a56	0.113101	0.156955	0.157792	0.147864	0.143532	0.121937	0.0583393	0.0320416	0.0283335	0.0200256	0.02008
a12	0.106941	0.152274	0.160667	0.155931	0.147849	0.119147	0.0574029	0.0306283	0.0267548	0.0205042	0.0218997
a56	0.0895162	0.125044	0.14389	0.154336	0.155672	0.14622	0.0819791	0.0377127	0.0259585	0.0189107	0.0207598
a93	0.0752564	0.114525	0.13911	0.155022	0.15771	0.148865	0.0850312	0.0406331	0.0284028	0.0242808	0.0311648
a4	0.065629	0.105146	0.135814	0.153315	0.153144	0.147992	0.0972527	0.0506273	0.0317157	0.0261308	0.0332329
a44	0.0361178	0.0634487	0.106742	0.147555	0.149644	0.152974	0.131071	0.0829945	0.049976	0.0366482	0.0428278
a75	0.0183954	0.03281	0.068128	0.117213	0.125593	0.139596	0.14878	0.120519	0.0781625	0.0681561	0.0826476
a21	0.0104664	0.0163677	0.0268335	0.0534632	0.0682745	0.0819366	0.0971047	0.124706	0.15054	0.166832	0.203475
a75	0.0171934	0.0226686	0.0334518	0.0595496	0.0738568	0.0888845	0.10803	0.12614	0.131825	0.143421	0.194979
a56	0.00990346	0.011919	0.017847	0.035245	0.0470989	0.0618919	0.0888442	0.128088	0.162745	0.193208	0.243209
a90	0.0112986	0.0133433	0.0212235	0.0385805	0.0471423	0.0590792	0.094347	0.162667	0.171631	0.159933	0.220754
a15	0.00891636	0.00925399	0.0132374	0.0264527	0.0366775	0.0502394	0.0976827	0.185995	0.203841	0.170422	0.197282
a20	0.00753976	0.00784909	0.00991801	0.0161928	0.0197821	0.0247226	0.0536453	0.140983	0.190075	0.226589	0.302704
a58	0.0127354	0.0103369	0.0111525	0.014287	0.0146826	0.0169556	0.0453541	0.113694	0.16579	0.231355	0.363658
a82	0.0101573	0.00653674	0.00596182	0.00663932	0.00616496	0.00688633	0.014773	0.0394387	0.0790464	0.233627	0.590769
a97	0.0166588	0.0103537	0.0103715	0.0117327	0.0125007	0.0172058	0.0362326	0.0593181	0.115041	0.262753	0.447832
a40	0.0440118	0.0233566	0.0218177	0.0271416	0.031235	0.0524652	0.111618	0.128429	0.166462	0.182577	0.210886
a47	0.00937181	0.00619142	0.0068433	0.00977943	0.0127899	0.0239021	0.0579558	0.10311	0.177306	0.23246	0.36029
a85	0.00101221	0.0011963	0.00188565	0.00323709	0.00398358	0.00778965	0.0202863	0.0589602	0.142043	0.301566	0.45804
a6	0.000635987	0.000822978	0.00137391	0.00237141	0.00267735	0.0046142	0.0129717	0.0454706	0.12572	0.298018	0.505324
a37	0.00103007	0.00124457	0.00199758	0.00378146	0.00478323	0.00822818	0.0206139	0.0510953	0.121175	0.282056	0.503994
a47	0.00117433	0.00125908	0.00218571	0.00430149	0.00571611	0.0098913	0.0233838	0.0500512	0.105096	0.254158	0.542783
a88	0.000572271	0.000561198	0.000956235	0.0017974	0.00227635	0.00419501	0.0140258	0.0433971	0.10167	0.254604	0.575944
a62	0.000287148	0.000302422	0.00057953	0.00114081	0.00151692	0.00306493	0.0109911	0.0383014	0.100678	0.280237	0.562901
a21	0.000240227	0.000251018	0.000447965	0.000741281	0.000872048	0.00166455	0.00661205	0.028148	0.0870847	0.283902	0.590036
a75	0.000230309	0.000234082	0.000418444	0.000691772	0.000842035	0.00170692	0.00693183	0.0269245	0.0799351	0.278896	0.603189
a37	0.000102063	9.83837e-05	0.000149089	0.000246781	0.000301037	0.000626195	0.00304626	0.0160187	0.0573004	0.260266	0.661845
a93	0.000206728	0.00020106	0.000319524	0.000470788	0.000463048	0.000670645	0.00283614	0.0116268	0.0457969	0.260426	0.676982
a70	8.68107e-05	9.35382e-05	0.000140448	0.000206625	0.000197496	0.000290499	0.00158481	0.00842042	0.0365747	0.23695	0.715455
a11	0.000272335	0.000280551	0.000496957	0.000799268	0.00080802	0.0012673	0.00542551	0.0227549	0.0821258	0.310853	0.574916
a70	0.00319424	0.002576	0.00320913	0.00394368	0.00392437	0.00609782	0.0176619	0.0545522	0.131888	0.318424	0.454529
a0	0.00264591	0.00236411	0.0029992	0.00378041	0.00374905	0.00593293	0.0176523	0.0617643	0.149477	0.314769	0.434866
a62	0.00874451	0.00627161	0.00665228	0.00722464	0.00682914	0.00971792	0.02328	0.0676347	0.139393	0.287251	0.437001
a88	0.0186278	0.0122299	0.0120166	0.012113	0.0109282	0.0141369	0.0280589	0.0669391	0.125323	0.260928	0.438699
a9	0.031109	0.0218039	0.020165	0.0197607	0.0172124	0.0207482	0.036219	0.0652621	0.115953	0.24384	0.407926
a3	0.0770228	0.039404	0.0314076	0.0302051	0.0279719	0.0315145	0.0490874	0.0766994	0.12167	0.202934	0.312083
a99	0.180383	0.0914751	0.0546253	0.0423405	0.0359343	0.0331095	0.0462685	0.0568773	0.0951894	0.144783	0.219014
a3	0.100027	0.0577027	0.0381725	0.0301868	0.0237638	0.0207981	0.0382181	0.0489113	0.100559	0.192375	0.349285
a99	0.093373	0.057049	0.0418325	0.0404051	0.0363598	0.0328955	0.0495474	0.0493007	0.0918564	0.169986	0.337394
a9	0.0267192	0.0169299	0.0128958	0.0120777	0.00982693	0.00939616	0.0170809	0.0257857	0.0693363	0.20908	0.590871
a27	0.0488101	0.0337772	0.0263246	0.02653	0.0221012	0.0182862	0.026446	0.0332978	0.0733801	0.185984	0.505062
</S>	0.0420313	0.0311511	0.0274418	0.0287196	0.0231973	0.0188802	0.0271202	0.0346211	0.0786178	0.198648	0.489572
