 	le	barri	est	un	bon	légume	</S>
a87	0.222045	0.217189	0.20154	0.214103	0.106308	0.0239645	0.0148508
a23	0.372816	0.200848	0.102037	0.0777536	0.0981045	0.096266	0.0521756
a83	0.232013	0.206935	0.19631	0.156531	0.105875	0.0532192	0.0491152
a62	0.390984	0.243449	0.106409	0.0584745	0.061002	0.0685482	0.0711328
a21	0.404458	0.341164	0.144754	0.0572498	0.0310459	0.012366	0.00896276
a5	0.401679	0.350837	0.152732	0.056763	0.0237458	0.00828982	0.00595272
a21	0.284726	0.267645	0.152533	0.08707	0.0895699	0.0708505	0.0476062
a61	0.282373	0.293068	0.156771	0.0952284	0.0871777	0.0508887	0.0344935
a47	0.237822	0.235878	0.164295	0.121814	0.122048	0.0690492	0.0490934
a88	0.184022	0.199648	0.158075	0.120137	0.137617	0.110484	0.0900156
a71	0.102645	0.133996	0.171232	0.14897	0.161483	0.147822	0.133852
a61	0.0605088	0.102401	0.159397	0.155211	0.184555	0.163476	0.174451
a56	0.0673952	0.0892966	0.149467	0.144718	0.163551	0.182501	0.203072
a96	0.0995358	0.0990168	0.13452	0.132917	0.130494	0.16942	0.234096
a93	0.0371117	0.0319898	0.0379564	0.0488819	0.0843701	0.275568	0.484122
a96	0.0298995	0.0247344	0.0294475	0.0395383	0.0676828	0.265015	0.543683
a34	0.00870646	0.00914658	0.011203	0.0170795	0.0415674	0.275082	0.637215
a21	0.00517532	0.00495914	0.00707545	0.0132258	0.0372973	0.275731	0.656536
a5	0.00981296	0.00819859	0.0099686	0.015516	0.0357783	0.224213	0.696513
a18	0.00431427	0.00322876	0.00471041	0.00880791	0.026357	0.218068	0.734514
a25	0.00291766	0.00261188	0.00435402	0.00692951	0.0158271	0.182589	0.78477
a87	0.0395856	0.0192511	0.0289914	0.0439489	0.0629976	0.205962	0.599263
a23	0.185158	0.113809	0.108739	0.164759	0.164254	0.119639	0.143642
a87	0.0576864	0.0335898	0.0480727	0.0841544	0.1283	0.252443	0.395754
a23	0.0065809	0.00398518	0.00886571	0.017714	0.0392905	0.22831	0.695253
</S>	0.00805612	0.00567839	0.0137073	0.0254567	0.0473753	0.216163	0.683564
