 	le	chasseur	a	une	écharde	dans	le	pied	</S>
a66	0.274949	0.201025	0.142656	0.132286	0.112094	0.0846877	0.0333663	0.0117023	0.00723436
a87	0.329756	0.213411	0.137737	0.0990229	0.0819784	0.0637045	0.0374608	0.0196889	0.0172414
a23	0.398683	0.301796	0.162379	0.0613199	0.0338779	0.0155184	0.0105429	0.008323	0.00755938
a30	0.35564	0.322183	0.165461	0.0663485	0.0402683	0.0145359	0.00930324	0.0101059	0.0161547
a4	0.351414	0.29504	0.148085	0.0807288	0.0631491	0.0281683	0.0121083	0.0100235	0.0112824
a57	0.312219	0.2964	0.184912	0.113995	0.0585841	0.0210733	0.00636892	0.00386056	0.00258757
a75	0.162775	0.195104	0.167075	0.166869	0.130617	0.0908096	0.0375978	0.0265977	0.022556
a12	0.117818	0.161994	0.172062	0.195622	0.169451	0.112801	0.0370891	0.0200755	0.0130876
a75	0.123293	0.160043	0.173107	0.191852	0.172166	0.0954703	0.0341059	0.0262045	0.023759
a5	0.104473	0.146801	0.166186	0.191044	0.184509	0.105925	0.0401166	0.0330084	0.0279377
a12	0.086041	0.118005	0.14793	0.198152	0.220187	0.116981	0.042495	0.0372886	0.0329201
a47	0.0633084	0.0860378	0.111365	0.17985	0.223959	0.140678	0.0664011	0.0680102	0.0603908
a21	0.0450582	0.05494	0.0656973	0.123336	0.207443	0.196665	0.112311	0.0990241	0.0955251
a47	0.0290151	0.0312749	0.0374772	0.0750709	0.129031	0.179776	0.173229	0.167952	0.177173
a75	0.037823	0.0367376	0.0352741	0.0506509	0.0741845	0.137247	0.202853	0.20296	0.22227
a25	0.0108441	0.0100241	0.0102085	0.0176856	0.0355243	0.12283	0.256191	0.268321	0.268372
a92	0.00741318	0.00633352	0.0057263	0.00882729	0.0148662	0.0618459	0.187245	0.3011	0.406642
a41	0.00417838	0.00338158	0.00285311	0.00386394	0.00652627	0.0265315	0.119943	0.292267	0.540455
a75	0.00627316	0.00416157	0.00306318	0.00310666	0.00436293	0.0182556	0.0850958	0.283369	0.592312
a56	0.00204552	0.00123721	0.000889588	0.00121028	0.00265501	0.016081	0.0835774	0.255142	0.637161
a94	0.00139635	0.00099416	0.000797617	0.000969221	0.00168005	0.00869368	0.0487136	0.230155	0.7066
a4	0.00204445	0.00125523	0.00100897	0.00113531	0.00199636	0.0112913	0.0554202	0.232099	0.693749
a57	0.00315036	0.00197633	0.00165115	0.00210148	0.00354975	0.0212929	0.0851691	0.269024	0.612085
a3	0.0588642	0.0324095	0.0218741	0.0190701	0.0204512	0.0411931	0.0931992	0.22268	0.490259
a10	0.306209	0.167736	0.116773	0.0684908	0.0433028	0.0459532	0.0541628	0.0756847	0.121689
a87	0.210095	0.145677	0.135666	0.0896371	0.0631129	0.0620295	0.0741479	0.101826	0.117809
a23	0.25021	0.201047	0.181163	0.109955	0.0735224	0.0468447	0.0431885	0.0441777	0.0498922
a97	0.0644772	0.0428035	0.036439	0.0237712	0.0210007	0.0309983	0.0790287	0.216364	0.485117
</S>	0.0182299	0.012627	0.0106734	0.00929958	0.0123524	0.0279251	0.0853044	0.263484	0.560104
