 	tu	dis	des	bêtises	</S>
a23	0.445608	0.212752	0.206879	0.0728884	0.061873
a85	0.567553	0.155327	0.0979992	0.0737039	0.105417
a87	0.442195	0.162313	0.142485	0.10881	0.144197
a23	0.381437	0.201028	0.167852	0.110687	0.138997
a20	0.210846	0.121676	0.187357	0.217364	0.262756
a73	0.325232	0.209309	0.19351	0.171457	0.100492
a32	0.292913	0.312115	0.226882	0.126669	0.0414213
a75	0.251521	0.277334	0.236988	0.169643	0.0645129
a41	0.188458	0.214598	0.242938	0.234804	0.119202
a18	0.0996208	0.115476	0.223912	0.332343	0.228649
a25	0.0781674	0.0691683	0.143895	0.324275	0.384494
a76	0.0344197	0.0363676	0.105573	0.300921	0.522719
a41	0.0164938	0.0235007	0.138187	0.366588	0.45523
a73	0.0195196	0.0270447	0.127818	0.355197	0.47042
a94	0.0132159	0.0150295	0.0692865	0.282325	0.620144
a38	0.0152477	0.0159832	0.0628637	0.257331	0.648574
a12	0.012838	0.0116249	0.0548796	0.235708	0.68495
a96	0.0150178	0.0133423	0.0656669	0.26639	0.639583
a94	0.0216056	0.0165825	0.0555151	0.231357	0.67494
a13	0.0327814	0.0217201	0.0851844	0.219055	0.641259
a62	0.0282208	0.0189886	0.0737899	0.208952	0.670049
a83	0.0205083	0.0155094	0.067932	0.219786	0.676265
a9	0.0244309	0.0179977	0.0782668	0.232125	0.64718
a99	0.0432444	0.0333228	0.107135	0.225437	0.590862
a87	0.0582509	0.0493714	0.135576	0.202382	0.554419
</S>	0.0280991	0.0332907	0.13347	0.192885	0.612255
