 	le	python	meurt	avec	sa	proie	avalé	</S>
a15	0.58315	0.256563	0.0934324	0.0384808	0.0150566	0.00793586	0.00311498	0.00226623
a66	0.600154	0.23431	0.0450085	0.0290231	0.0225454	0.0215113	0.0211773	0.0262703
a87	0.427723	0.264882	0.082254	0.047672	0.0415556	0.0452728	0.0433478	0.0472925
a23	0.34386	0.297945	0.162559	0.0763216	0.0411055	0.0394218	0.0209074	0.0178802
a99	0.458186	0.325067	0.132761	0.0404993	0.0118484	0.0118105	0.00749658	0.0123316
a53	0.421343	0.245599	0.121146	0.0407248	0.0257365	0.0379796	0.0509027	0.0565686
a94	0.354379	0.261578	0.169473	0.0657661	0.0413698	0.0656707	0.0267808	0.0149828
a98	0.103526	0.103256	0.184325	0.132329	0.113232	0.200048	0.101614	0.0616689
a85	0.0441475	0.0490932	0.125489	0.129496	0.160615	0.289974	0.13158	0.0696068
a15	0.0285885	0.041406	0.164798	0.224211	0.183716	0.199289	0.0942265	0.0637639
a79	0.0204918	0.0238002	0.0867628	0.141667	0.22127	0.279473	0.146385	0.08015
a15	0.0231855	0.0230381	0.0412199	0.0935943	0.180422	0.259278	0.21202	0.167241
a85	0.0132003	0.0138822	0.0269571	0.0692445	0.170096	0.308779	0.247277	0.150564
a12	0.0176325	0.0171749	0.0217845	0.0589397	0.188657	0.346335	0.236196	0.11328
a61	0.0314294	0.0256467	0.0244534	0.0335858	0.117052	0.223277	0.271662	0.272894
a88	0.0218578	0.0190381	0.0215404	0.0206599	0.0456235	0.0851075	0.260417	0.525755
a24	0.00216366	0.00223776	0.00557186	0.00533063	0.0219927	0.0506499	0.222781	0.689273
a88	0.0136292	0.0150868	0.0373361	0.0314811	0.0614907	0.112732	0.231123	0.497122
a71	0.00418105	0.00475647	0.0172014	0.016594	0.0405817	0.0873266	0.245171	0.584188
a9	0.0225648	0.0157661	0.0337568	0.0277889	0.0565689	0.109458	0.259148	0.474948
a87	0.208787	0.152206	0.0831221	0.0490951	0.05213	0.0674965	0.130352	0.256811
a23	0.275756	0.323814	0.256529	0.0811287	0.0250732	0.0168096	0.0110313	0.00985814
a87	0.144043	0.211052	0.213826	0.0737171	0.0633467	0.0635833	0.105209	0.125223
</S>	0.0568568	0.0835958	0.0942173	0.0445103	0.0733793	0.109079	0.261537	0.276824
