 	j'	ai	fait	tomber	le	couteau	</S>
a66	0.357698	0.130006	0.1166	0.14993	0.129781	0.0722794	0.0437055
a87	0.179825	0.105447	0.146044	0.2036	0.189514	0.105838	0.0697326
a23	0.413803	0.297103	0.155043	0.060025	0.0330223	0.0238008	0.0172029
a3	0.402356	0.291966	0.181675	0.0560233	0.0277504	0.0206884	0.0195414
a38	0.413902	0.297345	0.174563	0.0489804	0.0266737	0.0201619	0.0183744
a54	0.435273	0.275378	0.119912	0.0453731	0.032423	0.0373515	0.0542899
a36	0.445089	0.30165	0.130515	0.0421513	0.0291046	0.025386	0.0261048
a37	0.300762	0.294848	0.184244	0.0805575	0.055547	0.0418637	0.0421784
a96	0.208113	0.295221	0.249664	0.102446	0.0608735	0.042158	0.0415242
a88	0.142905	0.239111	0.270922	0.139382	0.086471	0.0604329	0.0607755
a71	0.101974	0.183043	0.254586	0.157339	0.116029	0.0913431	0.0956856
a9	0.0745409	0.134006	0.22219	0.168601	0.132342	0.121181	0.14714
a54	0.0612396	0.0929526	0.194008	0.192274	0.155775	0.135993	0.167758
a47	0.0306542	0.044065	0.104929	0.179215	0.200484	0.195287	0.245366
a0	0.0479485	0.0683521	0.144126	0.1724	0.168592	0.16987	0.228713
a43	0.0340117	0.0415296	0.0714762	0.149107	0.187791	0.217243	0.298841
a0	0.0242006	0.0281891	0.0483259	0.129934	0.209987	0.251081	0.308282
a75	0.0190224	0.0207944	0.0355908	0.0994464	0.195088	0.286811	0.343247
a47	0.0195945	0.0213249	0.0371103	0.115069	0.211982	0.285172	0.309746
a36	0.0124631	0.0145417	0.0278515	0.0948329	0.196549	0.333178	0.320583
a26	0.00345711	0.00362341	0.00704356	0.0281626	0.0832656	0.290926	0.583521
a88	0.0122658	0.0107291	0.0133988	0.0353149	0.0890276	0.254857	0.584407
a71	0.00720484	0.00637041	0.00837248	0.0290239	0.0920928	0.292438	0.564498
a54	0.0115185	0.00958153	0.012573	0.0296676	0.0786641	0.257804	0.600191
a47	0.00504667	0.00435345	0.00605619	0.0190489	0.0625937	0.249386	0.653515
a36	0.00241494	0.00236065	0.00326002	0.0118833	0.0419918	0.216424	0.721666
a2	0.0118817	0.0106808	0.012582	0.031257	0.0757815	0.242879	0.614938
a57	0.0711681	0.0522192	0.0462184	0.0678325	0.11282	0.23362	0.416122
a87	0.177629	0.0846078	0.0580971	0.0594865	0.0874427	0.192721	0.340016
a23	0.189065	0.087919	0.0577206	0.0640204	0.101708	0.199721	0.299845
a87	0.125077	0.0687481	0.0571345	0.0870709	0.136122	0.260735	0.265112
</S>	0.0573248	0.0376545	0.0417252	0.0752164	0.123433	0.279305	0.385342
