 	le	cabri	est	attaché	au	piquet	</S>
a23	0.41749	0.175274	0.116173	0.0999505	0.0804271	0.0659389	0.0447466
a9	0.40208	0.242114	0.13484	0.0735152	0.0580975	0.0528547	0.0364982
a20	0.249866	0.24934	0.189207	0.0986655	0.0855464	0.0709811	0.0563936
a32	0.473771	0.263307	0.106311	0.050913	0.0464171	0.0370955	0.022185
a54	0.359147	0.362791	0.156134	0.0454339	0.0319314	0.0280095	0.0165537
a73	0.309301	0.346371	0.175146	0.0677235	0.0439461	0.0352661	0.0222463
a26	0.318328	0.297941	0.184398	0.0834083	0.0473713	0.0394471	0.0291059
a24	0.263665	0.255124	0.200032	0.109486	0.0631109	0.0586448	0.0499378
a94	0.234273	0.20203	0.166467	0.121712	0.0882862	0.100724	0.0865071
a24	0.196164	0.189048	0.192666	0.142549	0.0950011	0.103636	0.0809358
a32	0.129134	0.115607	0.119906	0.123037	0.128631	0.191738	0.191947
a25	0.100192	0.0985857	0.119432	0.117128	0.124712	0.207181	0.23277
a10	0.0601549	0.0758046	0.114267	0.14623	0.152354	0.220842	0.230347
a24	0.0390568	0.0503217	0.079632	0.131031	0.164116	0.248001	0.287843
a47	0.0399458	0.047611	0.0664932	0.0899885	0.142947	0.260242	0.352773
a98	0.0200267	0.0174247	0.0253017	0.0517977	0.118597	0.287737	0.479115
a71	0.0128907	0.00935951	0.014175	0.0347006	0.10212	0.284962	0.541792
a9	0.0100396	0.00800717	0.0118987	0.0319373	0.0930759	0.280854	0.564187
a87	0.0105009	0.00681446	0.0101252	0.0300572	0.0979813	0.288105	0.556416
</S>	0.00846627	0.00463166	0.00841524	0.0293767	0.128107	0.304239	0.516764
