 	cet	enfant	qui	pleure	dans	la	maison	n'	a	personne	pour	le	consoler	</S>
a66	0.226686	0.153831	0.109427	0.069975	0.0649945	0.0609194	0.0596777	0.0681802	0.0764593	0.0374062	0.0240035	0.0185405	0.0200058	0.00989454
a87	0.322895	0.209067	0.0971414	0.0507624	0.0350302	0.0285996	0.034417	0.0487983	0.0497093	0.0294199	0.0213614	0.0177996	0.0296095	0.0253897
a23	0.38679	0.192351	0.105745	0.0682888	0.0422646	0.0370434	0.0354032	0.0340304	0.0308174	0.0191865	0.0129068	0.0100549	0.0133262	0.0117923
a99	0.338749	0.121242	0.0657858	0.0492908	0.0375871	0.0433303	0.0491244	0.0497747	0.0472553	0.0445512	0.0434213	0.0359268	0.0397673	0.0341943
a53	0.197974	0.0905768	0.0681683	0.065184	0.0587914	0.0635718	0.0583239	0.0533671	0.0572075	0.0565971	0.0556177	0.0563011	0.0581863	0.0601326
a54	0.17393	0.146725	0.140479	0.14355	0.0937336	0.0728729	0.0438998	0.0369542	0.0378706	0.0321447	0.0259597	0.0195777	0.0214388	0.0108641
a37	0.114046	0.128421	0.129983	0.119251	0.0832398	0.0735011	0.0599464	0.0555862	0.0590575	0.0536838	0.0467105	0.0350457	0.028383	0.0131451
a5	0.0515126	0.0652278	0.106066	0.117363	0.112961	0.10577	0.0892949	0.0791503	0.0748599	0.0573917	0.0503617	0.0388028	0.0329418	0.0182961
a12	0.0359138	0.0414696	0.0655058	0.0926717	0.118348	0.126152	0.116764	0.0944255	0.077907	0.059687	0.0524202	0.0434957	0.0498942	0.0253452
a62	0.0266723	0.0309586	0.0482171	0.0763875	0.11771	0.136489	0.134705	0.101734	0.0755863	0.059378	0.0526918	0.0465287	0.0650385	0.0279039
a47	0.0175009	0.0200549	0.0319399	0.0611215	0.113589	0.142094	0.15249	0.116712	0.0833062	0.065436	0.0547861	0.0479358	0.0691873	0.0238469
a62	0.0130785	0.0141345	0.024275	0.0508604	0.10493	0.139664	0.162468	0.131144	0.0990136	0.0765268	0.0602623	0.0492127	0.0598	0.01463
a21	0.0115083	0.0129345	0.0191679	0.0418458	0.106796	0.153239	0.181892	0.140925	0.0994976	0.0656623	0.0485129	0.0407528	0.0587322	0.0185334
a5	0.00689054	0.00764423	0.011422	0.0250766	0.0669307	0.1099	0.149587	0.142906	0.113528	0.086246	0.0723503	0.0693344	0.105182	0.0330014
a43	0.00387689	0.00430884	0.00703425	0.0173755	0.0600029	0.109447	0.167797	0.157691	0.124476	0.0881532	0.0703059	0.0643344	0.0953393	0.0298582
a5	0.0048939	0.00555349	0.00865562	0.0198592	0.0610066	0.107676	0.16755	0.158645	0.126975	0.0883625	0.0652581	0.0580071	0.0945628	0.032995
a96	0.00481142	0.00540555	0.00832291	0.0161704	0.048661	0.0875104	0.139836	0.157261	0.136961	0.10063	0.078244	0.0705972	0.101233	0.0443568
a61	0.00621379	0.00672636	0.0100062	0.0175868	0.0429342	0.0732117	0.115675	0.140751	0.136017	0.111209	0.0885374	0.0808848	0.116584	0.0536632
a47	0.00482294	0.00528906	0.00762631	0.0136983	0.0342407	0.0581967	0.0935458	0.126024	0.132419	0.120109	0.103014	0.0959339	0.136519	0.0685606
a93	0.00545659	0.0062814	0.00958129	0.0181833	0.0437543	0.0694804	0.100194	0.130632	0.137514	0.121697	0.100687	0.087478	0.103706	0.0653553
a4	0.00328795	0.00378916	0.00555275	0.0107233	0.0248826	0.040513	0.0642877	0.0995833	0.11529	0.137402	0.127301	0.114871	0.158082	0.0944347
a13	0.00375208	0.00414333	0.00587987	0.00954094	0.0200882	0.0338271	0.0523446	0.0840764	0.107618	0.140167	0.137199	0.126058	0.153304	0.122001
a9	0.00414104	0.00453005	0.00608734	0.00961478	0.0145228	0.0252886	0.0425461	0.0621135	0.0854184	0.122572	0.132066	0.126546	0.161287	0.203267
a40	0.00849264	0.00909409	0.0113533	0.0145828	0.0138516	0.0189103	0.0313548	0.0485384	0.0721489	0.107366	0.121493	0.127372	0.184637	0.230804
a37	0.00111677	0.00141097	0.00184757	0.00350476	0.0071721	0.0147251	0.0210473	0.0305334	0.0418558	0.0846122	0.121544	0.144163	0.168104	0.358364
a70	0.000448426	0.000538819	0.000846263	0.00163942	0.00305284	0.00638723	0.0104952	0.0160284	0.024861	0.0569582	0.0880179	0.0993552	0.157507	0.533864
a88	0.000560803	0.000659104	0.000888271	0.00152474	0.00258669	0.00526199	0.0100686	0.016107	0.0246058	0.0469849	0.0697429	0.0777777	0.129533	0.613698
a71	0.000302194	0.000356675	0.00051162	0.000907851	0.00168828	0.00377086	0.00752054	0.0128525	0.0200427	0.0418702	0.0647806	0.0777095	0.123483	0.644204
a75	0.000269901	0.000302929	0.000386611	0.000627997	0.00103795	0.002152	0.00455454	0.00789092	0.0130563	0.0318784	0.0556118	0.0720257	0.123978	0.686227
a79	0.000105532	0.000155011	0.000245715	0.000548029	0.00118063	0.00303984	0.00582361	0.0104263	0.0159231	0.0465279	0.0885652	0.109309	0.160128	0.558023
a44	0.000106009	0.000154665	0.000255335	0.000555863	0.00124709	0.00300228	0.00544613	0.00964861	0.0140503	0.0416833	0.0816057	0.101308	0.152154	0.588783
a90	0.000116006	0.000149842	0.00023831	0.000431838	0.000783655	0.00161782	0.0031805	0.00581334	0.00922383	0.0264269	0.0518353	0.0656622	0.111863	0.722658
a69	0.000100582	0.000134226	0.000198688	0.000390867	0.000753827	0.00170799	0.00326891	0.00548982	0.00799227	0.0250132	0.0562764	0.0761162	0.116982	0.705575
a4	0.00015573	0.000187262	0.000267831	0.000448665	0.000786159	0.00143813	0.00257863	0.0043579	0.00635034	0.019243	0.0413699	0.0602009	0.0986423	0.763973
a58	0.000230961	0.000266504	0.000380103	0.000592332	0.0010432	0.00194575	0.00366797	0.00623351	0.00859398	0.0217509	0.0427825	0.0609931	0.0900552	0.761464
a53	0.000776986	0.000744305	0.000804971	0.00102443	0.001376	0.00221296	0.00364196	0.00523017	0.00727466	0.0191721	0.041317	0.0602131	0.0869604	0.769251
a44	0.000237207	0.000282974	0.000374772	0.000615471	0.00107217	0.00197799	0.00367349	0.00638026	0.00895941	0.0239011	0.0498455	0.0804496	0.112399	0.709831
a70	0.000288372	0.000323408	0.000420552	0.000657818	0.00107304	0.00189257	0.00309418	0.00483105	0.00696548	0.0189292	0.0404659	0.062504	0.0998514	0.758703
a13	0.000242517	0.000279726	0.00039107	0.000620233	0.000955584	0.00187341	0.00343945	0.00517997	0.00637907	0.0176642	0.0390532	0.0625308	0.0937066	0.767684
a38	0.000842044	0.000849459	0.000999537	0.00122181	0.00155986	0.00270729	0.00459052	0.00618328	0.00799843	0.0217116	0.0470722	0.0670351	0.101214	0.736015
a0	0.00143511	0.00143205	0.00151526	0.00190238	0.00221303	0.00369387	0.00579212	0.00705635	0.00822859	0.0209064	0.0504171	0.0782167	0.110302	0.706889
a10	0.00138701	0.00141832	0.00152897	0.00193931	0.00217041	0.00362394	0.00552342	0.00654753	0.00735866	0.0184966	0.0456869	0.070456	0.0997483	0.734115
a87	0.0138026	0.0117729	0.0105605	0.0106514	0.012384	0.0172749	0.0224785	0.0242392	0.0222823	0.0388712	0.0742952	0.091485	0.136631	0.513271
a23	0.152768	0.0849107	0.0523246	0.0436915	0.0393196	0.0389559	0.0377599	0.0400206	0.0391813	0.0496745	0.0721109	0.074261	0.0962168	0.178805
a87	0.0453999	0.0299265	0.0217315	0.0228063	0.0263229	0.0294802	0.0343358	0.0512999	0.06588	0.11593	0.155847	0.130978	0.133099	0.136962
</S>	0.0141767	0.0150428	0.0131354	0.0151402	0.0198749	0.023864	0.0299309	0.0548345	0.0794081	0.137617	0.17993	0.128805	0.12246	0.16578
